model,horizon_hours,role,fixed_pinball,expanding_pinball,pinball_change,fixed_coverage,expanding_coverage,fixed_requirement,expanding_requirement,fixed_burst_coverage,expanding_burst_coverage
F1_LGBM,4,DEVELOPMENT,485.0592334725051,479.3356004345234,-5.723633037981699,0.8437633035334184,0.8463175819497658,2414.0293931301826,2373.953740864149,0.234192037470726,0.24121779859484774
F1_LGBM,4,EXPOSED_EVALUATION,614.0653351170577,671.6581345063265,57.59279938926886,0.9151234567901234,0.9207351290684626,3323.0395839523167,4334.011845375088,0.24224519940915804,0.45937961595273263
F1_LGBM,4,MAY_HISTORICAL,1016.1850836199538,1024.9180884856198,8.733004865665976,0.8757467144563919,0.9629629629629629,3267.8089258209516,6785.2141546504945,0.27298050139275765,0.7437325905292479
F3_DEEPAR,4,DEVELOPMENT,457.9860203512082,461.5546881772978,3.5686678260896088,0.855612317298141,0.8588051653185752,2546.3731735838865,2704.96656087279,0.3169398907103825,0.3294301327088212
F3_DEEPAR,4,EXPOSED_EVALUATION,682.2918054291262,656.6470989187893,-25.644706510336846,0.9011878039655817,0.9072671156004489,3703.637267345695,3854.7563512458582,0.3225012309207287,0.31462333825701627
F3_DEEPAR,4,MAY_HISTORICAL,1105.6021239819127,1104.2680220221157,-1.3341019597969535,0.922208947298553,0.9113235098898181,6052.167462939094,5763.139177693686,0.5431754874651811,0.5561745589600743
