model,seed,training_mode,horizon_hours,role,axis,value,N_days,N_windows,N_positive,N_zero,Q50_MAE,Q50_WAPE,unrepaired_raw_Q90_pinball,unrepaired_raw_coverage,raw_crossing_fraction,raw_Q90_pinball,calibrated_Q90_pinball,raw_coverage,calibrated_coverage,positive_coverage,zero_coverage,burst_threshold,N_burst,burst_coverage,burst_mean_miss_GPUh,burst_P90_miss_GPUh,mean_underprediction_GPUh,P90_underprediction_GPUh,mean_overprediction_GPUh,P90_overprediction_GPUh,mean_forecast_requirement,mean_raw_requirement,actionable_coverage,cap_activation,physical_cap_activation,historical_cap_activation,physical_oracle_coverage,log_space_Q90_pinball,actual_secured_reserve,calibration_days_min
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,6.0,58,58,49,9,976.4177642128484,0.8165161230838437,587.148489317337,0.7586206896551724,0.0,587.148489317337,463.3419340727733,0.7586206896551724,0.8275862068965517,0.7959183673469388,1.0,3005.643902777775,7,0.14285714285714285,2251.2728104808834,4153.215162394536,337.10281659030267,904.2526190059776,1599.4939914150084,4175.907373519498,2458.2252026024835,1292.4721972697341,0.8103448275862069,0.22413793103448276,0.22413793103448276,0.034482758620689655,0.8793103448275862,0.36106785908894184,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,6.25,58,58,49,9,1086.3941770163103,0.8244469630927163,690.2503688191771,0.7241379310344828,0.0,690.2503688191771,530.3595282114137,0.7241379310344828,0.7931034482758621,0.7551020408163265,1.0,3005.643902777775,8,0.0,2519.4979928549023,5424.665587463212,418.845695251516,979.8603856583512,1533.9840248504922,3749.205526393557,2432.863090135375,1279.4414870644582,0.7931034482758621,0.2413793103448276,0.2413793103448276,0.034482758620689655,0.8620689655172413,0.37259256948388686,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,6.5,58,58,50,8,1177.2173225761812,0.8390154360958667,761.5674433377927,0.7241379310344828,0.0,761.5674433377927,567.8865652668799,0.7241379310344828,0.7758620689655172,0.74,1.0,3005.643902777775,10,0.0,2280.035510513434,4592.296080242511,465.4714374741356,1218.86497762417,1489.6227154015771,3548.920760511832,2427.2450375059852,1279.4846124475193,0.7758620689655172,0.2413793103448276,0.2413793103448276,0.017241379310344827,0.8275862068965517,0.37538143682141745,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,6.75,58,58,51,7,1190.6264963580602,0.8452976849226573,760.3633324424952,0.7068965517241379,0.0,760.3633324424952,567.0742030725038,0.7068965517241379,0.7586206896551724,0.7254901960784313,1.0,3005.643902777775,10,0.0,2258.716848429876,4600.901372215178,463.9234004398505,1241.8585273368515,1495.4314267663838,3802.6255141656875,2440.0372552537365,1281.5296126573546,0.7586206896551724,0.20689655172413793,0.20689655172413793,0.034482758620689655,0.8275862068965517,0.37242881635501557,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,7.0,58,58,50,8,1185.4531413769655,0.8467727584981736,756.1851606161713,0.7241379310344828,0.0,756.1851606161713,570.4360890372465,0.7241379310344828,0.7413793103448276,0.7,1.0,3005.643902777775,10,0.0,2233.554759290748,4602.153189754124,466.41848212821964,1079.7616989838282,1506.5945512184874,3586.6599685667074,2440.1421514657463,1285.2871199636818,0.7413793103448276,0.25862068965517243,0.25862068965517243,0.034482758620689655,0.8275862068965517,0.3750144711970038,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,7.25,58,58,50,8,1384.5371224625035,0.8614328393760768,918.7855580017055,0.6896551724137931,0.0,918.7855580017055,673.0766796032867,0.6896551724137931,0.7241379310344828,0.68,1.0,3005.643902777775,13,0.07692307692307693,2503.4027619385593,7046.89394630336,590.6993071307982,1249.6626257552737,1414.4730318556844,3574.6403767225256,2431.022786027568,1280.8334604854397,0.7068965517241379,0.2413793103448276,0.2413793103448276,0.017241379310344827,0.7758620689655172,0.3944948916870871,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,7.5,58,58,50,8,1446.599919492543,0.8689115321699906,970.7526167057316,0.6724137931034483,0.0,970.7526167057316,722.9364408636953,0.6724137931034483,0.7413793103448276,0.7,1.0,3005.643902777775,13,0.07692307692307693,2781.4407326979726,7252.261055927524,649.1504852481117,1738.9815487426895,1387.0100414039475,3381.909821325309,2402.700988148173,1278.870874251134,0.7241379310344828,0.22413793103448276,0.22413793103448276,0.0,0.7758620689655172,0.40544727326821844,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,7.75,58,58,50,8,1457.5768496574676,0.8653694093079969,944.4573789083092,0.6724137931034483,0.0,944.4573789083092,701.6252806263255,0.6724137931034483,0.7413793103448276,0.7,1.0,3005.643902777775,13,0.07692307692307693,2697.319079491992,7356.994830476453,630.935323153498,1565.1243175678546,1337.8348978817742,3320.446840275869,2391.24019733364,1272.0486570840217,0.7241379310344828,0.22413793103448276,0.22413793103448276,0.0,0.7758620689655172,0.4081756256533257,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,8.0,58,58,49,9,1475.003644319977,0.8640861543840584,964.6213941027777,0.6379310344827587,0.0,964.6213941027777,717.982775695308,0.6379310344827587,0.7068965517241379,0.6530612244897959,1.0,3005.643902777775,14,0.07142857142857142,2534.1986860252464,7169.703518614541,648.6045593789163,1549.529249372409,1342.3867225428344,3213.7398032026886,2400.792091324838,1271.90594820874,0.7068965517241379,0.2413793103448276,0.2413793103448276,0.017241379310344827,0.7758620689655172,0.43391763115651993,NOT_RUN,0
F0_FROZEN,20260907,fixed,4,DEVELOPMENT,lead_hours,8.25,58,58,50,8,1590.2548686979126,0.8622148188185426,1059.485481429005,0.6206896551724138,0.0,1059.485481429005,774.7152434757104,0.6206896551724138,0.7413793103448276,0.7,1.0,3005.643902777775,12,0.08333333333333333,3308.8047079850126,8782.360253574563,719.6559796000167,1506.062373411256,1270.2486183569533,3075.7357924348066,2394.9762355002317,1266.3693703914237,0.7413793103448276,0.2413793103448276,0.2413793103448276,0.017241379310344827,0.8103448275862069,0.42389703826872027,NOT_RUN,0
