model,training_mode,horizon_hours,role,seed,N_days,N_windows,N_positive,N_zero,Q50_MAE,Q50_WAPE,unrepaired_raw_Q90_pinball,unrepaired_raw_coverage,raw_crossing_fraction,raw_Q90_pinball,calibrated_Q90_pinball,raw_coverage,calibrated_coverage,positive_coverage,zero_coverage,burst_threshold,N_burst,burst_coverage,burst_mean_miss_GPUh,burst_P90_miss_GPUh,mean_underprediction_GPUh,P90_underprediction_GPUh,mean_overprediction_GPUh,P90_overprediction_GPUh,mean_forecast_requirement,mean_raw_requirement,actionable_coverage,cap_activation,physical_cap_activation,historical_cap_activation,physical_oracle_coverage,log_space_Q90_pinball,calibration_days_min
F0_FROZEN,fixed,4,DEVELOPMENT,20260907.0,58.0,4698.0,3950.0,748.0,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508301,0.011068539804171988,561.5167305950656,490.4981324614409,0.7266922094508301,0.8103448275862069,0.7744303797468355,1.0,3005.643902777775,427.0,0.0702576112412178,3683.903942590377,8815.571454881578,410.5168773665073,976.0529296011155,1210.3294283158434,2957.6945286874375,1804.827014196108,947.7587225807723,0.8060876968922946,0.14772243507875693,0.14772243507875693,0.010004257130693913,0.9114516815666242,0.43542388111543506,0.0
F0_FROZEN,fixed,4,EXPOSED_EVALUATION,20260907.0,88.0,7128.0,6403.0,725.0,1121.3828740199285,0.8482353956851473,711.1535529090195,0.7645903479236813,0.010381593714927048,710.5766620265784,628.0456745372352,0.7654320987654321,0.872334455667789,0.8578791191628924,1.0,3005.643902777775,677.0,0.0620384047267356,5457.740907468156,16397.93430427819,541.9442341735654,749.8377592212853,1402.958637810263,3051.394405119246,2183.032890160891,1161.4659142135845,0.8671436588103255,0.2309203142536476,0.2309203142536476,0.00042087542087542086,0.9076879910213244,0.31830487337894153,84.0
F0_FROZEN,fixed,4,MAY_HISTORICAL,20260907.0,31.0,2511.0,2463.0,48.0,1745.413991289246,0.8684152257982591,1285.283028619462,0.599362803663879,0.030266825965750695,1283.5941391756526,1058.865098276229,0.6017522899243329,0.8299482277976902,0.8266341859520909,1.0,3005.643902777775,359.0,0.12256267409470752,6967.30477671429,17857.851391298027,1028.652333470235,1807.2595136109385,1330.7799815301732,2975.004080518901,2312.011790389245,992.3167587459734,0.8144165671047392,0.20589406610911987,0.20589406610911987,0.0,0.8594185583432895,0.29932180738771896,226.0
F1_LGBM,expanding,4,DEVELOPMENT,20260925.0,58.0,4698.0,3950.0,748.0,888.5992582344728,0.8841656421180136,553.8314237811428,0.73009791400596,0.013409961685823755,553.9184522225524,479.3356004345234,0.73009791400596,0.8463175819497658,0.8172151898734178,1.0,3005.6439027777756,427.0,0.24121779859484774,3104.1202155663937,7744.61689283465,342.4416726727857,639.960614737783,1711.3809502901631,4415.665768827045,2373.953740864149,944.3470591707477,0.8265219242230737,0.2552149851000426,0.2552149851000426,0.05065985525755642,0.9114516815666242,0.40534489194893325,0.0
F1_LGBM,expanding,4,EXPOSED_EVALUATION,20260925.0,88.0,7128.0,6403.0,725.0,1096.2586393601637,0.8292309453572093,673.0973743133892,0.8263187429854096,0.0009820426487093155,673.0714981050772,671.6581345063265,0.8264590347923683,0.9207351290684626,0.9117601124472904,1.0,3005.6439027777756,677.0,0.45937961595273263,3759.715778764846,14547.205217869123,370.4587986212371,0.0,3382.452157472133,6805.735807679899,4334.011845375088,1536.856811878645,0.879769921436588,0.6360830527497194,0.6360830527497194,0.042508417508417516,0.9076879910213244,0.33965420681178576,84.0
F1_LGBM,expanding,4,MAY_HISTORICAL,20260925.0,31.0,2511.0,2463.0,48.0,1631.2844377693916,0.8116310803262786,989.3024468082971,0.8446833930704899,0.0,989.3024468082971,1024.9180884856198,0.8446833930704899,0.9629629629629629,0.9622411693057247,1.0,3005.6439027777756,359.0,0.7437325905292479,3828.226971320109,10108.867516480379,547.3850872535012,0.0,5322.715099574689,9538.95403503273,6785.2141546504945,2807.653307095905,0.8590203106332138,0.8498606133014736,0.8498606133014736,0.09000398247710077,0.8594185583432895,0.2854935667538715,226.0
F1_LGBM,fixed,1,DEVELOPMENT,20260925.0,58.0,5394.0,3626.0,1768.0,233.63618145114899,0.9713204685841808,170.1275298253543,0.7968112717834631,0.005005561735261402,170.1273220998829,161.79245628333626,0.7968112717834631,0.8767148683722655,0.8166023166023167,1.0,871.7389583333278,327.0,0.1162079510703364,1815.4256911476798,4350.868284677221,126.1417080646737,93.7949763049495,482.6491902512992,1165.6190218380414,597.0420832866132,221.66086846489188,0.8674453096032629,0.246384872080089,0.246384872080089,0.010011123470522803,0.9323322209862811,0.4854283526828189,0.0
F1_LGBM,fixed,1,EXPOSED_EVALUATION,20260925.0,88.0,8184.0,6343.0,1841.0,308.9501295157494,0.9605543477277534,212.42789792118958,0.8086510263929618,0.0,212.42789792118958,206.7536207806775,0.8086510263929618,0.9255865102639295,0.903988648904304,1.0,871.7389583333278,498.0,0.2248995983935743,2653.6944693551504,6626.832779136054,166.2370090190583,0.0,571.40312663525,1298.045578666072,726.8034411539892,273.4846888865676,0.906158357771261,0.36326979472140764,0.36326979472140764,0.0029325513196480934,0.9309628543499512,0.38402353692752106,84.0
F1_LGBM,fixed,1,MAY_HISTORICAL,20260925.0,31.0,2883.0,2492.0,391.0,462.236178266488,0.9639328407211641,332.0317340095782,0.776621574748526,0.0,332.0317340095782,309.1017623905174,0.776621574748526,0.9025320846340618,0.8872391653290531,1.0,871.7389583333278,267.0,0.32209737827715357,2692.4382612346417,4407.104325274484,254.63022961914376,0.0,799.3455573328805,1845.2002609873498,1024.246845615614,344.2737533682323,0.8671522719389525,0.5362469649670483,0.5362469649670483,0.002428026361429067,0.8980228928199793,0.38297322870267664,226.0
F1_LGBM,fixed,2,DEVELOPMENT,20260925.0,58.0,5162.0,3966.0,1196.0,454.2251396595032,0.9239435239894865,307.25192523796164,0.7696629213483147,0.0,307.25192523796164,289.1089065945508,0.7696629213483147,0.8731111972103834,0.8348461926374181,1.0,1597.606,387.0,0.2428940568475452,2169.9448640923824,6962.935098342151,195.3006774886712,261.1736502444659,1133.3829685474673,2915.808516155543,1429.697988193843,537.7904782921524,0.8547074777218132,0.33204184424641614,0.33204184424641614,0.031189461449050757,0.9244478884153429,0.4548148475539659,0.0
