family,lr,score,mean_requirement,N_score_days,selected_epoch
TFT,0.001,529.7640165223072,2127.854940080096,34,6
TFT,0.0003,534.0953894561453,2242.4091715715967,34,16
DEEPAR,0.001,535.2323503423715,2736.0492933980245,34,11
DEEPAR,0.0003,542.2060920682424,2837.078575867084,34,35
