family,seed,training_seconds,inference_seconds,N_training_days,N_inference_days,parameter_count,parameter_count_definition,gpu_peak_memory_bytes,device,cpu_threads,frozen_reuse,model_sha256,run_id,horizon,phase,environment,protocol_sha256,learning_rate,selected_epoch,epochs_run,torch,cuda,dataloader_workers,model_load_seconds,full_dataset_inference_seconds,full_dataset_inference_days
DEEPAR,20260926,0.5715317000140203,0.1160532999929273,193,28,7539,,102696960,cuda:0,1,,bcea2ac2cef28a74f61f54def1c29ead14442437fa6fa168e42206b964dd2837,refit_final_DEEPAR_H4_s20260926_c28_2024-09-29,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,0.6293887999927392,0.1155945000064093,221,28,7539,,102696960,cuda:0,1,,a1890be993e8a5dbf5d782f310f162573a3dbc6b06bd23ef08670b2f2192ee7b,refit_final_DEEPAR_H4_s20260926_c28_2024-10-27,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,0.7463252000015927,0.1139507000043522,248,28,7539,,102696960,cuda:0,1,,f3b5699e33de235a0e3dddd646500619c579f94cbdc73da12e7bb24f28209163,refit_final_DEEPAR_H4_s20260926_c28_2024-11-24,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,0.8061918000021251,0.1150538000074448,280,28,7539,,102696960,cuda:0,1,,63fb8ef03b163776281ae21d582c463ae867904ca36fc6ca6894997a179e579d,refit_final_DEEPAR_H4_s20260926_c28_2024-12-22,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,0.938769999993383,0.1143008999933954,304,28,7539,,102696960,cuda:0,1,,aa38318fa5bdf93490189804ca31f3960259fc5843d0547dd241e47de195e025,refit_final_DEEPAR_H4_s20260926_c28_2025-01-19,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,0.977434300002642,0.1177699999971082,334,28,7539,,102696960,cuda:0,1,,699215e022cd7f3cdb61324e45fd5a3b76ef93813fc2cdd5c5f32d98e721dd11,refit_final_DEEPAR_H4_s20260926_c28_2025-02-16,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,1.0706107000005431,0.1106417999981204,361,28,7539,,102696960,cuda:0,1,,bdef23517ddd2f88b6248aeb8b728544dc0bc55eb5d223b1795088899cb64eab,refit_final_DEEPAR_H4_s20260926_c28_2025-03-16,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,1.158676100007142,0.1169108000030973,387,28,7539,,102696960,cuda:0,1,,ead422f0b0cba38cc69d15aef387416e9f8e9b2418c7e4bc3a519f4e5c05a40c,refit_final_DEEPAR_H4_s20260926_c28_2025-04-13,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
DEEPAR,20260926,1.2730866999918362,0.1128345999895827,415,21,7539,,102696960,cuda:0,1,,c9f55491e5137255e81eeab669e4c29736a58d709e3049d6ac8f670127336bbd,refit_final_DEEPAR_H4_s20260926_c28_2025-05-11,4,refit,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,0.001,11.0,11.0,2.8.0+cu128,12.8,0.0,,,
LGBM,20260924,2.49440820000018,0.5267558000050485,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,224bc0c671af82a78b782c59f830f697e7d0afbb7259f6f8aab19a65796dcffa,F1_LGBM_H1_s20260924,1,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260925,2.476462599996012,0.5237871999997878,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,4b9a55d9f700389ab8ba0d4adf5575bc71e7dafd1942fc62ea37717cf89f7e9a,F1_LGBM_H1_s20260925,1,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260926,2.4911259000073187,0.5207547000027262,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,aaa971442d1be7d28f4ad9d3d91880597765516726e15bbcd2c7fec29dbeefc5,F1_LGBM_H1_s20260926,1,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260924,2.385758000003989,0.5303333999909228,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,41dd489a6ad69bbfe3dd697c9cc47c5d14e5b6c6b4df85f291f730356ceb53e4,F1_LGBM_H2_s20260924,2,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260925,2.4346489000017755,0.5454802000022028,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,be2d2b8e626c8f3fb994d39518f0afa860bc645b0861ef424a1b7e6e69f31eac,F1_LGBM_H2_s20260925,2,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260926,2.4384359999967278,0.5234834000002593,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,9bb42f5e1c71768b7f8d5b3e2626d1dc58f3bb9855ec318944ceba010409ce69,F1_LGBM_H2_s20260926,2,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260924,2.0453719000070123,0.4372627999982796,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,dc6dcd6ae9f52e77d0a74628bdabd97c75fc2ac8363e613ffa443173437318ee,F1_LGBM_H8_s20260924,8,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260925,2.059325700000045,0.4329201999935321,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,7cac0cb973d844c9f8efd7a68863601fb5035dcd64c4bfbf7a7e752c5190dff5,F1_LGBM_H8_s20260925,8,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
LGBM,20260926,2.0393708999908995,0.4247297999972943,167,443,12000,tree leaf values across Q50/Q90; not neural parameter count,0,cpu,1,False,df7b5dc3bbb4efd73cf6a44318800c747d5e7e89191072c63a240b3537d55d32,F1_LGBM_H8_s20260926,8,fixed,ENVIRONMENT.json,22b3eabd4f9fb099367a99190e5d6608d34e953887ddb6e3aa8e066c6253ddc5,,,,,,,,,
