family,cadence,score,mean_requirement,N_days
LGBM,28,578.0882461778086,2726.49994283158,34
DEEPAR,28,542.4746386523855,2808.3715111802426,34
LGBM,56,587.8084720958616,2794.428104053304,34
DEEPAR,56,537.8620468788048,2762.3500442993422,34
