N,coverage,GPU_coverage,underprediction_rate,positive_residual_mean_sec,positive_residual_P95_sec,positive_residual_max_sec,MAE_sec,WAPE,log_MAE,completion_slot_MAE,positive_error_sec,GPU_underprediction_sec,overreservation_GPU_hours,overreservation_P95_sec,track,role,u_hours,body,group,Q50_MAE_sec,Q50_WAPE,Q50_pinball,raw_Q90_MAE_sec,overconservative_warning,coverage_gate,GPU_gate,coverage_min,coverage_max
130,1.0,1.0,0.0,0.0,0.0,0.0,12867.963543791653,36.62955748303915,6.004970791776257,13.607692307692307,0.0,0.0,643.7215846121942,13384.916262199833,PW,DEVELOPMENT,4,B1,2025-03-27,11188.307140408266,31.848298150891736,5594.153570204133,12867.963543791653,True,PASS,PASS,0.88,1.0
142,1.0,1.0,0.0,0.0,0.0,0.0,12578.698180328585,20.030897282823556,5.677103324810657,13.338028169014084,0.0,0.0,688.5124821259082,13386.816262199833,PW,DEVELOPMENT,4,B1,2025-03-28,10889.523644037796,17.34097809213048,5444.761822018898,12578.698180328585,True,PASS,PASS,0.88,1.0
535,1.0,1.0,0.0,0.0,0.0,0.0,13534.194408932723,217.38250949530178,7.7993872342407045,14.936448598130841,0.0,0.0,2192.9172156737473,13594.16530694678,PW,DEVELOPMENT,4,B1,2025-03-29,12532.977339121435,201.30123619532162,6266.488669560717,13534.194408932723,True,PASS,PASS,0.88,1.0
47,0.7872340425531915,0.8130841121495327,0.2127659574468085,434.77889546423665,2505.7608086819105,2987.6608086819124,6375.878952503324,1.0771924094426018,1.3935574540333822,7.085106382978723,20434.608086819124,40869.21617363825,188.32357723975124,11013.139191318087,PW,DEVELOPMENT,4,B1,2025-03-30,4900.322568617236,0.827900014108997,2450.161284308618,6375.878952503324,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
989,0.9797775530839231,0.9797775530839231,0.020222446916076844,4.846584225069649,0.0,485.6756335947157,12400.981200745575,10.827329089534398,6.548141055513041,13.455005055611728,4793.271798593883,4793.271798593883,3405.4936488163275,13594.16530694678,PW,DEVELOPMENT,4,B1,GPU_1,11350.830058423611,9.910439383179005,5675.415029211806,12400.981200745575,True,PASS,PASS,0.88,1.0
1549,0.959974176888315,0.959349593495935,0.040025823111684955,64.29565772184449,0.0,3248.9574330450396,7407.632585490386,1.8480649705904695,1.6779192287899525,8.30858618463525,99593.97381113713,202783.96463028388,6512.683991496636,10735.468733437252,PW,DEVELOPMENT,4,B1,GPU_2_4,4758.9504044416835,1.1872685959685463,2379.4752022208418,7407.632585490386,False,PASS,PASS,0.88,1.0
16,1.0,1.0,0.0,0.0,0.0,0.0,9992.46521323689,6.0774487175196805,3.2046172560003736,11.0,0.0,0.0,1112.6694386236172,11689.806408568962,PW,DEVELOPMENT,4,B1,GPU_5_PLUS,6727.913410165399,4.091938060692834,3363.9567050826995,9992.46521323689,True,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
2554,0.9678935003915426,0.9676785324306617,0.03210649960845732,39.73910104248238,0.0,3230.5390625,9392.907265181455,3.255931059544431,3.5771607511738686,10.547376664056381,101493.6640625,197099.6328125,11109.856129014757,13595.0625,PW,DEVELOPMENT,4,B2,OVERALL,7261.245007167688,2.517017626420958,3630.622503583844,9392.907265181455,False,FAIL,PASS,0.9,0.95
568,0.9242957746478874,0.9315931593159316,0.07570422535211267,92.1118232834507,648.8726562499987,3230.5390625,5452.511450539173,0.9194761625265605,1.129495381787858,6.262323943661972,52319.515625,98831.3046875,1683.456962890625,10391.4609375,PW,DEVELOPMENT,4,B2,2025-03-22,3636.3341528664173,0.6132078039398267,1818.1670764332086,5452.511450539173,False,PASS,PASS,0.88,1.0
242,0.9545454545454546,0.9625167336010709,0.045454545454545456,73.5752598786157,0.0,2990.5390625,6014.782904506715,1.1275172878518318,1.411736603059951,6.871900826446281,17805.212890625,38372.2265625,1498.1509714084202,11562.2865234375,PW,DEVELOPMENT,4,B2,2025-03-23,4226.412993218288,0.7922736017429116,2113.206496609144,6014.782904506715,False,PASS,PASS,0.88,1.0
702,0.9914529914529915,0.9914529914529915,0.008547008547008548,16.093048878205128,0.0,2990.5390625,9749.830542757301,4.518697705796356,2.215094798474057,11.18091168091168,11297.3203125,22594.640625,3796.1576226128473,11234.689453125,PW,DEVELOPMENT,4,B2,2025-03-24,8441.510770009794,3.9123382896366725,4220.755385004897,9749.830542757301,True,PASS,PASS,0.88,1.0
79,0.8481012658227848,0.8481012658227848,0.1518987341772152,35.97176621835443,310.9974609375,432.8974609375,4588.210628461235,0.4879084344099263,0.9165921490723182,5.075949367088608,2841.76953125,2841.76953125,99.89635281032986,13782.5025390625,PW,DEVELOPMENT,4,B2,2025-03-25,3963.4266218354433,0.42146915966822046,1981.7133109177216,4588.210628461235,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
