track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
PW,6,B1,C1,DEVELOPMENT,4346,1569,0.36102162908421537,0.8952427903522356,0.822593375683032,0.14244108249304108,0.13591857000423088,,0.6,,,,,,,,,
PW,6,B1,C2,DEVELOPMENT,4346,1569,0.36102162908421537,0.7602843901454931,0.6359993033821377,0.17496842477836633,0.26730723623886293,,0.6,,,,,,,,,
PW,6,B1,C3,DEVELOPMENT,4346,1569,0.36102162908421537,0.7904781216369646,0.6558458195240277,0.17629523663321697,0.24059025636752848,,0.6,,,,,,,,,
PW,6,B2,C0,DEVELOPMENT,4346,1569,0.36102162908421537,0.5,0.36102162908421537,0.25124127981503097,0.14337457026068587,,0.6,,,,,,,,,
PW,6,B2,C1,DEVELOPMENT,4346,1569,0.36102162908421537,0.8952427903522356,0.822593375683032,0.14244108249304108,0.13591857000423088,,0.6,,,,,,,,,
PW,6,B2,C2,DEVELOPMENT,4346,1569,0.36102162908421537,0.7602843901454931,0.6359993033821377,0.17496842477836633,0.26730723623886293,,0.6,,,,,,,,,
PW,6,B2,C3,DEVELOPMENT,4346,1569,0.36102162908421537,0.7904781216369646,0.6558458195240277,0.17629523663321697,0.24059025636752848,,0.6,,,,,,,,,
PW,6,B3,C0,DEVELOPMENT,4346,1569,0.36102162908421537,0.5,0.36102162908421537,0.25124127981503097,0.14337457026068587,,0.6,,,,,,,,,
PW,6,B3,C1,DEVELOPMENT,4346,1569,0.36102162908421537,0.8952427903522356,0.822593375683032,0.14244108249304108,0.13591857000423088,,0.6,,,,,,,,,
PW,6,B3,C2,DEVELOPMENT,4346,1569,0.36102162908421537,0.7602843901454931,0.6359993033821377,0.17496842477836633,0.26730723623886293,,0.6,,,,,,,,,
PW,6,B3,C3,DEVELOPMENT,4346,1569,0.36102162908421537,0.7904781216369646,0.6558458195240277,0.17629523663321697,0.24059025636752848,,0.6,,,,,,,,,
PW,6,B0,C0,CALIBRATION,2634,500,0.18982536066818528,0.5,0.18982536066818528,0.15456574000362572,0.027821698155344216,,0.6,,,,,,,,,
PW,6,B0,C1,CALIBRATION,2634,500,0.18982536066818528,0.594477038425492,0.3234375578546425,0.2265075616832162,0.19921302083526032,,0.6,,,,,,,,,
PW,6,B0,C2,CALIBRATION,2634,500,0.18982536066818528,0.761616213683224,0.44971482064309654,0.12328090181550054,0.0896023125301638,,0.6,,,,,,,,,
PW,6,B0,C3,CALIBRATION,2634,500,0.18982536066818528,0.6552169634489222,0.28350265426295185,0.15082704507955608,0.1619320899946792,,0.6,,,,,,,,,
PW,6,B1,C0,CALIBRATION,2634,500,0.18982536066818528,0.5,0.18982536066818528,0.15456574000362572,0.027821698155344216,,0.6,,,,,,,,,
PW,6,B1,C1,CALIBRATION,2634,500,0.18982536066818528,0.594477038425492,0.3234375578546425,0.2265075616832162,0.19921302083526032,,0.6,,,,,,,,,
PW,6,B1,C2,CALIBRATION,2634,500,0.18982536066818528,0.761616213683224,0.44971482064309654,0.12328090181550054,0.0896023125301638,,0.6,,,,,,,,,
PW,6,B1,C3,CALIBRATION,2634,500,0.18982536066818528,0.6552169634489222,0.28350265426295185,0.15082704507955608,0.1619320899946792,,0.6,,,,,,,,,
PW,6,B2,C0,CALIBRATION,2634,500,0.18982536066818528,0.5,0.18982536066818528,0.15456574000362572,0.027821698155344216,,0.6,,,,,,,,,
PW,6,B2,C1,CALIBRATION,2634,500,0.18982536066818528,0.594477038425492,0.3234375578546425,0.2265075616832162,0.19921302083526032,,0.6,,,,,,,,,
PW,6,B2,C2,CALIBRATION,2634,500,0.18982536066818528,0.761616213683224,0.44971482064309654,0.12328090181550054,0.0896023125301638,,0.6,,,,,,,,,
PW,6,B2,C3,CALIBRATION,2634,500,0.18982536066818528,0.6552169634489222,0.28350265426295185,0.15082704507955608,0.1619320899946792,,0.6,,,,,,,,,
PW,6,B3,C0,CALIBRATION,2634,500,0.18982536066818528,0.5,0.18982536066818528,0.15456574000362572,0.027821698155344216,,0.6,,,,,,,,,
PW,6,B3,C1,CALIBRATION,2634,500,0.18982536066818528,0.594477038425492,0.3234375578546425,0.2265075616832162,0.19921302083526032,,0.6,,,,,,,,,
PW,6,B3,C2,CALIBRATION,2634,500,0.18982536066818528,0.761616213683224,0.44971482064309654,0.12328090181550054,0.0896023125301638,,0.6,,,,,,,,,
PW,6,B3,C3,CALIBRATION,2634,500,0.18982536066818528,0.6552169634489222,0.28350265426295185,0.15082704507955608,0.1619320899946792,,0.6,,,,,,,,,
PW,8,B0,C0,DEVELOPMENT,4346,1490,0.3428439944776806,0.5,0.3428439944776806,0.2629785463358349,0.19410449867936128,,0.6,,,,,,,,,
PW,8,B0,C1,DEVELOPMENT,4346,1490,0.3428439944776806,0.9290572772733252,0.8603323655419327,0.1360179126762782,0.2087309098102646,,0.6,,,,,,,,,
PW,8,B0,C2,DEVELOPMENT,4346,1490,0.3428439944776806,0.9580782480777545,0.9360053894864757,0.07946602805606981,0.1290781612419254,,0.6,,,,,,,,,
PW,8,B0,C3,DEVELOPMENT,4346,1490,0.3428439944776806,0.9483745511627469,0.8939693944697116,0.12888215813291143,0.1346298189747185,,0.6,,,,,,,,,
