track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
P,4,B0,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
P,4,B0,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.9043707262417496,0.8844265712714392,0.11842302985934682,0.1686774728354463,,0.6,,,,,,,,,
P,4,B0,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
P,4,B0,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
P,4,B1,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
P,4,B1,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.9043707262417496,0.8844265712714392,0.11842302985934682,0.1686774728354463,,0.6,,,,,,,,,
P,4,B1,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
P,4,B1,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
P,4,B2,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
P,4,B2,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.9043707262417496,0.8844265712714392,0.11842302985934682,0.1686774728354463,,0.6,,,,,,,,,
P,4,B2,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
P,4,B2,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
P,4,B3,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,,0.6,,,,,,,,,
P,4,B3,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.9043707262417496,0.8844265712714392,0.11842302985934682,0.1686774728354463,,0.6,,,,,,,,,
P,4,B3,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.7547818679032889,0.6643392806945233,0.23237526752085105,0.17112673801164294,,0.6,,,,,,,,,
P,4,B3,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6298476348375097,0.5733990191046946,0.21377265069294732,0.3071635345736792,,0.6,,,,,,,,,
P,4,B0,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
P,4,B0,C1,CALIBRATION,2634,574,0.21791951404707668,0.7135173877744325,0.540106506991244,0.1487496741436279,0.17221463991828462,,0.6,,,,,,,,,
P,4,B0,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
P,4,B0,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
P,4,B1,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
P,4,B1,C1,CALIBRATION,2634,574,0.21791951404707668,0.7135173877744325,0.540106506991244,0.1487496741436279,0.17221463991828462,,0.6,,,,,,,,,
P,4,B1,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
P,4,B1,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
P,4,B2,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
P,4,B2,C1,CALIBRATION,2634,574,0.21791951404707668,0.7135173877744325,0.540106506991244,0.1487496741436279,0.17221463991828462,,0.6,,,,,,,,,
P,4,B2,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
P,4,B2,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
P,4,B3,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,,0.6,,,,,,,,,
P,4,B3,C1,CALIBRATION,2634,574,0.21791951404707668,0.7135173877744325,0.540106506991244,0.1487496741436279,0.17221463991828462,,0.6,,,,,,,,,
P,4,B3,C2,CALIBRATION,2634,574,0.21791951404707668,0.7186051723554683,0.4818006347203323,0.2970902553738231,0.3716469827125189,,0.6,,,,,,,,,
P,4,B3,C3,CALIBRATION,2634,574,0.21791951404707668,0.5705088630289907,0.2599727462639571,0.2965892788986506,0.3547572553972448,,0.6,,,,,,,,,
P,6,B0,C0,DEVELOPMENT,4346,1569,0.36102162908421537,0.5,0.36102162908421537,0.25124127981503097,0.14337457026068587,,0.6,,,,,,,,,
P,6,B0,C1,DEVELOPMENT,4346,1569,0.36102162908421537,0.9093660182786171,0.8586767736025716,0.13525100361624473,0.17773021885243548,,0.6,,,,,,,,,
P,6,B0,C2,DEVELOPMENT,4346,1569,0.36102162908421537,0.7602843901454931,0.6359993033821377,0.17496842477836633,0.26730723623886293,,0.6,,,,,,,,,
P,6,B0,C3,DEVELOPMENT,4346,1569,0.36102162908421537,0.7904781216369646,0.6558458195240277,0.17629523663321697,0.24059025636752848,,0.6,,,,,,,,,
P,6,B1,C0,DEVELOPMENT,4346,1569,0.36102162908421537,0.5,0.36102162908421537,0.25124127981503097,0.14337457026068587,,0.6,,,,,,,,,
P,6,B1,C1,DEVELOPMENT,4346,1569,0.36102162908421537,0.9093660182786171,0.8586767736025716,0.13525100361624473,0.17773021885243548,,0.6,,,,,,,,,
P,6,B1,C2,DEVELOPMENT,4346,1569,0.36102162908421537,0.7602843901454931,0.6359993033821377,0.17496842477836633,0.26730723623886293,,0.6,,,,,,,,,
P,6,B1,C3,DEVELOPMENT,4346,1569,0.36102162908421537,0.7904781216369646,0.6558458195240277,0.17629523663321697,0.24059025636752848,,0.6,,,,,,,,,
P,6,B2,C0,DEVELOPMENT,4346,1569,0.36102162908421537,0.5,0.36102162908421537,0.25124127981503097,0.14337457026068587,,0.6,,,,,,,,,
