date,window_index,window_start,window_end,Y_k_GPUh,C_phys_k_GPUh,C_hist_k_GPUh,uncapped_prediction_GPUh,actionable_prediction_GPUh,physical_oracle_covered,historical_oracle_covered,uncapped_covered,actionable_covered,physical_prediction_cap_binding,historical_prediction_cap_binding
2025-05-01,28,2025-05-01T07:00:00+10:00,2025-05-01T11:00:00+10:00,1737.0580555555555,3120.0,11093.820277777779,2334.9957836184863,2334.9957836184863,True,True,True,True,False,False
2025-05-01,29,2025-05-01T07:15:00+10:00,2025-05-01T11:15:00+10:00,4478.4911111111105,3120.0,11093.820277777779,2378.2019138961523,2378.2019138961523,False,True,False,False,False,False
2025-05-01,30,2025-05-01T07:30:00+10:00,2025-05-01T11:30:00+10:00,4541.584444444445,3120.0,11093.820277777779,2494.5623228050836,2494.5623228050836,False,True,False,False,False,False
2025-05-01,31,2025-05-01T07:45:00+10:00,2025-05-01T11:45:00+10:00,4527.677222222222,3120.0,11093.820277777779,2428.0654041623234,2428.0654041623234,False,True,False,False,False,False
2025-05-01,32,2025-05-01T08:00:00+10:00,2025-05-01T12:00:00+10:00,5077.960555555555,3120.0,11093.820277777779,2440.2017982400894,2440.2017982400894,False,True,False,False,False,False
2025-05-01,33,2025-05-01T08:15:00+10:00,2025-05-01T12:15:00+10:00,4737.907499999999,3120.0,11093.820277777779,2373.266659302392,2373.266659302392,False,True,False,False,False,False
2025-05-01,34,2025-05-01T08:30:00+10:00,2025-05-01T12:30:00+10:00,4737.286388888889,3120.0,11093.820277777779,2317.1392160409123,2317.1392160409123,False,True,False,False,False,False
2025-05-01,35,2025-05-01T08:45:00+10:00,2025-05-01T12:45:00+10:00,4737.286388888889,3120.0,11093.820277777779,2255.338748317052,2255.338748317052,False,True,False,False,False,False
2025-05-01,36,2025-05-01T09:00:00+10:00,2025-05-01T13:00:00+10:00,4739.494166666666,3120.0,11093.820277777779,2821.2462798833435,2821.2462798833435,False,True,False,False,False,False
2025-05-01,37,2025-05-01T09:15:00+10:00,2025-05-01T13:15:00+10:00,4739.494166666666,3120.0,11093.820277777779,2122.5580631261555,2122.5580631261555,False,True,False,False,False,False
2025-05-01,38,2025-05-01T09:30:00+10:00,2025-05-01T13:30:00+10:00,4621.76611111111,3120.0,11093.820277777779,2021.9713525197492,2021.9713525197492,False,True,False,False,False,False
2025-05-01,39,2025-05-01T09:45:00+10:00,2025-05-01T13:45:00+10:00,4582.23611111111,3120.0,11093.820277777779,1830.5118976481451,1830.5118976481451,False,True,False,False,False,False
2025-05-01,40,2025-05-01T10:00:00+10:00,2025-05-01T14:00:00+10:00,4580.126944444444,3120.0,11093.820277777779,1956.0469968068694,1956.0469968068694,False,True,False,False,False,False
2025-05-01,41,2025-05-01T10:15:00+10:00,2025-05-01T14:15:00+10:00,4579.8425,3120.0,11093.820277777779,1879.0781226749627,1879.0781226749627,False,True,False,False,False,False
2025-05-01,42,2025-05-01T10:30:00+10:00,2025-05-01T14:30:00+10:00,4313.8308333333325,3120.0,11093.820277777779,1911.4904402222662,1911.4904402222662,False,True,False,False,False,False
2025-05-01,43,2025-05-01T10:45:00+10:00,2025-05-01T14:45:00+10:00,3832.6574999999993,3120.0,11093.820277777779,1870.884852897067,1870.884852897067,False,True,False,False,False,False
2025-05-01,44,2025-05-01T11:00:00+10:00,2025-05-01T15:00:00+10:00,3504.085833333333,3120.0,11093.820277777779,1836.112562460283,1836.112562460283,False,True,False,False,False,False
2025-05-01,45,2025-05-01T11:15:00+10:00,2025-05-01T15:15:00+10:00,631.9191666666667,3120.0,11093.820277777779,1807.8390783933287,1807.8390783933287,True,True,True,True,False,False
2025-05-01,46,2025-05-01T11:30:00+10:00,2025-05-01T15:30:00+10:00,563.9091666666667,3120.0,11093.820277777779,1817.1308990344926,1817.1308990344926,True,True,True,True,False,False
2025-05-01,47,2025-05-01T11:45:00+10:00,2025-05-01T15:45:00+10:00,564.0405555555556,3120.0,11093.820277777779,1830.4223417161515,1830.4223417161515,True,True,True,True,False,False
2025-05-01,48,2025-05-01T12:00:00+10:00,2025-05-01T16:00:00+10:00,12.47861111111111,3120.0,11093.820277777779,1837.3639700822287,1837.3639700822287,True,True,True,True,False,False
2025-05-01,49,2025-05-01T12:15:00+10:00,2025-05-01T16:15:00+10:00,12.47861111111111,3120.0,11093.820277777779,1897.9067709970686,1897.9067709970686,True,True,True,True,False,False
2025-05-01,50,2025-05-01T12:30:00+10:00,2025-05-01T16:30:00+10:00,17.152777777777775,3120.0,11093.820277777779,1853.415782846863,1853.415782846863,True,True,True,True,False,False
2025-05-01,51,2025-05-01T12:45:00+10:00,2025-05-01T16:45:00+10:00,17.15361111111111,3120.0,11093.820277777779,1924.9986445035556,1924.9986445035556,True,True,True,True,False,False
2025-05-01,52,2025-05-01T13:00:00+10:00,2025-05-01T17:00:00+10:00,14.945833333333333,3120.0,11093.820277777779,1882.5575617911145,1882.5575617911145,True,True,True,True,False,False
2025-05-01,53,2025-05-01T13:15:00+10:00,2025-05-01T17:15:00+10:00,14.945833333333333,3120.0,11093.820277777779,1880.2024116011112,1880.2024116011112,True,True,True,True,False,False
2025-05-01,54,2025-05-01T13:30:00+10:00,2025-05-01T17:30:00+10:00,14.87583333333333,3120.0,11093.820277777779,1916.7243562792337,1916.7243562792337,True,True,True,True,False,False
2025-05-01,55,2025-05-01T13:45:00+10:00,2025-05-01T17:45:00+10:00,6.404166666666667,3120.0,11093.820277777779,2001.415553408148,2001.415553408148,True,True,True,True,False,False
2025-05-01,56,2025-05-01T14:00:00+10:00,2025-05-01T18:00:00+10:00,102.40972222222223,3120.0,11093.820277777779,1998.9532485053082,1998.9532485053082,True,True,True,True,False,False
2025-05-01,57,2025-05-01T14:15:00+10:00,2025-05-01T18:15:00+10:00,102.40972222222223,3120.0,11093.820277777779,1899.7782051889105,1899.7782051889105,True,True,True,True,False,False
2025-05-01,58,2025-05-01T14:30:00+10:00,2025-05-01T18:30:00+10:00,102.40972222222223,3120.0,11093.820277777779,1876.2885078112652,1876.2885078112652,True,True,True,True,False,False
2025-05-01,59,2025-05-01T14:45:00+10:00,2025-05-01T18:45:00+10:00,102.40972222222223,3120.0,11093.820277777779,1795.1207995219418,1795.1207995219418,True,True,True,True,False,False
2025-05-01,60,2025-05-01T15:00:00+10:00,2025-05-01T19:00:00+10:00,102.40972222222223,3120.0,11093.820277777779,1834.3004596501657,1834.3004596501657,True,True,True,True,False,False
2025-05-01,61,2025-05-01T15:15:00+10:00,2025-05-01T19:15:00+10:00,102.40972222222223,3120.0,11093.820277777779,1811.4002818920485,1811.4002818920485,True,True,True,True,False,False
2025-05-01,62,2025-05-01T15:30:00+10:00,2025-05-01T19:30:00+10:00,102.40972222222223,3120.0,11093.820277777779,1566.7966539774577,1566.7966539774577,True,True,True,True,False,False
2025-05-01,63,2025-05-01T15:45:00+10:00,2025-05-01T19:45:00+10:00,101.26222222222222,3120.0,11093.820277777779,1442.9614125850433,1442.9614125850433,True,True,True,True,False,False
2025-05-01,64,2025-05-01T16:00:00+10:00,2025-05-01T20:00:00+10:00,107.24666666666667,3120.0,11093.820277777779,1232.5626508436535,1232.5626508436535,True,True,True,True,False,False
2025-05-01,65,2025-05-01T16:15:00+10:00,2025-05-01T20:15:00+10:00,109.28861111111111,3120.0,11093.820277777779,974.258596049777,974.258596049777,True,True,True,True,False,False
2025-05-01,66,2025-05-01T16:30:00+10:00,2025-05-01T20:30:00+10:00,104.61444444444444,3120.0,11093.820277777779,857.5715141334215,857.5715141334215,True,True,True,True,False,False
2025-05-01,67,2025-05-01T16:45:00+10:00,2025-05-01T20:45:00+10:00,104.61361111111111,3120.0,11093.820277777779,841.4020880593511,841.4020880593511,True,True,True,True,False,False
2025-05-01,68,2025-05-01T17:00:00+10:00,2025-05-01T21:00:00+10:00,104.61361111111111,3120.0,11093.820277777779,734.2119289448232,734.2119289448232,True,True,True,True,False,False
