date,window_start,Y_k_GPUh,C_phys_k_GPUh,exceedance_GPUh
2025-05-01,2025-05-01T00:00:00+10:00,3199.6855555555567,3120.0,79.68555555555668
2025-05-01,2025-05-01T00:15:00+10:00,3506.6027777777786,3120.0,386.60277777777856
2025-05-01,2025-05-01T00:30:00+10:00,3593.7122222222233,3120.0,473.7122222222233
2025-05-01,2025-05-01T00:45:00+10:00,3508.299166666667,3120.0,388.29916666666713
2025-05-01,2025-05-01T01:00:00+10:00,3487.7566666666676,3120.0,367.75666666666757
2025-05-01,2025-05-01T07:15:00+10:00,4478.4911111111105,3120.0,1358.4911111111105
2025-05-01,2025-05-01T07:30:00+10:00,4541.584444444445,3120.0,1421.5844444444447
2025-05-01,2025-05-01T07:45:00+10:00,4527.677222222222,3120.0,1407.6772222222216
2025-05-01,2025-05-01T08:00:00+10:00,5077.960555555555,3120.0,1957.9605555555554
2025-05-01,2025-05-01T08:15:00+10:00,4737.907499999999,3120.0,1617.9074999999993
2025-05-01,2025-05-01T08:30:00+10:00,4737.286388888889,3120.0,1617.2863888888887
2025-05-01,2025-05-01T08:45:00+10:00,4737.286388888889,3120.0,1617.2863888888887
2025-05-01,2025-05-01T09:00:00+10:00,4739.494166666666,3120.0,1619.4941666666664
2025-05-01,2025-05-01T09:15:00+10:00,4739.494166666666,3120.0,1619.4941666666664
2025-05-01,2025-05-01T09:30:00+10:00,4621.76611111111,3120.0,1501.7661111111101
2025-05-01,2025-05-01T09:45:00+10:00,4582.23611111111,3120.0,1462.2361111111104
2025-05-01,2025-05-01T10:00:00+10:00,4580.126944444444,3120.0,1460.1269444444442
2025-05-01,2025-05-01T10:15:00+10:00,4579.8425,3120.0,1459.8424999999997
2025-05-01,2025-05-01T10:30:00+10:00,4313.8308333333325,3120.0,1193.8308333333325
2025-05-01,2025-05-01T10:45:00+10:00,3832.6574999999993,3120.0,712.6574999999993
2025-05-01,2025-05-01T11:00:00+10:00,3504.085833333333,3120.0,384.0858333333331
2025-05-02,2025-05-02T02:00:00+10:00,3157.2675000000004,3120.0,37.26750000000038
2025-05-02,2025-05-02T02:15:00+10:00,3170.0308333333337,3120.0,50.0308333333337
2025-05-02,2025-05-02T02:30:00+10:00,3538.8063888888896,3120.0,418.8063888888896
2025-05-02,2025-05-02T02:45:00+10:00,3607.715277777778,3120.0,487.7152777777778
2025-05-02,2025-05-02T03:00:00+10:00,3882.192222222223,3120.0,762.1922222222229
2025-05-02,2025-05-02T03:15:00+10:00,3818.405,3120.0,698.4050000000002
2025-05-02,2025-05-02T03:30:00+10:00,3821.917777777778,3120.0,701.9177777777782
2025-05-02,2025-05-02T03:45:00+10:00,3763.5661111111112,3120.0,643.5661111111112
2025-05-02,2025-05-02T04:00:00+10:00,3754.6436111111116,3120.0,634.6436111111116
2025-05-02,2025-05-02T04:15:00+10:00,3693.736388888889,3120.0,573.736388888889
2025-05-02,2025-05-02T04:30:00+10:00,3688.5863888888885,3120.0,568.5863888888885
2025-05-02,2025-05-02T04:45:00+10:00,3615.8297222222222,3120.0,495.82972222222224
2025-05-02,2025-05-02T05:00:00+10:00,3559.8894444444445,3120.0,439.8894444444445
2025-05-02,2025-05-02T05:15:00+10:00,3558.730555555556,3120.0,438.73055555555584
2025-05-02,2025-05-02T05:30:00+10:00,3557.294722222222,3120.0,437.29472222222194
2025-05-02,2025-05-02T13:00:00+10:00,3573.8152777777777,3120.0,453.81527777777774
2025-05-02,2025-05-02T13:15:00+10:00,3573.9391666666666,3120.0,453.93916666666655
2025-05-02,2025-05-02T13:30:00+10:00,3570.6247222222223,3120.0,450.6247222222223
2025-05-02,2025-05-02T13:45:00+10:00,3569.0041666666666,3120.0,449.0041666666666
2025-05-02,2025-05-02T14:00:00+10:00,3568.8583333333336,3120.0,448.8583333333336
2025-05-02,2025-05-02T14:15:00+10:00,3184.6661111111107,3120.0,64.6661111111107
2025-05-03,2025-05-03T11:45:00+10:00,3194.3180555555555,3120.0,74.31805555555547
2025-05-03,2025-05-03T12:00:00+10:00,3544.6769444444444,3120.0,424.6769444444444
2025-05-03,2025-05-03T12:15:00+10:00,3504.810833333333,3120.0,384.810833333333
2025-05-03,2025-05-03T12:30:00+10:00,3504.810833333333,3120.0,384.810833333333
2025-05-03,2025-05-03T12:45:00+10:00,4176.045555555555,3120.0,1056.0455555555554
2025-05-03,2025-05-03T13:00:00+10:00,4176.045555555555,3120.0,1056.0455555555554
2025-05-03,2025-05-03T13:15:00+10:00,4176.045555555555,3120.0,1056.0455555555554
2025-05-03,2025-05-03T13:30:00+10:00,4176.045555555555,3120.0,1056.0455555555554
2025-05-03,2025-05-03T13:45:00+10:00,4176.045555555555,3120.0,1056.0455555555554
2025-05-03,2025-05-03T14:00:00+10:00,4170.622777777778,3120.0,1050.6227777777776
