target_day,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error
2024-03-15,165,346.52277777777783,346.5227777777778,5.684341886080802e-14,3.552713678800501e-15
2024-03-16,401,260.81888888888886,260.8188888888889,5.684341886080802e-14,3.552713678800501e-15
2024-03-17,405,31.73222222222219,31.732222222222223,3.197442310920451e-14,5.329070518200751e-15
2024-03-18,39,78.7166666666666,78.71666666666667,7.105427357601002e-14,3.552713678800501e-14
2024-03-19,242,172.66972222222222,172.6697222222222,2.842170943040401e-14,7.993605777301127e-15
2024-03-20,424,268.65638888888884,268.6563888888889,5.684341886080802e-14,5.329070518200751e-15
2024-03-21,325,816.8919444444446,816.8919444444443,2.2737367544323206e-13,7.105427357601002e-14
2024-03-22,716,909.8311111111109,909.8311111111111,2.2737367544323206e-13,2.842170943040401e-14
2024-03-23,385,615.155,615.155,0.0,2.1316282072803006e-14
2024-03-24,29,98.79999999999998,98.80000000000001,2.842170943040401e-14,3.552713678800501e-15
2024-03-25,306,89.40083333333335,89.40083333333334,1.4210854715202004e-14,1.7763568394002505e-15
2024-03-26,1052,788.703611111111,788.7036111111111,1.1368683772161603e-13,1.4210854715202004e-14
2024-03-27,958,686.887777777778,686.8877777777777,2.2737367544323206e-13,1.1368683772161603e-13
2024-03-28,476,360.8427777777779,360.8427777777778,5.684341886080802e-14,4.618527782440651e-14
2024-03-29,254,1044.359722222222,1044.3597222222222,2.2737367544323206e-13,1.2789769243681803e-13
2024-03-30,81,1368.1669444444442,1368.1669444444444,2.2737367544323206e-13,1.1368683772161603e-13
2024-03-31,18,107.25777777777778,107.25777777777779,1.4210854715202004e-14,2.7755575615628914e-17
2024-04-01,403,169.9877777777778,169.98777777777778,2.842170943040401e-14,6.039613253960852e-14
2024-04-02,1161,1486.906388888889,1486.9063888888888,2.2737367544323206e-13,1.1368683772161603e-13
2024-04-03,1984,1468.8899999999994,1468.8899999999999,4.547473508864641e-13,5.684341886080802e-14
2024-04-04,2389,1512.1902777777777,1512.1902777777777,0.0,4.263256414560601e-14
2024-04-05,5201,1830.0966666666686,1830.0966666666668,1.8189894035458565e-12,1.4210854715202004e-13
2024-04-06,3230,1549.1258333333335,1549.1258333333335,0.0,1.1368683772161603e-13
2024-04-07,867,501.8130555555555,501.8130555555556,1.1368683772161603e-13,3.552713678800501e-14
2024-04-08,0,0.0,0.0,0.0,0.0
2024-04-09,2975,1090.9044444444432,1090.9044444444444,1.1368683772161603e-12,3.552713678800501e-14
2024-04-10,8344,927.1744444444464,927.1744444444445,1.9326762412674725e-12,1.0658141036401503e-13
2024-04-11,7696,2170.2322222222197,2170.232222222222,2.2737367544323206e-12,1.7053025658242404e-13
2024-04-12,13578,5182.5811111111,5182.581111111111,1.0913936421275139e-11,2.8421709430404007e-13
2024-04-13,804,380.87555555555565,380.87555555555554,1.1368683772161603e-13,1.7053025658242404e-13
2024-04-14,0,0.0,0.0,0.0,0.0
2024-04-15,0,0.0,0.0,0.0,0.0
2024-04-16,0,0.0,0.0,0.0,0.0
2024-04-17,0,0.0,0.0,0.0,0.0
2024-04-18,251,94.64138888888888,94.64138888888888,0.0,4.440892098500626e-15
2024-04-19,112,182.91777777777784,182.9177777777778,5.684341886080802e-14,1.4210854715202004e-14
2024-04-20,3400,565.4711111111105,565.4711111111111,5.684341886080801e-13,3.552713678800501e-13
2024-04-21,6795,1015.1555555555558,1015.1555555555556,2.2737367544323206e-13,2.5579538487363607e-13
2024-04-22,763,2592.7330555555563,2592.7330555555554,9.094947017729282e-13,1.4210854715202004e-13
2024-04-23,3614,1028.6752777777779,1028.6752777777776,2.2737367544323206e-13,1.6342482922482304e-13
2024-04-24,3686,3285.1141666666663,3285.1141666666667,4.547473508864641e-13,4.547473508864641e-13
2024-04-25,4108,3315.830277777777,3315.8302777777776,4.547473508864641e-13,8.526512829121202e-14
2024-04-26,3453,3056.4372222222178,3056.437222222222,4.092726157978177e-12,1.2079226507921703e-13
2024-04-27,4602,3208.332777777778,3208.3327777777777,4.547473508864641e-13,5.684341886080802e-14
2024-04-28,8037,2076.4658333333327,2076.4658333333336,9.094947017729282e-13,5.684341886080802e-14
2024-04-29,6965,5338.081666666663,5338.081666666667,3.637978807091713e-12,5.684341886080801e-13
2024-04-30,337,1712.1225000000002,1712.1225000000002,0.0,5.684341886080802e-14
2024-05-01,8829,2205.139444444444,2205.1394444444445,4.547473508864641e-13,2.842170943040401e-14
2024-05-02,7987,2643.6441666666624,2643.644166666667,4.547473508864641e-12,3.410605131648481e-13
2024-05-03,8753,2752.0302777777783,2752.030277777778,4.547473508864641e-13,7.105427357601002e-14
2024-05-04,7620,2063.6377777777775,2063.637777777778,4.547473508864641e-13,3.907985046680551e-14
2024-05-05,8469,2994.834722222223,2994.834722222222,9.094947017729282e-13,2.2737367544323206e-13
2024-05-06,7773,2534.4397222222206,2534.4397222222224,1.8189894035458565e-12,5.684341886080801e-13
2024-05-07,4347,4375.39722222222,4375.397222222222,1.8189894035458565e-12,1.7053025658242404e-13
2024-05-08,3420,4696.669722222219,4696.669722222221,1.8189894035458565e-12,1.1368683772161603e-13
2024-05-09,4266,4269.2375,4269.2375,0.0,5.684341886080801e-13
2024-05-10,7480,2198.0930555555565,2198.093055555555,1.3642420526593924e-12,2.8421709430404007e-13
2024-05-11,11943,2980.7994444444453,2980.7994444444444,9.094947017729282e-13,5.684341886080802e-14
2024-05-12,20791,3529.755000000003,3529.755,2.7284841053187847e-12,8.526512829121202e-14
