split,model,seed,target_hour,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,0,raw,88,88,24447.014166666664,0.3522727272727273,0.7386363636363636,0.16136363636363638,126.71112184198937,130.64827561630742,261.29655123261483,442.5995683589393,1.8668170242208415,1.2362474116464737,45638.102237701416
EXPOSED_EVALUATION,DEEPAR,20260924,1,raw,88,88,49650.393611111125,0.19318181818181818,0.75,0.15000000000000002,278.92369394691565,260.1202058230116,520.2404116460232,1126.8128793232297,1.4391761573712503,0.8896208876727203,71455.66268920898
EXPOSED_EVALUATION,DEEPAR,20260924,2,raw,88,88,53488.27000000008,0.25,0.8863636363636364,0.013636363636363669,376.93321544063525,284.59884517408614,569.1976903481723,1790.173117213301,1.5562634288653112,1.1207753510371912,83241.83847427368
EXPOSED_EVALUATION,DEEPAR,20260924,3,raw,88,88,67247.63805555552,0.2727272727272727,0.8522727272727273,0.04772727272727273,559.4381340348983,366.46944082883425,732.9388816576685,2972.1145548123595,1.1339816930239635,0.8526621099523582,76257.59045410156
EXPOSED_EVALUATION,DEEPAR,20260924,4,raw,88,88,23495.575555555555,0.4090909090909091,0.8977272727272727,0.002272727272727315,146.74571251198742,121.86228785718858,243.72457571437715,581.0202144884189,3.0953662774050636,2.4354489884426385,72727.4122428894
EXPOSED_EVALUATION,DEEPAR,20260924,5,raw,88,88,26796.752222222218,0.29545454545454547,0.875,0.025000000000000022,119.09521191005514,137.2665711163925,274.533142232785,711.3638230270172,2.6300821904609055,1.8581802726998493,70477.66078186035
EXPOSED_EVALUATION,DEEPAR,20260924,6,raw,88,88,30397.644722222227,0.3522727272727273,0.9204545454545454,0.020454545454545392,191.16510350007727,160.06686768936837,320.13373537873673,860.7990814795882,2.565737791538123,1.9625795569678903,77992.38583755493
EXPOSED_EVALUATION,DEEPAR,20260924,7,raw,88,88,30590.83138888888,0.375,0.8636363636363636,0.036363636363636376,163.42000709683956,164.4631270995043,328.9262541990086,814.1167806272746,2.059351908724997,1.4235236084336176,62997.28701019287
EXPOSED_EVALUATION,DEEPAR,20260924,8,raw,88,88,45891.03916666664,0.38636363636363635,0.8409090909090909,0.05909090909090908,325.11392314893516,251.36682869216992,502.73365738433984,1552.4602388524152,1.4636900942126723,1.040754891404515,67170.25944137573
EXPOSED_EVALUATION,DEEPAR,20260924,9,raw,88,88,87882.50722222216,0.32954545454545453,0.8295454545454546,0.07045454545454544,763.5888757446745,486.87826109693475,973.7565221938695,3497.0937869256522,0.7838581591632524,0.5700820840184112,68887.4203338623
