split,N_days,N_hours,zero_hours,positive_hours,burst_hours,Q50_GPUh,Q90_GPUh,max_GPUh,total_GPUh
TRAIN,167,4008,1219,2789,140,14.54569444444446,244.89833333333334,15578.127499999999,595880.703611111
DEVELOPMENT,58,1392,451,941,83,8.492916666666666,546.3077777777797,12391.0625,329015.0525
CALIBRATION,26,624,123,501,38,24.087222222222223,539.06475,53797.604444444354,248575.1924999999
EXPOSED_EVALUATION,88,2112,477,1635,132,27.59638888888889,529.2280833333332,23273.121388888918,672290.9750000001
MAY_HISTORICAL,31,744,105,639,69,48.004583333333315,786.7080833333331,57931.09111111111,351588.466388889
