split,model,seed,variant,regime,TRAIN_burst_threshold_GPUh,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,21.785468123493953,2.930626134388881,5.861252268777762,14.51320706936467,,,103916.68294906616
EXPOSED_EVALUATION,DEEPAR,20260925,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,20.327741143288602,3.413025025641487,6.826050051282974,15.758361895980231,,,96963.32525348663
EXPOSED_EVALUATION,DEEPAR,20260926,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,18.84100954612596,2.8559103635465823,5.711820727093165,14.186257109360044,,,89871.61553502083
EXPOSED_EVALUATION,LGBM,20260924,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,13.710872203477077,2.8422660738026115,5.684532147605223,12.25857069627352,,,65400.86041058566
EXPOSED_EVALUATION,LGBM,20260925,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,13.710872203477077,2.8422660738026115,5.684532147605223,12.25857069627352,,,65400.86041058566
EXPOSED_EVALUATION,LGBM,20260926,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,13.710872203477077,2.8422660738026115,5.684532147605223,12.25857069627352,,,65400.86041058566
EXPOSED_EVALUATION,SEASONAL,0,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,22.667029903331,7.645887491264851,15.291774982529702,30.779827026581184,,,108121.73263888888
EXPOSED_EVALUATION,TFT,20260924,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,28.305405736319425,7.493849929273753,14.987699858547506,15.801601392947862,,,135016.78536224365
EXPOSED_EVALUATION,TFT,20260925,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,19.71551184984123,6.086332401139681,12.172664802279362,13.043353057636699,,,94042.99152374268
EXPOSED_EVALUATION,TFT,20260926,raw,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,21.841461659877307,6.333003634926658,12.666007269853315,13.945721055676666,,,104183.77211761475
MAY_HISTORICAL,DEEPAR,20260924,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,41.1588973563058,5.768623604093279,11.537247208186558,19.119244716875578,,,43216.842224121094
MAY_HISTORICAL,DEEPAR,20260925,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,41.72722780136835,6.733286725871619,13.466573451743239,19.174274318938213,,,43813.58919143677
MAY_HISTORICAL,DEEPAR,20260926,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,54.446349821544835,7.396465030166188,14.792930060332376,22.378158899587184,,,57168.66731262207
MAY_HISTORICAL,LGBM,20260924,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,17.8662401899479,2.4197321455192604,4.839464291038521,8.429392601057794,,,18759.552199445297
MAY_HISTORICAL,LGBM,20260925,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,17.8662401899479,2.4197321455192604,4.839464291038521,8.429392601057794,,,18759.552199445297
MAY_HISTORICAL,LGBM,20260926,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,17.8662401899479,2.4197321455192604,4.839464291038521,8.429392601057794,,,18759.552199445297
MAY_HISTORICAL,SEASONAL,0,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,18.491556719576717,2.4774126984126985,4.954825396825397,14.087454116742624,,,19416.134555555553
MAY_HISTORICAL,TFT,20260924,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,40.58747469947452,9.308495766775948,18.616991533551897,19.101117529788237,,,42616.84843444824
MAY_HISTORICAL,TFT,20260925,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,29.453780139741447,7.643354388645717,15.286708777291434,16.199518461266543,,,30926.469146728516
MAY_HISTORICAL,TFT,20260926,raw,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,34.170667833600724,8.254605552128384,16.509211104256767,17.757401340858653,,,35879.20122528076
EXPOSED_EVALUATION,DEEPAR,20260924,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.2434250764525994,0.8311926605504587,0.06880733944954132,263.51287462745074,196.41846211995662,392.83692423991323,1568.998395411126,1.4712853876321041,1.065015593128969,989131.8877544403
EXPOSED_EVALUATION,DEEPAR,20260925,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.26422018348623855,0.818348623853211,0.08165137614678897,258.01096007913225,195.76667942405484,391.5333588481097,1567.9544424092742,1.2059434116075731,0.8128272538768122,810744.8719844818
EXPOSED_EVALUATION,DEEPAR,20260926,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.2434250764525994,0.8201834862385321,0.07981651376146792,261.9268788213494,196.26205599477143,392.52411198954286,1569.0493834981605,1.2644509213879316,0.8750074591950205,850078.942779541
EXPOSED_EVALUATION,LGBM,20260924,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.2470948012232416,0.7516819571865443,0.14831804281345573,268.0730374993641,197.34514178521638,394.69028357043277,1569.9032120638908,0.7567970565985894,0.43306633227298114,508787.8310577959
EXPOSED_EVALUATION,LGBM,20260925,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.2470948012232416,0.7516819571865443,0.14831804281345573,268.0730374993641,197.34514178521638,394.69028357043277,1569.9032120638908,0.7567970565985894,0.43306633227298114,508787.8310577959
EXPOSED_EVALUATION,LGBM,20260926,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.2470948012232416,0.7516819571865443,0.14831804281345573,268.0730374993641,197.34514178521638,394.69028357043277,1569.9032120638908,0.7567970565985894,0.43306633227298114,508787.8310577959
EXPOSED_EVALUATION,SEASONAL,0,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.21100917431192662,0.7370030581039755,0.16299694189602454,277.3619540485899,197.10070268433572,394.20140536867143,1569.449146661106,0.792920853908863,0.4881682339175299,533073.5339722221
EXPOSED_EVALUATION,TFT,20260924,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.3186544342507645,0.8623853211009175,0.03761467889908254,254.00585648066235,199.46267075478946,398.9253415095789,1572.4692151191755,1.2293555791248871,0.8241578621017288,826484.6609115601
EXPOSED_EVALUATION,TFT,20260925,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.3021406727828746,0.8354740061162079,0.0645259938837921,254.96547725262457,199.28837136738943,398.57674273477886,1572.5717427292805,1.1459504995925172,0.7514270716092127,770412.1786727905
EXPOSED_EVALUATION,TFT,20260926,raw,positive,860.3532222222221,83,1635,672290.9750000001,0.309480122324159,0.8562691131498471,0.04373088685015292,252.88311338825343,198.83428498099494,397.6685699619899,1571.9959045869964,1.350971345988124,0.9308815605357053,908245.8433914185
MAY_HISTORICAL,DEEPAR,20260924,raw,positive,860.3532222222221,31,639,351588.466388889,0.29264475743348983,0.8513302034428795,0.04866979655712056,360.4423195302385,264.1309090686842,528.2618181373684,2810.3750729797257,1.7538628268517864,1.3335681191133935,616637.9415493011
MAY_HISTORICAL,DEEPAR,20260925,raw,positive,860.3532222222221,31,639,351588.466388889,0.325508607198748,0.8184663536776213,0.0815336463223787,360.3761600274406,263.3395648104734,526.6791296209468,2810.8722030728027,1.2024096683798824,0.8371400338575095,422753.37127685547
MAY_HISTORICAL,DEEPAR,20260926,raw,positive,860.3532222222221,31,639,351588.466388889,0.28482003129890454,0.837245696400626,0.06275430359937406,360.5512772598003,264.4832634196006,528.9665268392012,2812.238227564508,1.3704943614489766,0.9887345271938562,481850.01073646545
MAY_HISTORICAL,LGBM,20260924,raw,positive,860.3532222222221,31,639,351588.466388889,0.24413145539906103,0.7605633802816901,0.1394366197183099,371.7360187417235,265.15858412913303,530.3171682582661,2813.555199674966,0.7662833144938817,0.46527246963525426,269416.37536229857
MAY_HISTORICAL,LGBM,20260925,raw,positive,860.3532222222221,31,639,351588.466388889,0.24413145539906103,0.7605633802816901,0.1394366197183099,371.7360187417235,265.15858412913303,530.3171682582661,2813.555199674966,0.7662833144938817,0.46527246963525426,269416.37536229857
MAY_HISTORICAL,LGBM,20260926,raw,positive,860.3532222222221,31,639,351588.466388889,0.24413145539906103,0.7605633802816901,0.1394366197183099,371.7360187417235,265.15858412913303,530.3171682582661,2813.555199674966,0.7662833144938817,0.46527246963525426,269416.37536229857
MAY_HISTORICAL,SEASONAL,0,raw,positive,860.3532222222221,31,639,351588.466388889,0.21752738654147105,0.6979655712050078,0.20203442879499223,391.29568926708413,265.9317874065381,531.8635748130762,2814.411023923326,0.6043578478085879,0.35508858111567454,212485.24886111103
MAY_HISTORICAL,TFT,20260924,raw,positive,860.3532222222221,31,639,351588.466388889,0.3270735524256651,0.8247261345852895,0.07527386541471048,358.99777059307723,268.93298905785707,537.8659781157141,2816.7743045028133,0.9678848412400891,0.623562513827943,340297.14697265625
MAY_HISTORICAL,TFT,20260925,raw,positive,860.3532222222221,31,639,351588.466388889,0.3208137715179969,0.8309859154929577,0.06901408450704227,353.9756267744453,268.48441998538635,536.9688399707727,2816.30813444886,1.0359329505399577,0.6756782377552769,364222.07736206055
MAY_HISTORICAL,TFT,20260926,raw,positive,860.3532222222221,31,639,351588.466388889,0.3317683881064163,0.8403755868544601,0.0596244131455399,346.3843790709846,267.8928394121122,535.7856788242244,2815.7081123506614,1.2583640599836428,0.8620694034621722,442426.2900085449
EXPOSED_EVALUATION,DEEPAR,20260924,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.14393939393939395,0.7560606060606061,2512.977091263704,1716.4119522327458,3432.8239044654915,5475.867553247676,0.22276942192267185,0.023844643064759953,102157.02898788452
EXPOSED_EVALUATION,DEEPAR,20260925,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.045454545454545456,0.8545454545454546,2590.3179463533347,1714.9238986770324,3429.847797354065,5473.024801979032,0.17611590986127237,0.004118792135724358,80762.78132629395
EXPOSED_EVALUATION,DEEPAR,20260926,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.09848484848484848,0.8015151515151515,2583.365311905775,1716.544934305184,3433.089868610368,5476.3459974191865,0.18190763974625876,0.007330056148962399,83418.7379322052
EXPOSED_EVALUATION,LGBM,20260924,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.0,0.9,2762.0081163076156,1717.8444531817186,3435.688906363437,5477.609598464154,0.11662786429520357,0.0,53482.90627488322
EXPOSED_EVALUATION,LGBM,20260925,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.0,0.9,2762.0081163076156,1717.8444531817186,3435.688906363437,5477.609598464154,0.11662786429520357,0.0,53482.90627488322
EXPOSED_EVALUATION,LGBM,20260926,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.0,0.9,2762.0081163076156,1717.8444531817186,3435.688906363437,5477.609598464154,0.11662786429520357,0.0,53482.90627488322
EXPOSED_EVALUATION,SEASONAL,0,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.015151515151515152,0.8848484848484849,2792.73910892256,1715.8503477483168,3431.7006954966337,5477.305658557274,0.10750924549426687,0.0006390578964555105,49301.31349999998
EXPOSED_EVALUATION,TFT,20260924,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.0,0.9,2619.4626885306625,1725.7732907413715,3451.546581482743,5484.615438161045,0.16221812097360072,0.0,74389.56901550293
EXPOSED_EVALUATION,TFT,20260925,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.0,0.9,2605.0141118982497,1725.8273645555614,3451.654729111123,5484.9646257802715,0.1668392044245545,0.0,76508.69358825684
EXPOSED_EVALUATION,TFT,20260926,raw,burst,860.3532222222221,63,132,458577.43000000005,0.0,0.03787878787878788,0.8621212121212122,2514.666329505587,1724.7094101027287,3449.4188202054575,5483.485921999679,0.19618392847749969,0.0004039406178395543,89965.52172851562
MAY_HISTORICAL,DEEPAR,20260924,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.18840579710144928,0.7115942028985507,2584.690742522949,1903.2904972851995,3806.580994570399,8528.416516868758,0.2999194000622488,0.039434115618651976,79892.74406433105
