split,weekday,size,sum,mean,median,max
CALIBRATION,0,96,14646.229722222222,152.56489293981483,20.12763888888889,3120.975277777777
CALIBRATION,1,72,80113.85583333323,1112.6924421296283,16.240277777777777,53797.604444444354
CALIBRATION,2,96,33257.755000000005,346.4349479166667,22.68013888888889,13337.774722222222
CALIBRATION,3,72,21739.45888888889,301.9369290123457,71.53791666666666,1714.8544444444444
CALIBRATION,4,96,18216.81638888889,189.75850405092592,37.20944444444444,2004.154722222223
CALIBRATION,5,96,70962.73222222221,739.1951273148147,32.641111111111115,29749.435555555596
CALIBRATION,6,96,9638.344444444445,100.3994212962963,6.328888888888885,862.0272222222222
DEVELOPMENT,0,192,28005.21416666667,145.8604904513889,2.3265277777777778,3324.275277777774
DEVELOPMENT,1,216,34290.13138888888,158.75060828189297,6.03180555555555,3039.3772222222233
DEVELOPMENT,2,192,57125.07333333334,297.52642361111117,8.451527777777777,7868.359722222221
DEVELOPMENT,3,192,55308.5213888889,288.06521556712966,21.212777777777774,12391.0625
DEVELOPMENT,4,192,59223.913888888914,308.4578848379631,18.55625,7495.278333333338
DEVELOPMENT,5,192,67412.37333333332,351.10611111111103,17.701666666666668,11072.132222222215
DEVELOPMENT,6,216,27649.825,128.00844907407406,0.6648611111111111,4177.591666666664
EXPOSED_EVALUATION,0,312,99693.44888888915,319.5302849002857,16.765555555555554,23273.121388888918
EXPOSED_EVALUATION,1,312,120035.14527777767,384.7280297364669,38.36083333333333,20625.753055555495
EXPOSED_EVALUATION,2,312,108799.7525,348.71715544871796,52.073750000000004,20699.639999999996
EXPOSED_EVALUATION,3,288,89308.29583333332,310.09824942129626,21.575277777777778,19314.98055555556
EXPOSED_EVALUATION,4,288,101623.23111111118,352.85844135802495,37.29097222222222,14931.415555555559
EXPOSED_EVALUATION,5,288,79202.42083333326,275.00840567129603,28.56069444444437,7594.759722222161
EXPOSED_EVALUATION,6,312,73628.68055555549,235.98936075498554,15.327916666666667,13684.816666666673
MAY_HISTORICAL,0,96,27600.69861111111,287.50727719907405,17.295555555555552,3399.215
MAY_HISTORICAL,1,96,119029.64305555566,1239.8921151620382,79.29027777777777,57931.09111111111
MAY_HISTORICAL,2,96,25670.50833333334,267.4011284722223,73.5311111111111,3246.2200000000034
MAY_HISTORICAL,3,120,38208.685555555545,318.40571296296287,84.19402777777779,3493.336388888889
MAY_HISTORICAL,4,120,28499.040277777764,237.4920023148147,50.43194444444444,2649.2850000000003
MAY_HISTORICAL,5,120,91549.77944444446,762.9148287037038,31.393194444444447,22394.646944444445
MAY_HISTORICAL,6,96,21030.11111111111,219.0636574074074,26.918472222222224,4267.6430555555535
TRAIN,0,576,45461.771111111106,78.92668595679011,1.049027777777778,2015.1688888888891
TRAIN,1,576,89053.28305555556,154.60639419367283,11.427916666666667,6295.544166666667
TRAIN,2,576,99388.41972222221,172.54933979552467,31.071666666666676,6450.789444444444
TRAIN,3,552,130182.29472222221,235.83749043880835,33.95222222222222,15578.127499999999
TRAIN,4,576,106066.32333333328,184.1429224537036,25.988611111111112,7993.831944444425
TRAIN,5,576,78548.03722222222,136.36812017746914,13.754722222222222,6345.661666666668
TRAIN,6,576,47180.57444444444,81.91071952160493,0.034166666666666665,3932.961111111113
