split,model,seed,lead_band,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,12-17,raw,88,528,239461.85111111103,0.35795454545454547,0.8712121212121212,0.028787878787878807,296.6762709258027,217.5599093260362,435.1198186520724,1692.3967600197116,1.6555743161689986,1.2441714829651045,396446.8904018402
EXPOSED_EVALUATION,DEEPAR,20260924,18-23,raw,88,528,151420.78861111123,0.4431818181818182,0.8768939393939394,0.023106060606060574,216.8691487810397,141.74671330407475,283.4934266081495,1506.7039707111278,1.3100708669119194,1.0352803579224399,198371.963804245
EXPOSED_EVALUATION,DEEPAR,20260924,24-29,raw,88,528,36282.69166666665,0.5606060606060606,0.8958333333333334,0.004166666666666652,54.152827297661815,34.74095143738975,69.4819028747795,312.4786242654076,2.1616767118036555,1.8335622830852847,78431.44961738586
EXPOSED_EVALUATION,DEEPAR,20260924,6-11,raw,88,528,245125.64361111115,0.29545454545454547,0.8333333333333334,0.06666666666666665,267.97451494774685,216.82760440263672,433.65520880527345,1546.3618236469683,1.7125840474937835,1.2185420522885788,419798.2668800354
EXPOSED_EVALUATION,DEEPAR,20260925,12-17,raw,88,528,239461.85111111103,0.3806818181818182,0.8522727272727273,0.04772727272727273,294.53263566530984,217.15728771419543,434.31457542839087,1691.0833368364117,1.2884833526136454,0.9090630198073565,308542.6087427139
EXPOSED_EVALUATION,DEEPAR,20260925,18-23,raw,88,528,151420.78861111123,0.45075757575757575,0.8522727272727273,0.04772727272727273,212.2824427051948,141.95929754565827,283.91859509131655,1506.5873608839388,1.102793176269061,0.8327367222028987,166985.8124256134
EXPOSED_EVALUATION,DEEPAR,20260925,24-29,raw,88,528,36282.69166666665,0.5662878787878788,0.9034090909090909,0.003409090909090917,52.46240660149639,34.98039389237421,69.96078778474842,312.2484622441841,2.3496700797103607,1.9781566473470726,85252.35502052307
EXPOSED_EVALUATION,DEEPAR,20260925,6-11,raw,88,528,245125.64361111115,0.32386363636363635,0.8295454545454546,0.07045454545454544,258.0411746013511,215.1956984908794,430.3913969817588,1544.690013478875,1.4153044778926278,0.9295940503280362,346927.42104911804
EXPOSED_EVALUATION,DEEPAR,20260926,12-17,raw,88,528,239461.85111111103,0.3787878787878788,0.8579545454545454,0.04204545454545461,291.62118306803745,216.74740595939076,433.4948119187815,1691.882095984016,1.3770532106670756,0.9823563017773809,329751.71090483665
EXPOSED_EVALUATION,DEEPAR,20260926,18-23,raw,88,528,151420.78861111123,0.4412878787878788,0.8636363636363636,0.036363636363636376,217.55100203260932,142.02424105629223,284.04848211258445,1506.1614448285764,1.4351451845414183,1.150224846759697,217310.81561470032
EXPOSED_EVALUATION,DEEPAR,20260926,24-29,raw,88,528,36282.69166666665,0.5284090909090909,0.9015151515151515,0.0015151515151514694,54.358264463802755,34.952217269301045,69.90443453860209,312.6970086555585,2.412368790137483,2.062174756030855,87527.23299884796
EXPOSED_EVALUATION,DEEPAR,20260926,6-11,raw,88,528,245125.64361111115,0.3087121212121212,0.8200757575757576,0.07992424242424245,264.57108154617225,216.5994894931657,433.1989789863314,1547.5663708441925,1.245731757386543,0.7910440044802749,305360.7987961769
EXPOSED_EVALUATION,LGBM,20260924,12-17,raw,88,528,239461.85111111103,0.3371212121212121,0.7973484848484849,0.10265151515151516,294.875692917512,218.49538100541383,436.99076201082767,1691.5984599747662,0.8589269914907998,0.5232187168670432,205680.24735168443
EXPOSED_EVALUATION,LGBM,20260924,18-23,raw,88,528,151420.78861111123,0.4318181818181818,0.8257575757575758,0.07424242424242422,213.8653994411479,142.13732920135703,284.27465840271407,1507.3716694335424,0.7722057041336037,0.5407277225726697,116927.9966899087
EXPOSED_EVALUATION,LGBM,20260924,24-29,raw,88,528,36282.69166666665,0.5984848484848485,0.8825757575757576,0.017424242424242453,52.47149588237725,34.49630959132543,68.99261918265086,312.6076641171262,1.3059313426658754,1.0389240547974494,47382.70424378195
EXPOSED_EVALUATION,LGBM,20260924,6-11,raw,88,528,245125.64361111115,0.30113636363636365,0.7253787878787878,0.17462121212121218,281.286469244794,218.535881217117,437.071762434234,1549.3816087251262,0.8330329710708018,0.45561999850632723,204197.74318300642
EXPOSED_EVALUATION,LGBM,20260925,12-17,raw,88,528,239461.85111111103,0.3371212121212121,0.7973484848484849,0.10265151515151516,294.875692917512,218.49538100541383,436.99076201082767,1691.5984599747662,0.8589269914907998,0.5232187168670432,205680.24735168443
EXPOSED_EVALUATION,LGBM,20260925,18-23,raw,88,528,151420.78861111123,0.4318181818181818,0.8257575757575758,0.07424242424242422,213.8653994411479,142.13732920135703,284.27465840271407,1507.3716694335424,0.7722057041336037,0.5407277225726697,116927.9966899087
EXPOSED_EVALUATION,LGBM,20260925,24-29,raw,88,528,36282.69166666665,0.5984848484848485,0.8825757575757576,0.017424242424242453,52.47149588237725,34.49630959132543,68.99261918265086,312.6076641171262,1.3059313426658754,1.0389240547974494,47382.70424378195
EXPOSED_EVALUATION,LGBM,20260925,6-11,raw,88,528,245125.64361111115,0.30113636363636365,0.7253787878787878,0.17462121212121218,281.286469244794,218.535881217117,437.071762434234,1549.3816087251262,0.8330329710708018,0.45561999850632723,204197.74318300642
EXPOSED_EVALUATION,LGBM,20260926,12-17,raw,88,528,239461.85111111103,0.3371212121212121,0.7973484848484849,0.10265151515151516,294.875692917512,218.49538100541383,436.99076201082767,1691.5984599747662,0.8589269914907998,0.5232187168670432,205680.24735168443
EXPOSED_EVALUATION,LGBM,20260926,18-23,raw,88,528,151420.78861111123,0.4318181818181818,0.8257575757575758,0.07424242424242422,213.8653994411479,142.13732920135703,284.27465840271407,1507.3716694335424,0.7722057041336037,0.5407277225726697,116927.9966899087
EXPOSED_EVALUATION,LGBM,20260926,24-29,raw,88,528,36282.69166666665,0.5984848484848485,0.8825757575757576,0.017424242424242453,52.47149588237725,34.49630959132543,68.99261918265086,312.6076641171262,1.3059313426658754,1.0389240547974494,47382.70424378195
EXPOSED_EVALUATION,LGBM,20260926,6-11,raw,88,528,245125.64361111115,0.30113636363636365,0.7253787878787878,0.17462121212121218,281.286469244794,218.535881217117,437.071762434234,1549.3816087251262,0.8330329710708018,0.45561999850632723,204197.74318300642
EXPOSED_EVALUATION,SEASONAL,0,12-17,raw,88,528,239461.85111111103,0.32196969696969696,0.7727272727272727,0.12727272727272732,309.37374082491567,218.8282812499999,437.6565624999998,1692.4140049292437,0.9579403088497522,0.6442980879403915,229390.15961111107
EXPOSED_EVALUATION,SEASONAL,0,18-23,raw,88,528,151420.78861111123,0.4318181818181818,0.8295454545454546,0.07045454545454544,219.95504262415847,142.90602180660787,285.81204361321574,1506.9378558250644,0.9482060186587572,0.7203624188994047,143578.10311111106
EXPOSED_EVALUATION,SEASONAL,0,24-29,raw,88,528,36282.69166666665,0.5018939393939394,0.8863636363636364,0.013636363636363669,53.30571408354374,34.665401936026925,69.33080387205385,313.2194864459168,1.664612582721376,1.3738770422291195,60396.62508333332
EXPOSED_EVALUATION,SEASONAL,0,6-11,raw,88,528,245125.64361111115,0.30113636363636365,0.696969696969697,0.203030303030303,296.7196087805136,220.84790338278626,441.6958067655725,1547.5963095499494,0.8478524553525529,0.5022004768559065,207830.37880555543
EXPOSED_EVALUATION,TFT,20260924,12-17,raw,88,528,239461.85111111103,0.3465909090909091,0.8787878787878788,0.021212121212121238,285.4595242105155,221.0518443850635,442.103688770127,1696.4644782686726,1.2534679992237043,0.85754349802572,300157.7674026489
EXPOSED_EVALUATION,TFT,20260924,18-23,raw,88,528,151420.78861111123,0.5435606060606061,0.9318181818181818,0.031818181818181746,210.4876773029034,142.2007540088512,284.4015080177024,1504.712865714992,1.6143024769512024,1.286836796706352,244438.9541168213
EXPOSED_EVALUATION,TFT,20260924,24-29,raw,88,528,36282.69166666665,0.7462121212121212,0.9431818181818182,0.04318181818181821,55.70622875370961,36.35075019331892,72.70150038663785,310.7496745474535,3.5733715284281473,3.126693327026376,129651.53737640381
EXPOSED_EVALUATION,TFT,20260924,6-11,raw,88,528,245125.64361111115,0.2537878787878788,0.8200757575757576,0.07992424242424245,260.47015663080197,224.82095652705493,449.64191305410986,1555.0956234928526,1.1718610225605501,0.7157269615150439,287253.1873779297
EXPOSED_EVALUATION,TFT,20260925,12-17,raw,88,528,239461.85111111103,0.3428030303030303,0.8617424242424242,0.038257575757575824,287.47194114930363,220.80256413277945,441.6051282655589,1696.287299382132,1.280679541071899,0.8864711525804595,306673.8935852051
EXPOSED_EVALUATION,TFT,20260925,18-23,raw,88,528,151420.78861111123,0.5189393939393939,0.8825757575757576,0.017424242424242453,209.04722167453082,142.00475390707214,284.0095078141443,1505.422922607797,1.088468943967938,0.8085637890546805,164816.8258743286
EXPOSED_EVALUATION,TFT,20260925,24-29,raw,88,528,36282.69166666665,0.7159090909090909,0.9128787878787878,0.012878787878787823,53.08526791036327,35.608465895576494,71.21693179115299,311.5732127273629,2.153390907761563,1.810569515346315,78130.81834411621
EXPOSED_EVALUATION,TFT,20260925,6-11,raw,88,528,245125.64361111115,0.26136363636363635,0.8333333333333334,0.06666666666666665,257.7305208953769,224.1972231498471,448.3944462996942,1554.7347934358468,1.2843765660534605,0.8110897823965643,314833.6323928833
EXPOSED_EVALUATION,TFT,20260926,12-17,raw,88,528,239461.85111111103,0.3560606060606061,0.8712121212121212,0.028787878787878807,286.9714963945522,220.4010703193759,440.8021406387518,1695.7364432073957,1.4657577603827352,1.051938097242033,350993.0665817261
EXPOSED_EVALUATION,TFT,20260926,18-23,raw,88,528,151420.78861111123,0.5246212121212122,0.8958333333333334,0.004166666666666652,209.89921049623484,141.98642876884364,283.9728575376873,1505.1437802901594,1.254141085349107,0.9606395771814057,189903.03217315674
EXPOSED_EVALUATION,TFT,20260926,24-29,raw,88,528,36282.69166666665,0.7215909090909091,0.9166666666666666,0.016666666666666607,53.998156725726126,35.78277617459344,71.56555234918687,311.4254109107812,2.3859411649413786,2.0331494639107226,86568.36762237549
EXPOSED_EVALUATION,TFT,20260926,6-11,raw,88,528,245125.64361111115,0.25946969696969696,0.8712121212121212,0.028787878787878807,251.93846138643346,223.2594570814801,446.5189141629602,1553.839137301232,1.5704809315769404,1.0561076302214332,384965.1491317749
MAY_HISTORICAL,DEEPAR,20260924,12-17,raw,31,186,164990.75416666668,0.3655913978494624,0.8655913978494624,0.03440860215053765,626.339386834221,433.5228949040781,867.0457898081562,4590.3348065873915,1.3703316087010204,1.0393933229018126,226092.04557800293
MAY_HISTORICAL,DEEPAR,20260924,18-23,raw,31,186,42280.55555555554,0.43548387096774194,0.8924731182795699,0.007526881720430145,159.63360619931234,112.79825892922695,225.5965178584539,671.4918113210989,2.9718098616820905,2.4768866950464985,125649.77195739746
MAY_HISTORICAL,DEEPAR,20260924,24-29,raw,31,186,15381.957222222223,0.489247311827957,0.8763440860215054,0.023655913978494647,58.0671923300676,41.2475858335975,82.495171667195,246.66043406230978,2.5602483222309145,2.1063771637801794,39381.63017082214
MAY_HISTORICAL,DEEPAR,20260924,6-11,raw,31,186,128935.19944444453,0.27956989247311825,0.8548387096774194,0.04516129032258065,417.48845120755226,323.1052193294363,646.2104386588726,2356.152895193753,2.0842356255321137,1.5780746899356608,268731.3360671997
MAY_HISTORICAL,DEEPAR,20260925,12-17,raw,31,186,164990.75416666668,0.3978494623655914,0.8118279569892473,0.08817204301075277,642.0855387185667,430.56270934605703,861.1254186921141,4590.915703379427,0.9545980949016218,0.6829843627559657,157499.85960388184
MAY_HISTORICAL,DEEPAR,20260925,18-23,raw,31,186,42280.55555555554,0.46236559139784944,0.8548387096774194,0.04516129032258065,155.7381701238579,113.06403589053869,226.12807178107738,671.7188261285692,2.23833343214137,1.7996211631991947,94637.9810295105
MAY_HISTORICAL,DEEPAR,20260925,24-29,raw,31,186,15381.957222222223,0.5161290322580645,0.8655913978494624,0.03440860215053765,54.823085240062134,41.50271207587775,83.0054241517555,246.23246807933282,2.8509187501269433,2.3287525163271807,43852.71025848389
MAY_HISTORICAL,DEEPAR,20260925,6-11,raw,31,186,128935.19944444453,0.3064516129032258,0.8440860215053764,0.05591397849462365,408.97538428675097,323.3704191397255,646.740838279451,2357.03855255416,1.322962312164521,0.8806478842500635,170576.40957641602
MAY_HISTORICAL,DEEPAR,20260926,12-17,raw,31,186,164990.75416666668,0.3602150537634409,0.8548387096774194,0.04516129032258065,643.4607460554299,431.4016459252374,862.8032918504748,4592.970027518343,1.1086132193341942,0.8231482953432349,182910.93113708496
MAY_HISTORICAL,DEEPAR,20260926,18-23,raw,31,186,42280.55555555554,0.489247311827957,0.8978494623655914,0.0021505376344086446,163.72713604925917,113.82257706795022,227.64515413590044,667.7245874388498,3.6270472863948386,3.0846085737765363,153353.57429504395
MAY_HISTORICAL,DEEPAR,20260926,24-29,raw,31,186,15381.957222222223,0.43548387096774194,0.8763440860215054,0.023655913978494647,59.85550491518501,41.74889700352023,83.49779400704045,246.91550758864048,3.2305292627381816,2.731254445672758,49691.862924575806
MAY_HISTORICAL,DEEPAR,20260926,6-11,raw,31,186,128935.19944444453,0.25806451612903225,0.8118279569892473,0.08817204301075277,402.3605533041827,325.8302894295945,651.660578859189,2359.7121510126626,1.1871258613000724,0.748852621733643,153062.3096923828
MAY_HISTORICAL,LGBM,20260924,12-17,raw,31,186,164990.75416666668,0.3225806451612903,0.7526881720430108,0.14731182795698927,653.4140721998467,432.55512272594274,865.1102454518855,4592.629176423283,0.6285739614254141,0.40233370509182165,103708.89194510832
MAY_HISTORICAL,LGBM,20260924,18-23,raw,31,186,42280.55555555554,0.3817204301075269,0.8494623655913979,0.05053763440860215,156.95110674828453,112.62089347437241,225.24178694874482,676.2563237357933,1.2803797429922157,0.9427987759766899,54135.166855790296
MAY_HISTORICAL,LGBM,20260924,24-29,raw,31,186,15381.957222222223,0.44623655913978494,0.8225806451612904,0.07741935483870965,57.48623936666569,40.7522828352616,81.5045656705232,246.7557119882801,1.2537602647834274,0.9235129769777235,19285.286759820687
