split,model,seed,target_day,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-01,raw,1,24,17150.74527777772,0.08333333333333333,0.8333333333333334,0.06666666666666665,586.9421869318904,356.2150524469812,712.4301048939624,2303.8614100425875,0.2792404430083228,0.17265752751647842,4789.181709289551
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-02,raw,1,24,3185.6419444444455,0.20833333333333334,0.7916666666666666,0.10833333333333339,78.7136721753015,64.62274156734763,129.24548313469526,252.26830850842364,1.4813467929069644,1.0262254419037593,4719.040477752686
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-03,raw,1,24,28934.458055555493,0.20833333333333334,0.75,0.15000000000000002,884.7684098914089,594.6648675460273,1189.3297350920545,4239.321343370224,0.5252122905183316,0.3065718134965763,15196.732990264893
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-04,raw,1,24,6708.306111111109,0.5,0.9166666666666666,0.016666666666666607,160.56515969184588,129.93458464551853,259.86916929103705,802.982499196968,2.482263843865905,1.908484088595055,16651.7857131958
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-05,raw,1,24,5842.867222222223,0.4583333333333333,0.9166666666666666,0.016666666666666607,145.75326605704979,111.78972328570154,223.57944657140308,433.7209881788672,4.389229325764371,3.6489984825896804,25645.684158325195
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-06,raw,1,24,2026.0122222222224,0.5416666666666666,1.0,0.09999999999999998,64.73735402453387,35.5042193585855,71.008438717171,121.34841652645602,8.668741972763856,7.668741972763855,17562.97718811035
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-07,raw,1,24,4397.783888888889,0.25,0.9166666666666666,0.016666666666666607,61.26175438506515,87.43908574052982,174.87817148105964,405.20144244150293,2.868019268535869,2.015540751469714,12612.928932189941
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-08,raw,1,24,2411.001111111111,0.08333333333333333,0.875,0.025000000000000022,35.18923072701913,47.928522632199304,95.85704526439861,154.60992942754413,3.494541818722285,2.5953743014046204,8425.344207763672
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-09,raw,1,24,1733.55,0.5,0.8333333333333334,0.06666666666666665,41.06608407726994,34.81489397945227,69.62978795890454,150.58055250674124,3.2585012298326084,2.6011873578109457,5648.774806976318
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-10,raw,1,24,164.60444444444445,0.9583333333333334,1.0,0.09999999999999998,60.543352357793744,15.062602143740213,30.125204287480425,46.89302846674185,89.27467942868726,88.27467942868726,14695.009010314941
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-11,raw,1,24,0.0,1.0,1.0,0.09999999999999998,11.734526427586877,0.5217112861573696,1.0434225723147392,1.5561390472440502,,,2816.2863426208496
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-12,raw,1,24,0.0,1.0,1.0,0.09999999999999998,11.91195286909739,0.3068789131939411,0.6137578263878822,1.5839445829115761,,,2858.868688583374
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-13,raw,1,24,40.80111111111102,0.9166666666666666,1.0,0.09999999999999998,9.138803967299287,0.8557076161120206,1.7114152322240412,7.944830290229205,54.756206446900954,53.75620644690096,2234.1140632629395
