split,model,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,calibrated,88.0,2112.0,672290.9750000001,0.41966540404040403,0.921875,0.021874999999999978,228.19182113292445,152.5409341576162,305.0818683152324,1380.2204583993168,3.3004244512223138,2.7872459000899372,2218845.5722260894
EXPOSED_EVALUATION,DEEPAR,raw,88.0,2112.0,672290.9750000001,0.41966540404040403,0.8631628787878788,0.03683712121212124,206.75774605301876,152.5409341576162,305.0818683152324,1380.2204583993168,1.4580528548946814,1.061776383419079,980235.7754186789
EXPOSED_EVALUATION,LGBM,calibrated,88.0,2112.0,672290.9750000001,0.41714015151515155,0.9266098484848485,0.026609848484848486,225.7665628248271,153.41622525380333,306.83245050760667,1381.3020687670287,3.2820140120240104,2.763057563404878,2206468.400107284
EXPOSED_EVALUATION,LGBM,raw,88.0,2112.0,672290.9750000001,0.41714015151515155,0.8077651515151515,0.09223484848484853,210.62476437145781,153.41622525380333,306.83245050760667,1381.3020687670287,0.8540776431936804,0.5303469188680722,574188.6914683816
EXPOSED_EVALUATION,SEASONAL,calibrated,88.0,2112.0,672290.9750000001,0.38920454545454547,0.9180871212121212,0.018087121212121193,229.57794924768524,154.31190209385522,308.62380418771045,1380.9677448642087,3.266696073659012,2.761244877429912,2196170.2883888893
EXPOSED_EVALUATION,SEASONAL,raw,88.0,2112.0,672290.9750000001,0.38920454545454547,0.7964015151515151,0.10359848484848488,219.83852657828288,154.31190209385522,308.62380418771045,1380.9677448642087,0.9537466520521278,0.648994032060795,641195.2666111109
EXPOSED_EVALUATION,TFT,calibrated,88.0,2112.0,672290.9750000001,0.4659090909090909,0.9155618686868686,0.01556186868686867,224.59373319505377,155.7055870453214,311.4111740906428,1383.455467468908,3.1392177878694745,2.6308565210438153,2110467.7873441125
EXPOSED_EVALUATION,TFT,raw,88.0,2112.0,672290.9750000001,0.4659090909090909,0.8849431818181818,0.015056818181818218,201.85548862753762,155.7055870453214,311.4111740906428,1383.455467468908,1.407320310960776,1.0007166674744823,946128.7439931234
MAY_HISTORICAL,DEEPAR,calibrated,31.0,744.0,351588.46638888895,0.3996415770609319,0.9112903225806451,0.011290322580645107,322.13859324442325,227.66477040623667,455.32954081247334,2605.2635686498074,2.819722722951841,2.319431268675166,991381.9878045401
MAY_HISTORICAL,DEEPAR,raw,31.0,744.0,351588.46638888895,0.3996415770609319,0.8588709677419355,0.041129032258064524,316.0462296053707,227.66477040623667,455.32954081247334,2605.2635686498074,1.578967629774932,1.189859570936303,555146.8074302673
MAY_HISTORICAL,LGBM,calibrated,31.0,744.0,351588.46638888895,0.35080645161290325,0.8938172043010754,0.00618279569892477,310.6827938146074,228.0785042120908,456.1570084241816,2607.472409186387,2.455081111754042,1.9670120826172306,863178.2029419322
MAY_HISTORICAL,LGBM,raw,31.0,744.0,351588.46638888895,0.35080645161290325,0.7943548387096774,0.10564516129032264,321.7947193493358,228.0785042120908,456.1570084241816,2607.472409186387,0.8196398776147422,0.5186290327561148,288175.9275617439
MAY_HISTORICAL,SEASONAL,calibrated,31.0,744.0,351588.466388889,0.3279569892473118,0.8669354838709677,0.03306451612903227,318.75549832362617,228.75072645982684,457.5014529196537,2608.268992967448,2.217583732614525,1.7703471751240818,779676.8636388889
MAY_HISTORICAL,SEASONAL,raw,31.0,744.0,351588.466388889,0.3279569892473118,0.7405913978494624,0.15940860215053765,338.6822028188472,228.75072645982684,457.5014529196537,2608.268992967448,0.6595818850330615,0.41031261834014804,231901.3834166666
MAY_HISTORICAL,TFT,calibrated,31.0,744.0,351588.46638888895,0.4215949820788531,0.8978494623655914,0.0034050179211469653,310.2137157723973,231.7383183746707,463.4766367493414,2609.9889221231697,2.3568883753658683,1.8776459989580114,828654.769344686
MAY_HISTORICAL,TFT,raw,31.0,744.0,351588.46638888895,0.4215949820788531,0.8557347670250897,0.0442652329749104,308.18632214375083,231.7383183746707,463.4766367493414,2609.9889221231697,1.1911350468476984,0.8241778146082659,418789.34438323975
