role,arm,state,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,unscorable_N,query_N,MAE_bound_seconds
CALIBRATION,R1,RUNNING,1466,3092.0,0.903137789904502,0.9172056921086675,1273,0.11154752553024352,2404.0,81671.1705709645,172112.55132583153,129050.91583333333,38680.696388888886,1.3336794257865743,2.111419343381437,7547.340873366711,0,1466,58354.705920496956
CALIBRATION,R2,RUNNING,1466,3092.0,0.9365620736698499,0.9446959896507116,1273,0.07305577376276512,1915.0,84792.41899807568,175446.43313050648,129050.91583333333,38680.696388888886,1.3595132742575189,2.1921120071259237,7628.156470572873,0,1466,61529.24142385277
CALIBRATION,R3,RUNNING,1466,3092.0,0.9338335607094134,0.9424320827943079,1273,0.07619795758051846,1956.0,84589.72756610787,175220.82741070277,129050.91583333333,38680.696388888886,1.357765082713531,2.1868718886458947,7617.5324798950605,0,1466,61240.042957925536
DEVELOPMENT,R1,RUNNING,2522,4129.0,0.830293417922284,0.8207798498425769,2335,0.18329764453961456,7126.0,63327.365830244555,131534.36118738705,133485.26277777777,62156.72027777778,0.9853848915618609,1.0188337728766121,6410.223173928522,0,2522,45258.25848291964
DEVELOPMENT,R2,RUNNING,2522,4129.0,0.8929421094369548,0.8895616372002906,2335,0.11563169164882227,3269.0,74209.32939717968,143995.7605774289,133485.26277777777,62156.72027777778,1.078739012688979,1.1939067741273817,6516.843721487868,0,2522,53715.6406934409
DEVELOPMENT,R3,RUNNING,2522,4129.0,0.8929421094369548,0.8859287963187212,2335,0.11563169164882227,3333.0,76404.21438703117,146279.85373883712,133485.26277777777,62156.72027777778,1.0958502136850823,1.229218884870075,6619.50663839435,0,2522,55477.24410016978
