role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_slots_reduction,0.06448484848484848,0.05390113162596788,0.08080808080808077,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,coverage,-0.00939645825804114,-0.015645655291600082,-0.004413844182094087,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,GPU_coverage,-0.005159474671669773,-0.009066820928447749,-0.0020980619959534183,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,long_under,0.0052356020942408155,0.0013809316582153904,0.009412085667600375,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_GPU_slots,342.0,147.0,552.0,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserved_GPUh,-903.9323191730655,-1190.9078002157025,-625.9632332231705,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserved_GPUh,-1049.6698998999782,-1374.6781581188873,-726.1473913828406,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserve_vs_requested,-0.004247422615672569,-0.005474081459423796,-0.003035916976276505,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q90,5.7914284779853915,-13.325967306560482,28.436087106697393,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,MAE_bound_seconds,-459.9063604989642,-620.9602949492862,-301.2542754676554,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserve_vs_requested,-0.014976893746994513,-0.019826661180803194,-0.010724839754735573,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_slots_reduction,-0.04636659436008683,-0.06848332160843669,-0.02617018398268392,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,coverage,-0.00939645825804114,-0.014511873350923521,-0.004132231404958664,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,GPU_coverage,-0.005159474671669773,-0.008115419296663706,-0.001945840765364082,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,long_under,0.0052356020942408155,0.003501094091903717,0.00662482566248257,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_GPU_slots,342.0,139.0,546.0,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserved_GPUh,-903.9323191730655,-1311.0216788775579,-508.8939856697107,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserved_GPUh,-1049.6698998999782,-1543.3393292559776,-580.1911791373277,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserve_vs_requested,-0.004247422615672569,-0.005933147453479171,-0.0024086503852862595,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q90,5.7914284779853915,-2.927847175524221,13.263269882809254,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,MAE_bound_seconds,-459.9063604989642,-628.0172969417472,-276.8897885861079,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserve_vs_requested,-0.014976893746994513,-0.02132374509990731,-0.00888588830284709,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_slots_reduction,-0.04636659436008683,-0.06201117318435756,-0.025249868490268224,0,13,2767,7,2000
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
