role,arm,state,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,unscorable_N,query_N,MAE_bound_seconds
EXPOSED_EVALUATION,R1,RUNNING,2767,6396.0,0.855439103722443,0.8586616635397123,2483,0.13934756343133306,8250.0,163007.3583010235,342338.8868327232,247131.02388888889,60355.12666666666,1.3852525734957508,2.7008038472239724,8301.009878738107,0,2767,67323.85913442947
EXPOSED_EVALUATION,R2,RUNNING,2767,6396.0,0.8847126852186483,0.8728893058161351,2483,0.12605718888441403,7376.0,165289.14678964697,344979.70617671486,247131.02388888889,60355.12666666666,1.3959384813289129,2.7386098898030142,8274.230646117281,0,2767,68432.39515411829
EXPOSED_EVALUATION,R3,RUNNING,2767,6396.0,0.8753162269606072,0.8677298311444653,2483,0.13129279097865484,7718.0,164385.21447047393,343930.0362768149,247131.02388888889,60355.12666666666,1.3916910587132405,2.72363299605602,8280.022074595267,0,2767,67972.48879361933
MAY_HISTORICAL,R0,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,0,40419,23996.644503359348
MAY_HISTORICAL,R0,RUNNING,7073,14897.0,0.5406475328714831,0.5635362824729812,6531,0.48767416934619506,136902.0,137364.85059615085,349553.08816150425,512235.53777777776,200667.56555555554,0.6824069444263163,0.684539378428453,32197.51370538495,0,7073,52508.33794718702
MAY_HISTORICAL,R1,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,0,40419,23996.644503359348
MAY_HISTORICAL,R1,RUNNING,7073,14897.0,0.8652622649512229,0.8465462844868095,6531,0.14362272240085744,41286.0,271872.1263836391,551081.7247443734,512235.53777777776,200667.56555555554,1.0758365714630447,1.354838414623465,13058.722126972578,0,7073,68694.58934333698
MAY_HISTORICAL,R2,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,0,40419,23996.644503359348
MAY_HISTORICAL,R2,RUNNING,7073,14897.0,0.8703520429803479,0.8513123447674028,6531,0.1381105496861124,41058.0,272961.0821143855,552302.0189127348,512235.53777777776,200667.56555555554,1.0782188625739961,1.3602650800027534,13064.18434728872,0,7073,69004.37265058047
MAY_HISTORICAL,R3,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,0,40419,23996.644503359348
MAY_HISTORICAL,R3,RUNNING,7073,14897.0,0.8685140675809416,0.8501711754044439,6531,0.14010105649977034,41209.0,272164.999744938,551424.1609242508,512235.53777777776,200667.56555555554,1.0765050845876183,1.35629790988613,13056.75395583236,0,7073,68762.83687063066
