Date,DA_P1_1R,Fresh_line_rho_1R,Actual_line_rho_1R,Fresh_feasible_1R,Actual_feasible_1R,optimization_runtime_1R,original_M1_wall,original_A2_wall,original_M2_wall
2025-05-01,0.6118430873471966,0.6752737434373389,0.6408922859212755,TRUE,TRUE,2734.972193399968,905.8856010000454,2288.0594157000305,42.428343300009146
2025-05-02,0.5915482667573069,0.6444593072030016,0.6210927337114072,TRUE,TRUE,2739.4674415999325,904.7596259999555,2181.1871264000074,47.51787660003174
2025-05-03,0.5326160387226051,0.5607387626346992,0.5812455028165759,TRUE,TRUE,2731.923576500034,905.5781747000292,2268.142544100003,39.37919800000964
2025-05-04,0.49247228431870793,0.5098449288041466,0.5151721002184766,TRUE,TRUE,2740.202071799955,905.8069138000137,2160.4899212999735,47.974600600020494
2025-05-05,0.5162919146736475,0.5521454955847408,0.5687269290865242,TRUE,TRUE,2738.2730740999687,905.4990799999796,2038.1051539999899,45.816875500022434
2025-05-06,0.5609718117952823,0.5811029672642499,0.5299242616267181,TRUE,TRUE,2734.057037200022,906.1101876000175,2040.0266536000418,41.53799620002974
2025-05-07,0.5864618523669675,0.6331367184553754,0.5945512902222159,TRUE,TRUE,2736.7972767999745,914.798324500036,1985.7980051999912,43.58244249998825
2025-05-08,0.6337552531526833,0.6793711373402322,0.6364794122460535,TRUE,TRUE,2735.7611580000375,909.7570890000206,1994.7166007999913,43.60763119999319
2025-05-09,0.6020243169965812,0.6420900273695491,0.669497251093641,TRUE,TRUE,2744.3981612999924,906.2529497999931,1998.9998301999876,52.69095769996056
2025-05-10,0.5700686581012104,0.6053478188359687,0.5902658089228372,TRUE,TRUE,2743.4164638000075,920.326300500019,2114.9815264999634,51.489665299945045
2025-05-11,0.5618961886042992,0.5766228446653779,0.5574247850717393,TRUE,TRUE,2770.5152546000318,906.4613740000059,2097.877857799991,79.07272689999081
2025-05-12,0.606423643621405,0.6361048092052716,0.6432767931528954,TRUE,TRUE,2737.3016227000044,906.9036916000186,2097.2812111999956,45.21919830003753
2025-05-13,0.5934050806817659,0.6469734278379045,0.637702341369839,TRUE,TRUE,2739.732327500009,905.4890620000078,2305.4447817000328,47.71344710001722
2025-05-14,0.6087515794034098,0.6591888799595179,0.657348084480749,TRUE,TRUE,2736.702275799995,906.8984032999724,2282.258346399991,44.604255500016734
2025-05-15,0.6182423998906924,0.6765534531529153,0.6552508506434103,TRUE,TRUE,2738.441017300065,906.9463694000151,2283.9629189000116,46.410266100021545
2025-05-16,0.5877113330883675,0.6359625585687356,0.6370556965804621,TRUE,TRUE,2744.1074404999963,911.5426713000052,2265.682677500008,51.80450100003509
2025-05-17,0.561646045010973,0.5903492331144174,0.5844264328103896,TRUE,TRUE,2747.206131700019,907.3170696000452,1963.419355799968,55.38010710000526
2025-05-18,0.6351610488831644,0.6736237687869188,0.7134733192805938,TRUE,TRUE,2754.9789883000194,909.5909006999573,1918.019862599962,63.26335109997308
2025-05-19,0.6949862431093202,0.742364592011183,0.7739202899387626,TRUE,TRUE,2743.559148499975,908.6773304999806,2104.1399256000295,51.71143079997273
2025-05-20,0.6873379810655036,0.7331943675378615,0.7478453763589288,TRUE,TRUE,2745.1364453000133,909.4186916999752,2138.512412699987,53.66703720000805
2025-05-21,0.6977098319043665,0.7455249014613375,0.7362286600960872,TRUE,TRUE,2760.4090935999993,907.7876522000297,1951.8290329000447,68.02099140000064
2025-05-22,0.6853305688417649,0.7342198099774974,0.7053369574041887,TRUE,TRUE,2716.799750999955,907.0884776000166,1907.4611792999785,23.104796200001147
2025-05-23,0.6956261635289512,0.7487136898608886,0.6961002535364678,TRUE,TRUE,2715.844433900027,903.7333883999963,1869.3773624000023,21.975066700018942
2025-05-24,0.5615571864681537,0.5840225233758097,0.5498419835273717,TRUE,TRUE,2713.4698770999094,903.9414845000138,1845.754141399986,19.8664165000082
2025-05-25,0.5529253331274532,0.5990866741996859,0.5648371624953045,TRUE,TRUE,2729.9595173000125,907.4523284999887,1893.8174789000186,37.01254570001038
2025-05-26,0.5902188267689227,0.6409854229981203,0.5926615969052245,TRUE,TRUE,2711.4265534000006,904.9440944999806,1874.2829490999575,17.339337399986107
2025-05-27,0.6499863901898176,0.7083562878337537,0.6957313867695969,TRUE,TRUE,2712.9076673000236,905.683761399996,1846.8655036999844,18.96406670002034
2025-05-28,0.6632042184056764,0.7135571252084765,0.6775809233243782,TRUE,TRUE,2720.6276232999517,904.3252367000096,1846.3712481999537,26.80477809999138
2025-05-29,0.65991865379628,0.7146990132660757,0.681350731360342,TRUE,TRUE,2712.569637300039,904.4730864000157,1838.8625442000339,18.721691499988083
2025-05-30,0.6188662189537193,0.6657681164805274,0.6876884215598753,TRUE,TRUE,2710.0804946999997,902.332254900015,1841.892883100023,16.209772099973634
2025-05-31,0.5725636243716723,0.6103282758094849,0.6248308263232925,TRUE,TRUE,2710.1875530000543,905.1469849999994,1841.2514055000502,16.13442280003801
