day,category,information_available_at_Dminus1_18AEST,forecast_issue_time,future_actual_used,namespace,status
2025-01-21,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-22,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-22,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-22,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-23,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-23,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-23,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-24,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-24,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-24,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-25,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-25,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-25,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-26,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-26,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-26,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-27,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
