fold,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,random_shuffle,future_cooling_feature_reads,cooling_wape,cooling_mae_kw,cooling_rmse_kw,cooling_bias_kw,facility_wape,facility_mae_kw,facility_rmse_kw,facility_bias_kw,pue_mae,pue_rmse,pue_bias,pue_p05_error,pue_p50_error,pue_p95_error,facility_peak_error_kw,facility_peak_timing_error_minutes,pue_positive_load_threshold_kw
1,2016-06-12T06:00:00+00:00,2021-05-01T01:24:00+00:00,2021-05-01T01:25:00+00:00,2022-06-09T14:37:00+00:00,1889379,377876,False,0,0.170754499014202,6.593766482718125,9.48113130856267,-5.178834004111151,0.004893291124970751,6.5250890807431565,9.334691474974905,-4.442616637442863,0.0049083110561069145,0.0071489193519089335,-0.0033556575739459903,-0.01352456506768871,-0.0027956732570322274,0.00535901997059549,-0.7922944984725291,-223680.0,740.79
2,2016-06-12T06:00:00+00:00,2022-06-09T14:37:00+00:00,2022-06-09T14:38:00+00:00,2023-05-14T01:27:00+00:00,2267255,377876,False,0,0.35777740975469413,18.196906535275627,20.583791583354547,-17.919431042184442,0.014652061226707563,18.42187596916361,20.903104410403696,-18.105234409510537,0.015875056463397205,0.018223873916164902,-0.015656834265881436,-0.03275304447616665,-0.015497431104652182,-0.0009698891831603053,0.7158221596682779,0.0,743.71
3,2016-06-12T06:00:00+00:00,2023-05-14T01:27:00+00:00,2023-05-14T01:28:00+00:00,2024-03-03T16:26:00+00:00,2645131,377876,False,0,0.35790946685312186,26.192171077637052,29.434965202129124,1.0766805053821158,0.00932222460260558,25.66923387563442,28.999861858440088,0.9750289414690126,0.010734781982650047,0.012943768948591892,-0.002662014843594911,-0.02361499043946641,0.004184325501074615,0.009917320446461597,-4751.987328269326,-39113.0,755.52
4,2016-06-12T06:00:00+00:00,2024-03-03T16:26:00+00:00,2024-03-03T16:27:00+00:00,2024-12-02T21:02:00+00:00,3023007,377876,False,0,0.6667367783759472,143.85785222984873,151.5104148393675,-142.21300587265998,0.04833875791318634,144.1481707928475,151.9106263308917,-142.6714048940699,0.05455542761277354,0.05927364956407924,-0.05413761926982568,-0.08580291072874921,-0.05469199042243267,0.0016660522125068065,-186.1160306887441,-43.0,767.46
5,2016-06-12T06:00:00+00:00,2024-12-02T21:02:00+00:00,2024-12-02T21:03:00+00:00,2025-08-29T04:35:00+00:00,3400883,377876,False,0,0.34350827407745166,57.42608154626525,70.01664230293015,-51.06581003300079,0.02200837523547187,58.453778536760474,71.147804886273,-52.14350733128252,0.024442982235674923,0.03467083079746787,-0.02202385552670683,-0.06435846744155471,-0.022913730318169012,0.009840650224593128,-8.96388190451944,0.0,774.32
