variable,lead_hours,n,mae,rmse,bias
Tdew,22,7,1.951114327566948,2.2663471828171806,-0.710684640066922
Tdew,23,7,1.3774745396205421,1.8003056767064036,-0.24006522042408104
Tdew,24,7,1.3382463727678446,1.4808492137713904,-0.03319963727675658
Tdew,25,7,1.5888584681919742,2.445035574126019,-0.26828438895086365
Tdew,26,7,1.3187901088169482,1.8648273072387316,-0.17181396484371433
Tdew,27,7,1.0945818219865908,1.3293022566652106,-0.5502005440847889
Tdew,28,7,1.363291713169628,1.5313507443698915,-0.2795793805803231
Tdew,29,7,1.2506696428571331,1.6301892050011675,0.6566196986607438
Tdew,30,7,1.3710710797991266,1.9678300905994002,1.1424926757812826
Tdew,31,7,1.4028791155134013,1.698723350337386,1.145729282924145
Tdew,32,7,1.448833356584849,2.108567036839281,1.3202619280134267
Twb,8,7,1.4285636439932368,1.6612649949049088,0.8270915208140804
Twb,9,7,1.272423753752055,1.4531372829001428,0.7619002975472368
Twb,10,7,1.5314064678605381,1.7388655050150608,1.100915224339144
Twb,11,7,1.5285459370208339,1.7912915606729494,1.2076644785151118
Twb,12,7,1.809085405619724,2.0097255226406734,1.4233493896291762
Twb,13,7,1.5010338716283085,1.6936546584608327,1.2225650404219466
Twb,14,7,1.460084085238636,1.6826518659619232,1.058902994835115
Twb,15,7,1.001498656658433,1.2744545401843361,0.42737625465415263
Twb,16,7,0.7872854188396727,0.8770487173243421,-0.24352932622032267
Twb,17,7,0.4697026636978036,0.6143607957417944,-0.3625667271660894
Twb,18,7,0.8905529793054766,1.0294185272417924,-0.8905529793054766
Twb,19,7,0.9597346059423705,1.0398802383173635,-0.9597346059423705
Twb,20,7,0.8719428762245983,0.9816779479318644,-0.8719428762245983
Twb,21,7,0.7550336404970205,0.8656133708117242,-0.7550336404970205
Twb,22,7,0.7955737921436553,0.9451832413346876,-0.7648900033174346
Twb,23,7,0.5654815625033124,0.7487675748035607,-0.5654815625033124
Twb,24,7,0.4885482102124544,0.5733860591693083,-0.4885482102124544
Twb,25,6,0.9297291697110861,1.1117989559028139,-0.728462113757716
Twb,26,6,0.48485309592897546,0.5599355464346498,-0.4165070770142485
Twb,27,6,0.683883359903891,0.7637930364309187,-0.3187138635198587
Twb,28,6,0.9066794466411956,1.144169895837205,-0.05468570578866997
Twb,29,6,0.7410032730681012,1.076827788422539,0.662527182076832
Twb,30,7,0.6394324052587196,0.9316889877033784,0.6394324052587196
Twb,31,7,0.9401171188117087,1.1353131199613187,0.9069267558580039
Twb,32,7,1.4675842986295344,1.637506362406661,1.1607310656742598
pressure,8,7,336.5446428571491,337.20823870836006,336.5446428571491
pressure,9,7,339.8745535714344,340.9203916934001,339.8745535714344
pressure,10,7,332.1781250000037,333.796299914749,332.1781250000037
pressure,11,7,328.48214285714704,329.50579902393906,328.48214285714704
pressure,12,7,347.3508928571474,348.0755133700383,347.3508928571474
pressure,13,7,360.67187500000625,361.31598387324715,360.67187500000625
pressure,14,7,357.2397321428642,357.812164182242,357.2397321428642
pressure,15,7,354.7491071428646,355.45443910753914,354.7491071428646
pressure,16,7,352.53616071429235,353.0670906669193,352.53616071429235
pressure,17,7,340.31383928571967,341.9321745924008,340.31383928571967
pressure,18,7,349.500446428576,352.1083864807555,349.500446428576
pressure,19,7,347.54642857143233,349.79475645101877,347.54642857143233
pressure,20,7,353.5093750000066,355.49131331255546,353.5093750000066
pressure,21,7,340.25312500000706,341.4954956681975,340.25312500000706
pressure,22,7,327.4897321428663,328.81723180970107,327.4897321428663
pressure,23,7,310.2183035714365,312.2856036265951,310.2183035714365
pressure,24,7,316.9526785714344,319.55441648905446,316.9526785714344
pressure,25,6,326.65572916667344,331.5605920828576,326.65572916667344
pressure,26,6,344.3317708333416,349.66671981516134,344.3317708333416
pressure,27,6,362.35208333333867,367.7886089885005,362.35208333333867
pressure,28,6,370.4416666666754,375.49534459411825,370.4416666666754
pressure,29,6,388.73020833333914,396.9591679696551,388.73020833333914
pressure,30,7,386.6504464285785,394.9408560826517,386.6504464285785
pressure,31,7,383.4455357142911,390.9494510242244,383.4455357142911
pressure,32,7,374.5629464285781,379.8160453311842,374.5629464285781
wind_speed,8,7,1.9290478178338921,2.192381189703454,-1.708450497874825
wind_speed,9,7,1.916926715720222,2.228892669798624,-1.5736665445944034
wind_speed,10,7,1.2582823316655427,1.732493026131778,-0.8653282256263825
wind_speed,11,7,1.249459039121261,1.6692611493819796,-1.2002845272032399
wind_speed,12,7,1.3581019371156653,1.9708408095127583,-1.3581019371156653
wind_speed,13,7,1.8800385122809282,2.4722144064171876,-1.807638621437123
wind_speed,14,7,2.4989530262705903,2.870656732086763,-2.4989530262705903
wind_speed,15,7,2.58993416164225,2.9142793988611038,-2.4766510867929306
wind_speed,16,7,2.730402541356308,3.155611999947007,-2.730402541356308
wind_speed,17,7,2.291210208335468,2.9181459253194153,-2.291210208335468
wind_speed,18,7,1.7966736182483718,2.2098643568814462,-1.7966736182483718
wind_speed,19,7,1.9845648144705847,2.54795210618233,-1.9657230559099907
wind_speed,20,7,1.8083428606747767,2.3572139455912438,-1.8083428606747767
wind_speed,21,7,1.9990878022618574,2.3140823378350515,-1.9990878022618574
wind_speed,22,7,2.1458922326250933,2.335079153329368,-2.1458922326250933
wind_speed,23,7,1.6524649904837483,1.8869396845980626,-1.6524649904837483
wind_speed,24,7,1.836725749304536,2.180702142464962,-1.663393322383829
wind_speed,25,7,1.812827621825844,2.1715047312532003,-1.2674365865951456
wind_speed,26,7,1.5183528338094838,1.6558511201288137,-1.5183528338094838
wind_speed,27,7,1.4376663715558655,1.8394269092897007,-1.3597060846158797
wind_speed,28,7,2.2349341441633763,2.87168415233736,-1.033563450641066
wind_speed,29,7,1.9003643713181197,2.2348429966280725,-1.9003643713181197
wind_speed,30,7,1.3722734752600494,1.8084101062736957,-1.314661144890832
wind_speed,31,7,1.7964626326006137,2.29998685414921,-1.1693388020606614
wind_speed,32,7,1.6723454922327565,2.234371872424887,-1.513028457901548
