variable,lead_hours,n,mae,rmse,bias
RH,8,7,8.925152297576306,9.45326831622891,-7.908214389077193
RH,9,7,9.57171873685605,10.508263744605475,-9.178939780301343
RH,10,7,9.077715653237215,10.569992401200894,-8.836639934727925
RH,11,7,9.933497288217785,11.256045076406997,-9.740236587921562
RH,12,7,8.437080375900395,9.814667617229968,-8.151125800684275
RH,13,7,7.894599673094985,9.134372986276668,-7.72683164746999
RH,14,7,8.64655613910048,9.951715016998023,-8.066358481435703
RH,15,7,7.026213001030601,8.769256478393523,-7.026213001030601
RH,16,7,8.92793452859964,9.896188273900185,-7.979117099664236
RH,17,7,7.8687916115399945,9.349136217381245,-7.751227588419811
RH,18,7,9.540421045693579,10.439894208427377,-6.543291510146919
RH,19,7,7.313209419781636,8.52082485751379,-1.800830012195161
RH,20,7,4.0299932238805445,5.051818000848044,-2.122642283780749
RH,21,7,3.905948392545917,5.770744609035186,-0.871783092419536
RH,22,7,6.027642511294197,8.124801981598909,-0.9351807459202932
RH,23,7,5.332042397492894,6.552755481975964,1.605388754607151
RH,24,7,7.461720820505044,8.716729207984136,2.0842241549301286
RH,25,7,10.498438702330535,15.37014554856382,1.0190990056104887
RH,26,7,9.348179942333406,13.494925439994395,0.3276317618550547
RH,27,7,8.011950456617829,11.855798089492586,-2.8729224240194915
RH,28,7,9.681991666793959,10.623277759366374,-3.742255871761048
RH,29,7,7.635475167953532,8.694871178499465,-1.1403539593720708
RH,30,7,8.400572064950138,10.979400885072764,1.4511390019071453
RH,31,7,8.08888907214682,9.949057223804084,-0.08669371780999617
RH,32,7,8.857797733591633,10.354674731841731,-0.6994947795895285
Tdb,8,7,2.4379586356027003,2.6261158867356027,1.5964442661830667
Tdb,9,7,2.2372488839285998,2.3631108553281006,1.6716169084821837
Tdb,10,7,2.422759137834849,2.5548823797882534,1.9833269391741382
Tdb,11,7,2.539754813058057,2.704094090473328,2.173432268415216
Tdb,12,7,2.6592808314732403,2.797509401416253,2.2232282366071754
Tdb,13,7,2.3192940848214567,2.45844033106466,1.9781668526786027
Tdb,14,7,2.3121268136160973,2.4690902931487093,1.8148786272321822
Tdb,15,7,1.41322195870537,1.740578777844735,1.114027622767893
Tdb,16,7,1.150094168526786,1.3764808789249463,0.5039167131696721
Tdb,17,7,0.7259957449776918,0.9769583438566956,0.45875244140628574
Tdb,18,7,1.134176199776784,1.696509940305892,-0.24327915736602407
Tdb,19,7,1.4537336077008933,2.233443090781283,-1.1644757952008606
Tdb,20,7,1.168464006696396,1.4207425504332452,-0.9427943638392503
Tdb,21,7,1.4842093331473005,1.7963359196903004,-1.1029872349329917
Tdb,22,7,1.244220842633915,1.6789590139680899,-1.1107456752231815
Tdb,23,7,1.3031738281249854,1.807266004440897,-1.2989501953124762
Tdb,24,7,1.8949271065848003,2.2628850423377784,-1.3049787248883615
Tdb,25,7,2.204518345424097,2.618499574289674,-1.4230416434151398
Tdb,26,7,1.6127354213169658,2.0628183308756456,-0.7533464704240728
Tdb,27,7,1.3479352678571572,1.7916278792206157,-0.035246930803540924
Tdb,28,7,1.7269461495535843,2.018257751792142,0.2909388950893185
Tdb,29,7,1.4284772600446591,1.7351119564245503,0.6645193917411076
Tdb,30,7,1.6864065987723396,1.9338248262647537,0.21432931082592738
Tdb,31,7,1.7533115931919876,1.8372310903378277,0.7908046177455782
Tdb,32,7,2.0296264648437696,2.2326318324484,1.1308820452009252
Tdew,8,7,1.207793317522315,1.3167590152787685,0.21802280970985372
Tdew,9,7,1.101105608258927,1.2133351133052843,0.04176548549109909
Tdew,10,7,1.306314522879461,1.521165594644408,0.41360037667414623
Tdew,11,7,1.1829990931919645,1.4698076626816223,0.4529593331473572
Tdew,12,7,1.542728097098229,1.6957111075996296,0.8032714843750276
Tdew,13,7,1.270818219866086,1.3582392501368425,0.6296630859375307
Tdew,14,7,1.2163888113839272,1.4336585491944414,0.44349190848218
Tdew,15,7,1.1888706752232012,1.3828205047449582,-0.1540387834821168
Tdew,16,7,1.2011178152901547,1.3396504782776337,-0.9011213030133557
Tdew,17,7,1.0869681222097891,1.267517710351636,-1.0869681222097891
Tdew,18,7,1.636997767857107,1.7538962036873977,-1.636997767857107
Tdew,19,7,1.5923775809151557,1.7230024544416176,-1.0495204380580032
Tdew,20,7,1.272717285156234,1.3946241615502466,-1.0881016322544417
Tdew,21,7,0.8409859793526622,1.013675354453621,-0.7695574079240746
