day,mean,P10,P50,P90,P95,P99,max,min,GPU_hours,known_site_mean,unknown_site_mean
2025-05-01,1085.8854166666667,495.5,800.0,1741.0,1769.0,1796.4,1804.0,493.0,26061.25,653.21875,432.6666666666667
2025-05-02,1160.625,409.0,1193.0,1809.0,1813.0,1813.0,1813.0,368.0,27855.0,717.1770833333334,443.4479166666667
2025-05-03,1021.2395833333334,234.0,779.0,1677.0,1697.5,1799.55,1810.0,227.0,24509.75,688.1041666666666,333.1354166666667
2025-05-04,687.625,308.0,605.5,1221.0,1223.0,1235.0,1235.0,266.0,16503.0,687.625,0.0
2025-05-05,439.1770833333333,185.0,296.0,827.5,838.25,858.1,860.0,179.0,10540.25,439.1770833333333,0.0
2025-05-06,809.3541666666666,621.0,837.0,1030.0,1030.5,1043.1,1045.0,611.0,19424.5,809.3541666666666,0.0
2025-05-07,3602.8020833333335,3287.0,3383.0,3502.0,3502.0,13268.35,13275.0,3237.0,86467.25,756.8958333333334,2845.90625
2025-05-08,3064.7395833333335,2808.0,2909.5,2996.0,3028.75,10492.0,10492.0,2794.0,73553.75,679.3541666666666,2385.3854166666665
2025-05-09,1032.40625,791.0,917.0,1064.0,1066.0,6174.4,6182.0,791.0,24777.75,674.5833333333334,357.8229166666667
2025-05-10,1039.0833333333333,641.5,913.0,1351.5,1374.0,6441.0,6517.0,611.0,24938.0,547.4479166666666,491.6354166666667
2025-05-11,1768.5833333333333,867.5,1057.0,2735.0,2803.0,4669.0,4745.0,749.0,42446.0,849.375,919.2083333333334
2025-05-12,1272.84375,566.0,580.0,2119.0,2133.0,2137.0,2137.0,494.0,30548.25,660.6041666666666,612.2395833333334
2025-05-13,790.5104166666666,189.0,246.0,1698.0,1698.0,1698.0,1698.0,189.0,18972.25,673.0104166666666,117.5
2025-05-14,1028.59375,250.0,1272.0,2150.0,2162.0,2171.3,2177.0,186.0,24686.25,741.7291666666666,286.8645833333333
2025-05-15,876.8333333333334,226.0,227.5,1671.0,1814.0,1875.6,1887.0,204.0,21044.0,717.0729166666666,159.76041666666666
2025-05-16,704.3541666666666,221.0,228.0,1489.0,1491.0,1495.0,1495.0,177.0,16904.5,692.3958333333334,11.958333333333334
2025-05-17,317.5833333333333,93.0,112.5,565.0,569.0,690.9999999999934,2895.0,92.0,7622.0,317.5833333333333,0.0
2025-05-18,1416.7708333333333,923.0,923.0,2065.0,2066.0,2067.0,2067.0,771.0,34002.5,618.7708333333334,798.0
2025-05-19,1060.3854166666667,566.0,590.0,1924.0,1931.0,1937.2,1941.0,462.0,25449.25,692.5104166666666,367.875
2025-05-20,970.53125,685.0,690.0,1358.0,1367.25,1385.8499999999992,1630.0,685.0,23292.75,596.1770833333334,374.3541666666667
2025-05-21,10058.989583333334,9969.0,9986.0,10179.0,10179.0,10179.0,10179.0,9969.0,241415.75,639.75,9419.239583333334
2025-05-22,8446.833333333334,8354.0,8379.0,8583.0,8584.0,8587.4,8595.0,8351.0,202724.0,654.6041666666666,7792.229166666667
2025-05-23,6808.604166666667,6727.0,6734.0,6892.0,6895.0,7242.8,7258.0,6717.0,163406.5,679.3541666666666,6129.25
2025-05-24,5406.604166666667,5385.0,5398.0,5442.0,5442.0,5442.0,5442.0,5385.0,129758.5,642.6041666666666,4764.0
2025-05-25,4350.447916666667,4307.0,4347.0,4426.0,4431.0,4431.0,4431.0,4307.0,104410.75,636.4479166666666,3714.0
2025-05-26,3408.0625,3386.0,3395.0,3455.0,3493.0,3511.0,3511.0,3354.0,81793.5,654.0625,2754.0
2025-05-27,2533.8229166666665,2492.0,2524.0,2606.0,2618.0,2618.0,2618.0,2460.0,60811.75,677.8229166666666,1856.0
2025-05-28,1761.9166666666667,1722.0,1754.0,1830.0,1830.0,1830.0,1830.0,1722.0,42286.0,641.9166666666666,1120.0
2025-05-29,918.7395833333334,866.0,934.0,962.0,962.0,966.0,966.0,866.0,22049.75,646.7395833333334,272.0
2025-05-30,223.46875,198.0,218.0,249.0,261.0,266.0,266.0,194.0,5363.25,223.46875,0.0
2025-05-31,210.59375,138.0,184.0,329.0,329.0,329.0,329.0,134.0,5054.25,210.59375,0.0
