time,mean,P10,P50,P90,P95,P99,max,min,GPU_hours
00:00,3649.3548387096776,966.0,2067.0,8595.0,10335.5,12440.099999999999,13275.0,266.0,28282.5
00:15,3558.3548387096776,858.0,1937.0,8587.0,10335.5,12435.199999999997,13268.0,266.0,27577.25
00:30,2628.3225806451615,852.0,1830.0,5442.0,7914.5,9701.4,10179.0,266.0,20369.5
00:45,2625.967741935484,847.0,1830.0,5442.0,7914.5,9701.4,10179.0,262.0,20351.25
01:00,2599.5806451612902,839.0,1817.0,5442.0,7742.5,9701.4,10179.0,261.0,20146.75
01:15,2591.548387096774,838.0,1813.0,5442.0,7738.5,9700.199999999999,10179.0,261.0,20084.5
01:30,2585.6129032258063,837.0,1813.0,5442.0,7738.5,9700.199999999999,10179.0,249.0,20038.5
01:45,2583.516129032258,836.0,1809.0,5442.0,7738.5,9700.199999999999,10179.0,249.0,20022.25
02:00,2581.516129032258,829.0,1809.0,5442.0,7738.5,9700.199999999999,10179.0,249.0,20006.75
02:15,2579.6451612903224,829.0,1809.0,5442.0,7738.5,9700.199999999999,10179.0,249.0,19992.25
02:30,2578.1612903225805,826.0,1809.0,5442.0,7736.5,9700.199999999999,10179.0,249.0,19980.75
02:45,2576.7741935483873,819.0,1809.0,5442.0,7736.5,9700.199999999999,10179.0,249.0,19970.0
03:00,2567.451612903226,817.0,1809.0,5442.0,7730.5,9696.599999999999,10179.0,249.0,19897.75
03:15,2565.3548387096776,806.0,1809.0,5442.0,7730.5,9696.599999999999,10179.0,245.0,19881.5
03:30,2558.3225806451615,778.0,1745.0,5442.0,7730.5,9696.599999999999,10179.0,245.0,19827.0
03:45,2554.9032258064517,776.0,1737.0,5442.0,7730.5,9696.599999999999,10179.0,245.0,19800.5
04:00,2549.4193548387098,759.0,1737.0,5438.0,7730.5,9696.599999999999,10179.0,245.0,19758.0
04:15,2546.8064516129034,759.0,1737.0,5438.0,7730.5,9693.8,10175.0,245.0,19737.75
04:30,2539.032258064516,758.0,1719.0,5438.0,7730.0,9693.099999999999,10174.0,245.0,19677.5
04:45,2533.7096774193546,757.0,1719.0,5438.0,7724.0,9689.499999999998,10174.0,245.0,19636.25
05:00,2517.5806451612902,752.0,1680.0,5438.0,7712.0,9676.699999999999,10166.0,245.0,19511.25
05:15,2513.3225806451615,712.0,1672.0,5438.0,7710.0,9674.099999999999,10164.0,245.0,19478.25
05:30,2499.2903225806454,683.0,1665.0,5438.0,7710.0,9662.9,10148.0,245.0,19369.5
05:45,2489.2903225806454,604.0,1665.0,5406.0,7708.0,9661.699999999999,10148.0,245.0,19292.0
06:00,2484.7741935483873,594.0,1665.0,5406.0,7708.0,9661.699999999999,10148.0,244.0,19257.0
06:15,2478.9032258064517,594.0,1665.0,5406.0,7708.0,9661.699999999999,10148.0,244.0,19211.5
06:30,2457.0,594.0,1639.0,5406.0,7708.0,9661.699999999999,10148.0,244.0,19041.75
06:45,2454.7741935483873,594.0,1639.0,5406.0,7708.0,9661.699999999999,10148.0,244.0,19024.5
07:00,2453.548387096774,594.0,1639.0,5406.0,7706.5,9660.8,10148.0,244.0,19015.0
07:15,2449.548387096774,594.0,1637.0,5406.0,7705.5,9660.8,10148.0,198.0,18984.0
07:30,2448.967741935484,594.0,1633.0,5406.0,7705.5,9660.8,10148.0,196.0,18979.5
07:45,2444.548387096774,590.0,1633.0,5406.0,7705.5,9660.8,10148.0,196.0,18945.25
08:00,2440.8064516129034,590.0,1602.0,5406.0,7695.0,9660.8,10148.0,196.0,18916.25
