day,old_primary_optimum,new_primary_optimum,old_changed_jobs,new_changed_jobs,old_max_delay_minutes,new_max_delay_minutes,old_incremental_post_midnight_GPU_h,new_incremental_post_midnight_GPU_h,old_V39H_migrations,original_baseline_migrations,resulting_migrations,old_V39H_Vmax,resulting_Vmax,resulting_Vmin,upper_voltage_headroom_pu,result_scope
2025-05-24,108,INFEASIBLE,9,0,90,0,4.5,0,0,2,2,1.0463480883480853,1.0463480883480853,0.9790671657349378,0.0036519116519146966,Original RSP plus existing migration witness; no accepted repaired schedule
2025-05-25,29568,INFEASIBLE,15,0,5745,0,1392.0,0,0,8,8,1.0468152325915063,1.046649468702403,0.9789529893494764,0.0033505312975969925,Original RSP plus existing migration witness; no accepted repaired schedule
2025-05-26,13086,INFEASIBLE,8,0,3840,0,392.0,0,0,15,15,1.046763357834461,1.0465094654659577,0.9762157820010027,0.0034905345340423555,Original RSP plus existing migration witness; no accepted repaired schedule
