tensor_index,road_edge_id,from_node,to_node
99,RL_07_25_03,TN_07,TN_25
100,RL_07_25_04,TN_07,TN_25
101,RL_07_30_01,TN_07,TN_30
102,RL_07_32_01,TN_07,TN_32
103,RL_07_34_01,TN_07,TN_34
104,RL_07_42_01,TN_07,TN_42
105,RL_07_42_02,TN_07,TN_42
106,RL_07_45_01,TN_07,TN_45
107,RL_07_45_02,TN_07,TN_45
108,RL_07_45_03,TN_07,TN_45
109,RL_07_47_01,TN_07,TN_47
110,RL_08_05_01,TN_08,TN_05
111,RL_08_06_01,TN_08,TN_06
112,RL_08_09_01,TN_08,TN_09
113,RL_08_10_01,TN_08,TN_10
114,RL_08_13_01,TN_08,TN_13
115,RL_08_14_01,TN_08,TN_14
116,RL_08_15_01,TN_08,TN_15
117,RL_08_15_02,TN_08,TN_15
118,RL_08_21_01,TN_08,TN_21
119,RL_08_24_01,TN_08,TN_24
120,RL_08_24_02,TN_08,TN_24
121,RL_08_26_01,TN_08,TN_26
122,RL_08_31_01,TN_08,TN_31
123,RL_08_35_01,TN_08,TN_35
124,RL_08_39_01,TN_08,TN_39
125,RL_08_39_02,TN_08,TN_39
126,RL_08_40_01,TN_08,TN_40
127,RL_09_02_01,TN_09,TN_02
128,RL_09_05_01,TN_09,TN_05
129,RL_09_06_01,TN_09,TN_06
130,RL_09_07_01,TN_09,TN_07
131,RL_09_08_01,TN_09,TN_08
132,RL_09_13_01,TN_09,TN_13
133,RL_09_13_02,TN_09,TN_13
134,RL_09_14_01,TN_09,TN_14
135,RL_09_14_02,TN_09,TN_14
136,RL_09_16_01,TN_09,TN_16
137,RL_09_16_02,TN_09,TN_16
138,RL_09_19_01,TN_09,TN_19
139,RL_09_21_01,TN_09,TN_21
140,RL_09_21_02,TN_09,TN_21
141,RL_09_21_03,TN_09,TN_21
142,RL_09_24_01,TN_09,TN_24
143,RL_09_28_01,TN_09,TN_28
144,RL_09_36_01,TN_09,TN_36
145,RL_09_36_02,TN_09,TN_36
146,RL_09_37_01,TN_09,TN_37
147,RL_09_40_01,TN_09,TN_40
148,RL_10_04_01,TN_10,TN_04
149,RL_10_04_02,TN_10,TN_04
150,RL_10_06_01,TN_10,TN_06
151,RL_10_06_02,TN_10,TN_06
152,RL_10_08_01,TN_10,TN_08
153,RL_10_09_01,TN_10,TN_09
154,RL_10_13_01,TN_10,TN_13
155,RL_10_13_02,TN_10,TN_13
156,RL_10_15_01,TN_10,TN_15
157,RL_10_15_02,TN_10,TN_15
158,RL_10_15_03,TN_10,TN_15
159,RL_10_27_01,TN_10,TN_27
160,RL_10_29_01,TN_10,TN_29
161,RL_10_29_02,TN_10,TN_29
162,RL_10_29_03,TN_10,TN_29
163,RL_10_30_01,TN_10,TN_30
164,RL_10_35_01,TN_10,TN_35
165,RL_10_35_02,TN_10,TN_35
166,RL_10_44_01,TN_10,TN_44
167,RL_10_46_01,TN_10,TN_46
168,RL_11_03_01,TN_11,TN_03
169,RL_11_17_01,TN_11,TN_17
170,RL_11_17_02,TN_11,TN_17
171,RL_11_18_01,TN_11,TN_18
172,RL_11_22_01,TN_11,TN_22
173,RL_11_22_02,TN_11,TN_22
174,RL_11_24_01,TN_11,TN_24
175,RL_11_24_02,TN_11,TN_24
176,RL_11_26_01,TN_11,TN_26
177,RL_11_26_02,TN_11,TN_26
178,RL_11_44_01,TN_11,TN_44
179,RL_12_01_01,TN_12,TN_01
180,RL_12_05_01,TN_12,TN_05
181,RL_12_14_01,TN_12,TN_14
182,RL_12_14_02,TN_12,TN_14
183,RL_12_19_01,TN_12,TN_19
184,RL_12_27_01,TN_12,TN_27
185,RL_12_29_01,TN_12,TN_29
186,RL_12_29_02,TN_12,TN_29
187,RL_12_35_01,TN_12,TN_35
188,RL_13_04_01,TN_13,TN_04
189,RL_13_04_02,TN_13,TN_04
190,RL_13_05_01,TN_13,TN_05
191,RL_13_06_01,TN_13,TN_06
192,RL_13_06_02,TN_13,TN_06
193,RL_13_08_01,TN_13,TN_08
194,RL_13_09_01,TN_13,TN_09
195,RL_13_10_01,TN_13,TN_10
196,RL_13_10_02,TN_13,TN_10
197,RL_13_17_01,TN_13,TN_17
198,RL_13_19_01,TN_13,TN_19
199,RL_13_21_01,TN_13,TN_21
200,RL_13_21_02,TN_13,TN_21
201,RL_13_26_01,TN_13,TN_26
202,RL_13_27_01,TN_13,TN_27
203,RL_13_31_01,TN_13,TN_31
204,RL_13_35_01,TN_13,TN_35
205,RL_13_37_01,TN_13,TN_37
206,RL_14_01_01,TN_14,TN_01
207,RL_14_01_02,TN_14,TN_01
208,RL_14_01_03,TN_14,TN_01
209,RL_14_01_04,TN_14,TN_01
210,RL_14_04_01,TN_14,TN_04
211,RL_14_05_01,TN_14,TN_05
212,RL_14_06_01,TN_14,TN_06
213,RL_14_06_02,TN_14,TN_06
214,RL_14_08_01,TN_14,TN_08
215,RL_14_09_01,TN_14,TN_09
216,RL_14_10_01,TN_14,TN_10
217,RL_14_16_01,TN_14,TN_16
218,RL_14_17_01,TN_14,TN_17
219,RL_14_21_01,TN_14,TN_21
220,RL_14_23_01,TN_14,TN_23
221,RL_14_26_01,TN_14,TN_26
222,RL_14_31_01,TN_14,TN_31
223,RL_14_37_01,TN_14,TN_37
224,RL_14_41_01,TN_14,TN_41
225,RL_14_43_01,TN_14,TN_43
226,RL_14_43_02,TN_14,TN_43
227,RL_15_04_01,TN_15,TN_04
228,RL_15_04_02,TN_15,TN_04
229,RL_15_06_01,TN_15,TN_06
230,RL_15_08_01,TN_15,TN_08
231,RL_15_08_02,TN_15,TN_08
232,RL_15_10_01,TN_15,TN_10
233,RL_15_10_02,TN_15,TN_10
234,RL_15_10_03,TN_15,TN_10
235,RL_15_13_01,TN_15,TN_13
236,RL_15_17_01,TN_15,TN_17
237,RL_15_21_01,TN_15,TN_21
238,RL_15_21_02,TN_15,TN_21
239,RL_15_26_01,TN_15,TN_26
240,RL_15_30_01,TN_15,TN_30
241,RL_16_02_01,TN_16,TN_02
242,RL_16_04_01,TN_16,TN_04
243,RL_16_04_02,TN_16,TN_04
244,RL_16_04_03,TN_16,TN_04
245,RL_16_07_01,TN_16,TN_07
246,RL_16_09_01,TN_16,TN_09
247,RL_16_09_02,TN_16,TN_09
248,RL_16_17_01,TN_16,TN_17
249,RL_16_18_01,TN_16,TN_18
250,RL_16_19_01,TN_16,TN_19
251,RL_16_20_01,TN_16,TN_20
252,RL_16_21_01,TN_16,TN_21
253,RL_16_26_01,TN_16,TN_26
254,RL_16_28_01,TN_16,TN_28
255,RL_16_31_01,TN_16,TN_31
256,RL_16_37_01,TN_16,TN_37
257,RL_16_37_02,TN_16,TN_37
258,RL_16_48_01,TN_16,TN_48
259,RL_17_01_01,TN_17,TN_01
260,RL_17_03_01,TN_17,TN_03
261,RL_17_03_02,TN_17,TN_03
262,RL_17_04_01,TN_17,TN_04
263,RL_17_04_02,TN_17,TN_04
264,RL_17_11_01,TN_17,TN_11
265,RL_17_11_02,TN_17,TN_11
266,RL_17_13_01,TN_17,TN_13
267,RL_17_15_01,TN_17,TN_15
268,RL_17_18_01,TN_17,TN_18
269,RL_17_24_01,TN_17,TN_24
270,RL_17_28_01,TN_17,TN_28
271,RL_17_31_01,TN_17,TN_31
272,RL_17_32_01,TN_17,TN_32
273,RL_17_36_01,TN_17,TN_36
274,RL_18_02_01,TN_18,TN_02
275,RL_18_02_02,TN_18,TN_02
276,RL_18_02_03,TN_18,TN_02
277,RL_18_02_04,TN_18,TN_02
278,RL_18_07_01,TN_18,TN_07
279,RL_18_11_01,TN_18,TN_11
280,RL_18_16_01,TN_18,TN_16
281,RL_18_17_01,TN_18,TN_17
282,RL_18_20_01,TN_18,TN_20
283,RL_18_26_01,TN_18,TN_26
284,RL_18_30_01,TN_18,TN_30
285,RL_18_32_01,TN_18,TN_32
286,RL_18_36_01,TN_18,TN_36
287,RL_18_39_01,TN_18,TN_39
288,RL_18_42_01,TN_18,TN_42
289,RL_19_04_01,TN_19,TN_04
