road_node_id,junction_id,longitude,latitude
TN_01,665719094,144.78462642147664,-37.788462094167855
TN_02,9570097811,145.18728848862574,-37.8204560831662
TN_03,282876856,145.18287729272612,-37.947983375619245
TN_04,349918075,145.00815926861432,-37.82026609778379
TN_05,244470416,144.87602103748569,-37.70775877090675
TN_06,320853455,144.86468829866715,-37.80329450389735
TN_07,470223388,145.12666628431595,-37.78834754845948
TN_08,9286635897,144.915484430201,-37.821418434188814
TN_09,cluster_1686695063_1686695067_568336382_7624706855_#2more,144.94401915816698,-37.80030759798957
TN_10,7497454018,144.84259225406305,-37.81878783086414
TN_11,30338602,145.13313199964992,-37.917864539164654
TN_12,347793561,144.77435735698543,-37.801659386404644
TN_13,cluster_253549829_3359255433_3359255460_36022342,144.88280593027594,-37.80399653249997
TN_14,cluster_354345649_354345656_366746168_366746169,144.7729429238982,-37.782983507326946
TN_15,320486605,144.8681693891434,-37.81867193528302
TN_16,cluster_170216836_170217605_248969195_30220445_#4more,144.9913513518851,-37.809751181880216
TN_17,cluster_266912953_266912954_266912991_266912992,145.19252416984784,-37.93762055387884
TN_18,cluster_102356195_102356196_29708571_29709210,145.17272756660165,-37.83476362720066
TN_19,cluster_1512453636_1512453665_236856018_2787714205_#7more,144.84988505451332,-37.72447859023457
TN_20,12069077120,145.0235148342791,-37.8131303785946
TN_21,cluster_332544858_332544859_332544866_332544912,144.94997836198786,-37.81013507812828
TN_22,cluster_10216473092_10216473094_13641334762_27170320_#5more,145.1222613292321,-37.91113903432767
TN_23,5642266068,144.77173866399252,-37.79287564465822
TN_24,cluster_10202740441_12183102248_1218575132_31560306,144.9970897892326,-37.88380593170461
TN_25,cluster_127366687_462944444,145.02973874803783,-37.791975511965724
TN_26,cluster_324900599_324900759,145.1440466576152,-37.895194381677214
TN_27,cluster_353640757_353640763_353640765_36045765,144.78234848007637,-37.813170237780184
TN_28,154177118,144.88065065380877,-37.73205600705867
TN_29,250291495,144.84812706273337,-37.80897285325597
TN_30,cluster_255026336_9275188949_9275188950_9275188952_#1more,145.0169488980626,-37.82729363390308
TN_31,cluster_1425817957_9376024931,144.92685527870898,-37.82099982819153
TN_32,cluster_2065648302_60173510_9441152474,145.17104102687438,-37.79017264690405
TN_33,cluster_102352397_331784457,145.20795876655393,-37.84457736595569
TN_34,6539126842,145.14699146208332,-37.803823784004834
TN_35,cluster_9103895357_9103895358,144.80754302882627,-37.8152565910445
TN_36,cluster_2187983875_2187983886_2187983887_2187983890_#4more,144.97056499254188,-37.81207271066354
TN_37,cluster_13722642077_30287145_6207099257,144.91454567812795,-37.79432706487289
TN_38,7957743950,144.98726930309195,-37.83474216130239
TN_39,9085527869,144.94846033545238,-37.82896397387982
TN_40,4793613084,144.90378533747008,-37.81104889267983
TN_41,cluster_10747465458_10747465459_1699212984_2220044306,144.97814721547914,-37.742545585560784
TN_42,78427004,145.10698535681004,-37.84981229195914
TN_43,cluster_30918462_30918468,144.78169675195724,-37.729899090303114
TN_44,cluster_588252452_761974942,145.06407270024346,-37.88470839307356
TN_45,cluster_30266198_60100034,145.07159174247406,-37.7600473828004
TN_46,cluster_290062855_290062858_33531741,144.83106358246826,-37.76477822253
TN_47,29960444,145.08134495411542,-37.81283465248121
TN_48,9360092828,144.93049906217243,-37.75653036658492
