track,role,candidate,N,coverage,GPU_coverage,under_sec,GPU_under_sec,over_sec,GPU_over_h,MAE,median_absolute_error,P90_absolute_error,P95_absolute_error,P99_absolute_error,WAPE,bias,safe_actual_ratio,completion_slot_MAE,completion_slot_signed_error,GPU_completion_slot_MAE,GPU_completion_slot_signed_error,EXTREME_CONSERVATISM_WARNING,ending_at_least_1_slots_early,GPU_ending_at_least_1_slots_early,ending_at_least_4_slots_early,GPU_ending_at_least_4_slots_early,ending_at_least_8_slots_early,GPU_ending_at_least_8_slots_early
P,TRAIN,R0_CURRENT_RSP,1190,0.8873949579831932,0.9192238267148014,1225517.8813476562,1941598.994140625,35468611.44433594,16140.942143012153,30835.402794692094,29944.23046875,57526.287109375095,109764.75234374999,114185.01234374991,1.5368480931358155,28775.70887646074,2.4341921722207114,34.122689075630255,31.83529411764706,29.883574007220215,27.934115523465703,False,0.10336134453781512,0.07536101083032491,0.07478991596638655,0.05595667870036101,0.04789915966386555,0.037454873646209384
P,TRAIN,R1_RECORDED_REQUESTED_WALLTIME,1190,0.9991596638655462,0.9981949458483754,15.0,60.0,178945691.0,81789.8475,150374.54285714286,158853.0,171943.1,172665.0,172778.22,7.494723872585548,150374.51764705882,8.494722616105461,166.54789915966387,166.54621848739495,147.09521660649818,147.09160649819495,True,0.0008403361344537816,0.0018050541516245488,0.0,0.0,0.0,0.0
P,TRAIN,R2_Q90,1190,0.6226890756302521,0.7477436823104693,7599884.966076862,9340033.99675493,13316113.757255733,8303.913745930935,17576.46951540554,11815.147243576008,42274.95674019318,54327.843259806774,94048.68722590685,0.8760178629306122,4803.553606032666,1.2394109215585711,19.563025210084035,5.2823529411764705,19.656137184115522,10.231949458483754,False,0.37058823529411766,0.24548736462093862,0.33949579831932775,0.21931407942238268,0.3142857142857143,0.19810469314079424
P,TRAIN,R3_Q95,1190,0.6680672268907563,0.7842960288808665,6210467.000106886,7718636.660723417,16502827.897356624,10414.144235476846,19086.802434843285,12387.096342339599,41973.95674019317,62500.70224558361,94048.68722590685,0.9512934246832124,8649.0427707981,1.431071550394641,21.01764705882353,9.43109243697479,22.49548736462094,14.73826714801444,False,0.3302521008403361,0.21435018050541516,0.31512605042016806,0.2003610108303249,0.2781512605042017,0.17148014440433212
P,TRAIN,R4_Q99,1190,0.726890756302521,0.8312274368231047,4010163.5608477257,5215155.508498348,29227711.777691297,17000.310320868888,27930.987679444555,22845.33061617485,62296.55224558363,71273.05782443505,107635.9930573994,1.3920909494959932,21191.216988944176,2.0561782389394394,30.921848739495797,23.585714285714285,33.175090252707584,28.01985559566787,False,0.27310924369747897,0.16877256317689532,0.2689075630252101,0.16606498194945848,0.21008403361344538,0.1299638989169675
P,TRAIN,R5_UARP_STYLE,1190,0.753781512605042,0.8465703971119134,2867448.5319972094,3965096.293820524,39337018.721552186,22216.739753401816,35465.93886852891,28936.049328303023,76543.20269470035,87339.0077182976,133165.77453302173,1.767635755701965,30646.69763828149,2.527442957041908,39.48151260504201,34.061344537815124,42.05054151624549,38.02797833935018,False,0.2445378151260504,0.15252707581227437,0.22941176470588234,0.14034296028880866,0.15378151260504203,0.09882671480144405
P,DEVELOPMENT,R0_CURRENT_RSP,4346,0.6626783248964565,0.7172723446050232,17178142.59346962,48173935.178367615,98555463.98876953,45388.015292019314,26629.914077827692,31234.73046875,42503.87109375,42503.87109375,149219.532421875,1.0611350285045118,18724.64827319372,1.7461300896819567,29.487574781408192,20.567188219052003,32.86866844394556,17.73775782236565,False,0.3352508053382421,0.281043917496843,0.09180855959502991,0.11701978392030307,0.08145421076852279,0.1029886347691876
P,DEVELOPMENT,R1_RECORDED_REQUESTED_WALLTIME,4346,0.980441785549931,0.9525747158692297,853.0,3356.0,517133691.0,237173.45472222223,118990.92130694892,157840.0,172795.0,172795.0,172795.0,4.741488624552383,118990.52876208007,5.741472982627689,131.67694431661297,131.63782788771283,132.6803704223376,132.58551985407604,False,0.019558214450069028,0.04742528413077031,0.0,0.0,0.0,0.0
P,DEVELOPMENT,R2_Q90,4346,0.8469857340082835,0.8372386698470605,14948881.460686244,31923769.9699219,55748487.555040605,30309.4394870031,16267.227109002954,12464.32172668587,23770.522520949435,36197.78242563648,77559.3842198432,0.6482080434639286,9387.852299667362,1.3740822778657755,18.091118269673263,10.428439944776807,22.04854777606286,12.060895187315841,False,0.1474919466175794,0.15841167391609373,0.13414634146341464,0.14409990178195595,0.12195121951219512,0.12880594920724006
P,DEVELOPMENT,R3_Q95,4346,0.8888633225954901,0.8853655114353866,10151923.444678787,21652964.45983991,108711861.391256,57767.28351113015,27350.15757844795,20332.56298142195,68632.71591879439,68741.46591879439,80200.22883183279,1.0898349186103236,22678.31061817239,1.9036735797914217,30.361021629084217,25.20271514035895,35.87624526448716,29.107618913989057,False,0.10814542107685228,0.11210888171741265,0.09410952600092039,0.09793742107478602,0.08076392084675564,0.07604882839904588
P,DEVELOPMENT,R4_Q99,4346,0.9394845835250806,0.9370001403114915,2493180.1791340085,3951264.073782527,166314957.68604857,87534.88550707002,38842.18542687128,29708.715171703298,94662.4013108519,94667.4013108519,100415.12093018118,1.5477632943036068,37694.84065966741,2.5020444940591453,43.11366774045099,41.82328578002761,49.75445488985548,48.4930545811702,False,0.05982512655315232,0.06257892521397503,0.04786010124252186,0.0499508909779711,0.024160147261849976,0.01824049389645012
P,DEVELOPMENT,R5_UARP_STYLE,4346,0.9919466175793833,0.9929844254244422,676133.2289573065,1147895.091799811,229541097.4185682,119401.35431155353,52972.211377709515,43111.325041803735,113766.48157302228,113882.23157302228,123198.74511621741,2.1108092525553555,52661.05940856211,3.0984106299880607,58.66889093419236,58.31822365393465,67.07913568121229,66.7182545250456,False,0.007823285780027611,0.006734951592535429,0.006902899217671422,0.00617370562649081,0.00529222273354809,0.004770590711379262
P,CALIBRATION,R0_CURRENT_RSP,2634,0.8413059984813971,0.905143447919359,14644764.127277374,32834240.73469925,18961403.881622314,11716.042349709405,12758.605925930025,8815.39501953125,21377.38671875,43819.60498046875,128697.498125,0.9074476112396702,1638.81539648631,1.1165596872760133,13.995444191343964,1.677296886864085,10.529981907469631,1.114887567846989,False,0.1560364464692483,0.09317653140346342,0.14388762338648445,0.08555182217627294,0.12452543659832954,0.07262858619798397
P,CALIBRATION,R1_RECORDED_REQUESTED_WALLTIME,2634,0.9870918754745635,0.9808736107521323,191705.0,241373.0,273298577.0,147600.6913888889,103830.7828397874,145179.5,172537.0,172725.0,172780.0,7.384897410274224,103685.22095671982,8.37454441529624,114.80334092634776,114.62262718299165,75.85642284828121,75.7522615662962,False,0.012908124525436599,0.019126389247867664,0.0056947608200455585,0.0023261824760920135,0.004555808656036446,0.0019384853967433445
P,CALIBRATION,R2_Q90,2634,0.7608200455580866,0.8851124321530112,8163572.943767093,15993462.870737003,35983236.97155646,19286.234311292785,16760.368229052223,11321.588073195599,35521.89000831418,60833.19853302662,84093.96060239399,1.1920703720490564,10561.755515485713,1.7511980437883372,18.526955201214882,11.602126044039483,12.201214784181959,7.58451796329801,False,0.20197418375094914,0.10183509950891703,0.1108580106302202,0.06745929180666839,0.08314350797266515,0.05246833807185319
P,CALIBRATION,R3_Q95,2634,0.806378132118451,0.9108296717498061,5232935.367130994,10551672.506150799,50998413.33790751,28406.551694191756,21348.27209758485,20350.537359321628,39774.50079889849,60831.19853302662,71054.11683005453,1.518382073364002,17374.896723909078,2.2357783145887042,23.671981776765374,19.236142748671224,16.238046006720083,13.198242439906952,False,0.1560364464692483,0.07585939519255622,0.07289293849658314,0.046523649521840266,0.06757782839787396,0.0423882140087878
P,CALIBRATION,R4_Q99,2634,0.8735763097949886,0.9510209356422848,2733046.0179605233,4006845.4783217027,94509049.46042952,52266.40295344488,36918.031692631,40366.46775070389,63539.74855344559,69453.99649557746,138764.0860726366,2.6257711748163737,34842.825908302584,3.478173502880104,40.96165527714503,38.60478359908884,27.554794520547944,26.3836908761954,False,0.10668185269552012,0.04225898164900491,0.045937737281700836,0.019126389247867664,0.044798785117691725,0.01796329800982166
P,CALIBRATION,R5_UARP_STYLE,2634,0.9563401670463174,0.9826828637890928,1144146.447562729,2186583.4065385326,124752059.430796,89188.39969294767,47796.5853752311,52429.68584413133,83636.07579469298,86453.16707063612,185576.84013717578,3.3995012837583816,46927.83332696783,4.337711855075278,53.16097190584662,52.21488230827639,46.392349444300855,45.77306797622125,False,0.0231586940015186,0.010209356422848282,0.007593014426727411,0.004652364952184027,0.006074411541381929,0.004135435513052468
P,EXPOSED_EVALUATION,R0_CURRENT_RSP,2713,0.34316255068190193,0.38651846539978485,16565840.833374023,33086831.036499023,6115177.813501358,3410.337386142413,8360.124823765345,7040.82568359375,15221.519799804708,19733.919799804688,39299.69226562534,0.5724546691885691,-3852.068934711635,0.7362318273713604,9.410615554736454,-4.516402506450424,9.141627823592685,-4.434564359985658,False,0.6498341319572429,0.6066690570096809,0.5138223368964246,0.47615632843313016,0.36343531146332475,0.3006453926138401
P,EXPOSED_EVALUATION,R1_RECORDED_REQUESTED_WALLTIME,2713,0.9303354220420199,0.9288275367515239,3229.0,6881.0,102104692.0,52182.56805555556,37636.53556948028,28519.0,86386.0,136587.0,149720.0,2.577139812265007,37634.15517876889,3.576976816399999,41.38186509399189,41.24253593807593,36.972032986733595,36.82968806023664,False,0.06966457795798009,0.07117246324847616,0.0,0.0,0.0,0.0
P,EXPOSED_EVALUATION,R2_Q90,2713,0.9539255436785846,0.9510577267837935,1646297.6220839068,5066812.588201995,56380079.89070543,30916.576663359276,21388.270369623784,15216.57689138037,48738.11448062179,57867.139209578585,102627.24896607586,1.4645493335402286,20174.634083531702,2.3814462970048034,23.720973092517507,22.349060081091043,23.114019361778414,21.06453926138401,False,0.04496866936970144,0.047866618859806385,0.03317360855141909,0.03818572965220509,0.023221525985993367,0.029221943348870565
P,EXPOSED_EVALUATION,R3_Q95,2713,0.9660892001474383,0.9609178917174614,1351903.124866145,4487204.342256835,70734132.69181418,39466.404234857226,26570.599268956994,18766.4173403432,59088.52860543433,71382.35586563368,139202.3892036234,1.8194062810418805,25573.988045318118,2.751163909024179,29.601179506081827,28.482860302248433,29.247400501972034,27.439942631767657,False,0.030224843346848506,0.03549659376120473,0.024695908588278657,0.030476873431337398,0.017692591227423518,0.024381498745069917
P,EXPOSED_EVALUATION,R4_Q99,2713,0.9786214522668633,0.9734671925421298,490182.1949076447,1567687.5800652686,91272460.00944538,48509.77742525419,33823.31080145707,24926.832128165166,63711.32806488996,128701.38920362336,144931.22318229845,2.3160314712848513,33461.952751396144,3.2912876896587435,37.72908219683008,37.31256911168448,35.21441376837576,34.56830405163141,False,0.019904165130851456,0.02509860164933668,0.016218208625138224,0.02151308712800287,0.009214891264283081,0.013983506633201864
P,EXPOSED_EVALUATION,R5_UARP_STYLE,2713,0.9900479174345743,0.9856579419146647,96387.43105849906,283115.45014150406,123052780.44606504,65340.554229962574,45392.24765098545,34697.92259320088,88390.86826897028,166433.6499842113,178564.3558187581,3.1082076716011287,45321.19167526964,4.103342155125031,50.32657574640619,50.246959085882786,46.76658300466117,46.651846539978486,False,0.009214891264283081,0.013624955181068482,0.008846295613711759,0.013266403728935103,0.0,0.0
