track,role,candidate,N,coverage,GPU_coverage,under_sec,GPU_under_sec,over_sec,GPU_over_h,MAE,median_absolute_error,P90_absolute_error,P95_absolute_error,P99_absolute_error,WAPE,bias,safe_actual_ratio,completion_slot_MAE,completion_slot_signed_error,GPU_completion_slot_MAE,GPU_completion_slot_signed_error,EXTREME_CONSERVATISM_WARNING,ending_at_least_1_slots_early,GPU_ending_at_least_1_slots_early,ending_at_least_4_slots_early,GPU_ending_at_least_4_slots_early,ending_at_least_8_slots_early,GPU_ending_at_least_8_slots_early
PW,TRAIN,R0_CURRENT_RSP,1190,0.8873949579831932,0.9192238267148014,1225517.8813476562,1941598.994140625,35468611.44433594,16140.942143012153,30835.402794692094,29944.23046875,57526.287109375095,109764.75234374999,114185.01234374991,1.5368480931358155,28775.70887646074,2.4341921722207114,34.122689075630255,31.83529411764706,29.883574007220215,27.934115523465703,False,0.10336134453781512,0.07536101083032491,0.07478991596638655,0.05595667870036101,0.04789915966386555,0.037454873646209384
PW,TRAIN,R1_RECORDED_REQUESTED_WALLTIME,1190,0.9991596638655462,0.9981949458483754,15.0,60.0,178945691.0,81789.8475,150374.54285714286,158853.0,171943.1,172665.0,172778.22,7.494723872585548,150374.51764705882,8.494722616105461,166.54789915966387,166.54621848739495,147.09521660649818,147.09160649819495,True,0.0008403361344537816,0.0018050541516245488,0.0,0.0,0.0,0.0
PW,TRAIN,R2_Q90,1190,0.6436974789915967,0.753158844765343,8337597.003620936,10218886.7967838,14482604.486437801,9204.847452485237,19176.63990761238,13984.166305826155,40269.127373460906,62889.820458231996,76062.70479442476,0.9557709581740703,5163.871834299887,1.257369317812434,21.347058823529412,5.6647058823529415,21.692238267148014,11.376353790613718,False,0.35126050420168065,0.24232851985559567,0.3302521008403361,0.22111913357400723,0.3092436974789916,0.19720216606498195
PW,TRAIN,R3_Q95,1190,0.6781512605042017,0.7870036101083032,5185301.119409585,6755937.935662785,18233969.343622282,12235.239073264707,19680.05921263182,13462.495612006727,53089.64550381945,64849.37067360652,75790.65561547996,0.980861566009427,10965.267415304786,1.5465130593603365,21.777310924369747,12.232773109243697,25.341606498194945,18.634025270758123,False,0.3176470588235294,0.20848375451263537,0.29747899159663865,0.19133574007220217,0.26554621848739496,0.16696750902527077
PW,TRAIN,R4_Q99,1190,0.7563025210084033,0.8438628158844765,3370425.371430522,4612405.700446279,31019898.201722816,20111.87762844029,28899.43157407843,20555.012274569282,68354.40605881803,118989.27482141837,124667.25482141836,1.4403585580849523,23234.851117892682,2.1580337339058424,31.97563025210084,25.701680672268907,38.417418772563174,33.81092057761733,False,0.24369747899159663,0.15613718411552346,0.23949579831932774,0.15207581227436823,0.1815126050420168,0.11597472924187725
PW,TRAIN,R5_UARP_STYLE,1190,0.7655462184873949,0.8515342960288809,2722567.243994817,3817367.74972005,43446402.048362225,26376.77764584814,38797.453186854655,28522.024429448615,89033.42978570204,145949.67978570203,151856.25978570202,1.9336796845412842,34221.70991963648,2.7056229161012815,42.84201680672269,37.83361344537815,49.20171480144404,45.39485559566787,False,0.23361344537815126,0.148014440433213,0.21764705882352942,0.13402527075812273,0.13781512605042018,0.09070397111913357
PW,DEVELOPMENT,R0_CURRENT_RSP,4346,0.6626783248964565,0.7172723446050232,17178142.59346962,48173935.178367615,98555463.98876953,45388.015292019314,26629.914077827692,31234.73046875,42503.87109375,42503.87109375,149219.532421875,1.0611350285045118,18724.64827319372,1.7461300896819567,29.487574781408192,20.567188219052003,32.86866844394556,17.73775782236565,False,0.3352508053382421,0.281043917496843,0.09180855959502991,0.11701978392030307,0.08145421076852279,0.1029886347691876
PW,DEVELOPMENT,R1_RECORDED_REQUESTED_WALLTIME,4346,0.980441785549931,0.9525747158692297,853.0,3356.0,517133691.0,237173.45472222223,118990.92130694892,157840.0,172795.0,172795.0,172795.0,4.741488624552383,118990.52876208007,5.741472982627689,131.67694431661297,131.63782788771283,132.6803704223376,132.58551985407604,False,0.019558214450069028,0.04742528413077031,0.0,0.0,0.0,0.0
PW,DEVELOPMENT,R2_Q90,4346,0.8518177634606535,0.8453767363547074,15704042.139179332,34222509.80944316,83245600.05125494,44782.68813599045,22767.9802555072,13607.805533454803,53031.12327199032,60371.08759683967,96635.23187329803,0.907246689073381,15541.085575719193,1.6192731316062547,25.107455131155085,17.016797054763,30.336046022169217,19.571629016416445,False,0.14588127013345606,0.15307983723866986,0.13276576161988035,0.14031149151115477,0.12241141279337321,0.12908657219026237
PW,DEVELOPMENT,R3_Q95,4346,0.8803497468936954,0.8692296899116038,13447723.67524467,31424780.106946312,112038824.12567282,59043.556492507385,28874.033088108026,26803.31849155157,53032.12327199032,60373.08759683967,96635.23187329803,1.1505575209309533,22685.481005620833,1.903959301677991,31.971928209848137,25.141279337321674,38.0088396239652,28.193770169776904,False,0.11780947998159227,0.12908657219026237,0.10722503451449608,0.11926476778448154,0.09479981592268753,0.10789953697207802
PW,DEVELOPMENT,R4_Q99,4346,0.9242982052462034,0.9299845657359338,7765929.051593768,20018724.20888488,157665033.8419348,90306.65849725399,38065.10881121228,33142.47554177492,54030.19313171618,90856.42816744134,150865.2848790072,1.5167987476551423,34491.28043956306,2.3743906850554306,42.20087436723424,38.21375977910723,53.70590711379262,47.441560263785604,False,0.07294063506672803,0.06833169636593237,0.06833870225494708,0.06454328609513119,0.057984353428439946,0.05472148168935036
PW,DEVELOPMENT,R5_UARP_STYLE,4346,0.9654855039116429,0.9600112249193209,4482902.026340846,14707198.463916745,222656811.21573597,121633.36016933074,52264.08496136144,47889.40307982551,73907.03070528289,109031.31380092961,183933.0618548086,2.082592197749987,50201.08356865972,3.000386786374963,58.070409572020246,55.77818683847216,70.63953977830785,66.0364809877929,False,0.03267372296364473,0.03886628314858987,0.02577082374597331,0.034656938403255226,0.020018407731247124,0.03072821664094289
PW,CALIBRATION,R0_CURRENT_RSP,2634,0.8413059984813971,0.905143447919359,14644764.127277374,32834240.73469925,18961403.881622314,11716.042349709405,12758.605925930025,8815.39501953125,21377.38671875,43819.60498046875,128697.498125,0.9074476112396702,1638.81539648631,1.1165596872760133,13.995444191343964,1.677296886864085,10.529981907469631,1.114887567846989,False,0.1560364464692483,0.09317653140346342,0.14388762338648445,0.08555182217627294,0.12452543659832954,0.07262858619798397
PW,CALIBRATION,R1_RECORDED_REQUESTED_WALLTIME,2634,0.9870918754745635,0.9808736107521323,191705.0,241373.0,273298577.0,147600.6913888889,103830.7828397874,145179.5,172537.0,172725.0,172780.0,7.384897410274224,103685.22095671982,8.37454441529624,114.80334092634776,114.62262718299165,75.85642284828121,75.7522615662962,False,0.012908124525436599,0.019126389247867664,0.0056947608200455585,0.0023261824760920135,0.004555808656036446,0.0019384853967433445
PW,CALIBRATION,R2_Q90,2634,0.7714502657555049,0.888860170586715,7868798.9880711865,15603625.570656575,37034955.58357619,62876.3627669487,17047.742813837274,11193.232728366906,36921.3373945329,58227.03505600534,84649.59518086849,1.2125097039014645,11072.952390093016,1.7875565915347493,18.77220956719818,11.9916476841306,34.79490824502455,30.23119669165159,False,0.21032649962034927,0.10454897906435771,0.10668185269552012,0.06513310933057638,0.08010630220197418,0.051692943913155855
PW,CALIBRATION,R3_Q95,2634,0.9066059225512528,0.9444300852933575,5855559.642302303,12223608.044868931,50655635.36281675,137553.77979153508,21454.51594727375,16891.29453851804,40596.773942945096,64559.87733955382,136378.86369959993,1.5259385985963676,17008.38106321733,2.2097101247952797,23.81169324221716,18.8830675778284,72.86869992246058,69.34841044197466,False,0.09111617312072894,0.05401912638924787,0.08428246013667426,0.049108296717498064,0.06492027334851937,0.039674334453347115
PW,CALIBRATION,R4_Q99,2634,0.9495064540622628,0.970664254329284,3245706.419171852,5825821.619323216,104535480.61879252,220042.50125376618,40919.205405453446,39924.115928692605,65392.10870673805,104320.87653542987,170405.68424186236,2.9103520725206056,38454.73583888408,3.7350682653288554,45.30372057706909,42.57858769931663,114.5218402688033,112.83820108555182,False,0.0489749430523918,0.02856035151201861,0.04745634016704632,0.027655724993538383,0.04669703872437358,0.0273972602739726
PW,CALIBRATION,R5_UARP_STYLE,2634,0.9703872437357631,0.9866890669423624,1337942.1117510088,2400175.093336369,136742811.5902024,269015.6267425009,52422.45774561633,50499.778055439034,78608.2104480856,135019.3716547505,204626.00109023481,3.728513470260229,51406.55636995117,4.656258140645505,58.140850417615795,57.02012148823083,139.47647971051953,138.7884466270354,False,0.029612756264236904,0.013310933057637633,0.024677296886864084,0.011372447660894288,0.010250569476082005,0.006332385629361592
PW,EXPOSED_EVALUATION,R0_CURRENT_RSP,2713,0.34316255068190193,0.38651846539978485,16565840.833374023,33086831.036499023,6115177.813501358,3410.337386142413,8360.124823765345,7040.82568359375,15221.519799804708,19733.919799804688,39299.69226562534,0.5724546691885691,-3852.068934711635,0.7362318273713604,9.410615554736454,-4.516402506450424,9.141627823592685,-4.434564359985658,False,0.6498341319572429,0.6066690570096809,0.5138223368964246,0.47615632843313016,0.36343531146332475,0.3006453926138401
PW,EXPOSED_EVALUATION,R1_RECORDED_REQUESTED_WALLTIME,2713,0.9303354220420199,0.9288275367515239,3229.0,6881.0,102104692.0,52182.56805555556,37636.53556948028,28519.0,86386.0,136587.0,149720.0,2.577139812265007,37634.15517876889,3.576976816399999,41.38186509399189,41.24253593807593,36.972032986733595,36.82968806023664,False,0.06966457795798009,0.07117246324847616,0.0,0.0,0.0,0.0
