role,state,candidate,reference,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,PENDING,R2,R1,coverage,0.03719776813391196,0.026385016928445488,0.04990024397922235,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,GPU_coverage,0.046478519386986106,0.02954451306771108,0.06825458522188259,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,long_under,-0.057597366977509584,-0.07395074991871758,-0.04265863387641731,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,missed_GPU_slots,-5846.0,-10257.7,-2101.3750000000036,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,overreserved_GPUh,49076.39550233846,32009.24968101023,69739.45266165248,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,reserved_GPUh,57224.58905909641,35312.640976544804,82676.0490476162,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,reserve_vs_requested,0.14894711801614924,0.11667707073304842,0.17866920260580701,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,pinball_Q90,836.2692529322276,174.34893773351357,1403.5400350557647,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,pinball_Q95,-189.9667620720047,-1017.3906028274536,353.74590239360174,1,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,coverage,0.03719776813391196,0.025874937800630327,0.04761904761904767,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,GPU_coverage,0.046478519386986106,0.03232134516581042,0.06422683214059244,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,long_under,-0.057597366977509584,-0.06615678776290632,-0.04810449187639375,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,missed_GPU_slots,-5846.0,-9278.0,-2339.0,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,overreserved_GPUh,49076.39550233846,29734.169450052133,68326.88430155543,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,reserved_GPUh,57224.58905909641,31468.01084202077,81513.26512680261,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,reserve_vs_requested,0.14894711801614924,0.12345933655198438,0.16841414018176848,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,pinball_Q90,836.2692529322276,348.6445480502771,1196.7568564515577,7,2000,13,6452,0,0
EXPOSED_EVALUATION,PENDING,R2,R1,pinball_Q95,-189.9667620720047,-856.5997742966747,390.71898374754073,7,2000,13,6452,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.0693892302132273,0.03913803895773214,0.0991492965435766,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,0.045497185741088186,0.026080749940177412,0.06602928401478035,1,2000,13,2767,0,0
