role,arm,state,nominal_quantile,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N
EXPOSED_EVALUATION,R1,PENDING,0.9,6452,11941.0,0.8860818350898946,0.8559584624403316,3646,0.19144267690619857,11131.0,81702.48752382105,278501.38930905005,384194.0,171438.30527777778,0.7248978102444339,0.4765707838247717,5344.083450990007,4190.703601026529,0,6452
EXPOSED_EVALUATION,R1,RUNNING,0.9,2767,6396.0,0.8384531984098301,0.8858661663539712,2483,0.15827627869512687,8597.0,169741.42404667707,352907.24648226576,247131.02388888889,60355.12666666666,1.4280167699257957,2.812377894327625,8597.99070936692,5625.206745303955,0,2767
EXPOSED_EVALUATION,R2,PENDING,0.95,6452,11941.0,0.9232796032238065,0.9024369818273177,3646,0.13384530992868898,5285.0,130778.88302615953,335725.9783681464,384194.0,171438.30527777778,0.8738449282605829,0.762833503365898,6180.352703922234,4000.7368389545245,0,6452
EXPOSED_EVALUATION,R2,RUNNING,0.95,2767,6396.0,0.9078424286230574,0.9313633520950594,2483,0.08538058799838905,2162.0,205558.0820250492,390973.9223265967,247131.02388888889,60355.12666666666,1.5820511572127833,3.4058098023771723,8358.573542534188,4639.942751778928,0,2767
MAY_HISTORICAL,R0,PENDING,0.9,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419
MAY_HISTORICAL,R0,RUNNING,0.9,7073,14897.0,0.5406475328714831,0.5635362824729812,6531,0.48767416934619506,136902.0,137364.85059615085,349553.08816150425,512235.53777777776,200667.56555555554,0.6824069444263163,0.684539378428453,32197.51370538495,32940.43179685887,0,7073
MAY_HISTORICAL,R1,PENDING,0.9,40419,102201.0,0.8621440411687573,0.8872222385299556,13230,0.31398337112622826,168563.0,913441.1510067638,1338883.0430929367,2774467.533333333,2273332.5769444443,0.4825729719332344,0.40180709161107775,3576.948853839604,2846.598655972882,0,40419
MAY_HISTORICAL,R1,RUNNING,0.9,7073,14897.0,0.8194542626890994,0.8153319460294018,6531,0.19277292910733426,42242.0,280850.4447606413,554706.1214997787,512235.53777777776,200667.56555555554,1.0829122163336233,1.3995806645837185,15114.684675853257,12700.421761375721,0,7073
MAY_HISTORICAL,R2,PENDING,0.95,40419,102201.0,0.9279794156213662,0.9382589211455856,13230,0.1621315192743764,141342.0,1312236.701148079,1761626.0367733908,2774467.533333333,2273332.5769444443,0.6349420260315382,0.5772304125038488,3425.0264125876593,2512.112074906953,0,40419
MAY_HISTORICAL,R2,RUNNING,0.95,7073,14897.0,0.9122013289975965,0.8949452909981875,6531,0.09355382024192313,16467.0,333653.8457598946,627822.9558042532,512235.53777777776,200667.56555555554,1.2256528676786587,1.6627193579398925,10499.770333078306,7194.2922483038,0,7073
