role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,nonfinite_draws
EXPOSED_EVALUATION,PENDING,R2,R1,missed_slots_reduction,0.5251998921929746,0.29425894893399096,0.7608470508610191,1,2000,13,6452,0
EXPOSED_EVALUATION,PENDING,R2,R1,missed_slots_reduction,0.5251998921929746,0.3088097469540768,0.6384765849729606,7,2000,13,6452,0
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.7485169245085495,0.6154162698585668,0.8933005842755278,1,2000,13,2767,0
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_slots_reduction,0.7485169245085495,0.7008835633236219,0.8016139878950908,7,2000,13,2767,0
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.16148858290372148,0.09119603067907334,0.32802496450260954,1,2000,29,40419,0
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.16148858290372148,0.0805404445025107,0.3100652755791555,7,2000,29,40419,0
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,-8.702584470154838,-20.22197768745966,-2.286162544903555,1,2000,29,40419,0
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,-8.702584470154838,-24.14444963948668,-2.356091694455741,7,2000,29,40419,0
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,-7.135727853565879,-17.415463686973226,-1.4750871277763276,1,2000,29,40419,0
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,-7.135727853565879,-20.27705935772572,-1.5382168968404502,7,2000,29,40419,0
MAY_HISTORICAL,RUNNING,R2,R1,missed_slots_reduction,0.610174707636949,0.5091429675271731,0.8451262298118141,1,2000,31,7073,0
MAY_HISTORICAL,RUNNING,R2,R1,missed_slots_reduction,0.610174707636949,0.5381234008198956,0.7615449989622953,7,2000,31,7073,0
MAY_HISTORICAL,RUNNING,R1,R0,missed_slots_reduction,0.6914435143387241,0.42505086004549403,0.9047374380990457,1,2000,31,7073,0
MAY_HISTORICAL,RUNNING,R1,R0,missed_slots_reduction,0.6914435143387241,0.5355861318404019,0.908397902987812,7,2000,31,7073,0
MAY_HISTORICAL,RUNNING,R2,R0,missed_slots_reduction,0.8797168777665776,0.7279150337806037,0.9807814918574088,1,2000,31,7073,0
MAY_HISTORICAL,RUNNING,R2,R0,missed_slots_reduction,0.8797168777665776,0.8015500911338818,0.9735689915685899,7,2000,31,7073,0
