role,model,reference,effect,state,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,ALL,GPU_coverage,0.5179275726066691,0.23502396166134185,0.7704090827176068,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,ALL,missed_GPU_slots,-31065.0,-40319.0,-21394.90000000005,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,ALL,overreserved_GPUh,30838.10951248354,16324.017598621846,45754.60640165974,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,Q90_pinball,-2699.125692926913,-4719.306637481116,-1684.7421559239515,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,coverage,0.5694802801326945,0.30815589218645945,0.8192361484163302,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,GPU_coverage,0.5179275726066691,0.2451236484390579,0.7773803700612916,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,missed_GPU_slots,-31065.0,-51747.0,-13118.10000000001,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,overreserved_GPUh,30838.10951248354,14579.202216998687,52558.797579135644,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,Q90_pinball,-2699.125692926913,-4406.419300551328,-1800.562092500138,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,coverage,0.5694802801326945,0.2758902988129349,0.8402452217814641,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,GPU_coverage,0.5179275726066691,0.23502396166134185,0.7704090827176068,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,missed_GPU_slots,-31065.0,-40319.0,-21394.90000000005,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,overreserved_GPUh,30838.10951248354,16324.017598621846,45754.60640165974,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,Q90_pinball,106.91482373885536,-2260.707569195269,1784.353711458153,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,coverage,0.612237375598968,0.3664241535952239,0.8447460579163978,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,GPU_coverage,0.5636428827536751,0.31001445374712006,0.8063331954441297,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,missed_GPU_slots,-33904.0,-54776.15,-15495.600000000008,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,overreserved_GPUh,76908.46207729014,34741.926882462154,137782.46473001505,1,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,Q90_pinball,106.91482373885536,-2245.001301295793,1309.1061321924726,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,coverage,0.612237375598968,0.3374233128834356,0.862243058059863,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,GPU_coverage,0.5636428827536751,0.29253194888178913,0.8057307622995135,7,2000,13,2713,6506,0
