role,state,N,N_days,candidate,reference,candidate_MAE_seconds,reference_MAE_seconds,delta_MAE_seconds,CI95_low,CI95_high,block_issue_days,draws,selection_used
EXPOSED_EVALUATION,PENDING,6452,13,MULTI_QUANTILE_raw_Q50,MOE_raw_point,17402.34230693885,16816.870379290373,585.4719276484757,-671.0523225703937,2052.178904239682,1,2000,False
EXPOSED_EVALUATION,PENDING,6452,13,MULTI_QUANTILE_raw_Q50,MOE_raw_point,17402.34230693885,16816.870379290373,585.4719276484757,-989.6223225527763,1798.9786072090353,7,2000,False
MAY_HISTORICAL,PENDING,40419,29,MULTI_QUANTILE_raw_Q50,MOE_raw_point,10531.314939049911,10595.463691353116,-64.14875230320467,-531.8432874794488,224.84412206236968,1,2000,False
MAY_HISTORICAL,PENDING,40419,29,MULTI_QUANTILE_raw_Q50,MOE_raw_point,10531.314939049911,10595.463691353116,-64.14875230320467,-1133.6208806212803,194.71483748982902,7,2000,False
