role,model,stratum,value,major,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,hardware,H100,True,9158,0,0.8828346800611487,0.8387417218543046,10748.082946310418,37644.68519103035,0.17680013181743284,63912.0,144613.2671590948,231322.305,465163.04025334516
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,hardware,OTHER,False,61,0,0.819672131147541,0.8110599078341014,6745.576917904714,32836.74305199795,0.18333333333333332,885.0,1737.071736111111,471.12694444444446,6518.910264756944
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,regular_PENDING,True,1163,0,0.7575236457437661,0.7411948283548818,29941.120584162203,56925.98697298924,0.5391969407265774,10299.0,32794.40889046139,50167.11777777778,138729.78132133483
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,regular_RUNNING,True,1667,0,0.6034793041391722,0.6580113996200126,23586.12590178986,43405.370551646505,0.43688037012557834,52002.0,28486.738103366428,49149.20777777778,169461.5159141371
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,standby_PENDING,True,5289,0,0.9769332577046701,0.9816230717639168,3941.325717975251,33054.64607334011,0.039065001601024656,1679.0,70662.35537970383,121271.1875,133971.327348521
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,standby_state,standby_RUNNING,True,1100,0,0.9827272727272728,0.972875226039783,3506.506340243253,30332.15424050071,0.01958762886597938,817.0,14406.836521674262,11205.91888888889,29519.325934109158
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,1-6h,True,493,0,1.0,1.0,3330.282700284451,33302.82700284451,0.0,0.0,7254.053050206502,907.8411111111111,10695.754716873169
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,24-72h,True,4119,0,0.8232580723476572,0.8085483870967742,10732.204515192376,32897.32102324321,0.23915900131406045,36885.0,42748.84175130208,141040.1675,126886.5873496331
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,6-24h,True,3873,0,0.9857991221275497,0.9827188940092166,3701.42687584665,34999.918199760796,0.027777777777777776,1891.0,66412.53591276116,51342.438055555554,93427.17435865878
EXPOSED_EVALUATION,MOE_CURRENT_TEMPORAL_GPU_COHORT,wall_bucket,<=1h,False,21,0,1.0,1.0,3638.192240851266,36381.92240851266,,0.0,10577.255351075066,603.8958333333334,10714.152851075067
