role,model,state,quantile,N,coverage,GPU_coverage,pinball_seconds,MAE_seconds,RMSE_seconds,predicted_GPUh,overreserved_GPUh
EXPOSED_EVALUATION,MOE_POOLED,PENDING,0.5,6452,0.5285182889026658,0.5816933255171258,8404.549019446524,16809.098038893047,41059.13723350232,155182.9817928436,11411.680052750375
EXPOSED_EVALUATION,MOE_POOLED,PENDING,0.9,6452,0.9370737755734656,0.8906289255506239,8714.182415984065,37122.706527738046,46865.245060862304,271295.2815024519,102671.75173212793
EXPOSED_EVALUATION,MOE_POOLED,PENDING,0.95,6452,0.953657780533168,0.9093040783853948,7386.38759232521,59808.90973386599,63921.408417246625,355868.12220734014,178641.89558819347
EXPOSED_EVALUATION,MOE_POOLED,PENDING,0.99,6452,0.9592374457532548,0.9178460765430031,4656.649755599669,79782.69842407235,82261.36956095009,427940.5424083492,244583.6848322137
EXPOSED_EVALUATION,MOE_POOLED,RUNNING,0.5,2767,0.33501987712323816,0.407754846779237,16154.363461653335,32308.72692330667,63397.7532158799,130492.22861557007,5027.248837924533
EXPOSED_EVALUATION,MOE_POOLED,RUNNING,0.9,2767,0.7459342247921937,0.7149781113195748,17254.748214387495,39582.831969420746,57092.023076884085,192470.73740422566,42287.714179857045
EXPOSED_EVALUATION,MOE_POOLED,RUNNING,0.95,2767,0.8272497289483195,0.800187617260788,12785.22972349354,54154.45710724065,64957.88456123883,237663.36295259264,76712.49170603434
EXPOSED_EVALUATION,MOE_POOLED,RUNNING,0.99,2767,0.8745934224792193,0.8613195747342088,8476.672286326882,69951.89981333874,78430.92371421328,276921.7782436625,109384.61870853
EXPOSED_EVALUATION,MULTI_QUANTILE,PENDING,0.5,6452,0.43970861748295104,0.418139184322921,8701.17115346942,17402.34230693884,37854.12214259758,148128.34460364236,8956.68596330215
EXPOSED_EVALUATION,MULTI_QUANTILE,PENDING,0.9,6452,0.8860818350898946,0.8559584624403316,5344.083450990004,29142.24450139564,43501.23648761246,278501.38930905005,81702.48752382105
EXPOSED_EVALUATION,MULTI_QUANTILE,PENDING,0.95,6452,0.9232796032238065,0.9024369818273177,4000.7368389545263,47234.55924732781,66456.7795834294,335725.9783681464,130778.88302615953
EXPOSED_EVALUATION,MULTI_QUANTILE,PENDING,0.99,6452,0.9522628642281463,0.940457248136672,961.3982621017924,57468.94904334378,74498.85682623676,376574.4228236327,165289.119959661
EXPOSED_EVALUATION,MULTI_QUANTILE,RUNNING,0.5,2767,0.5580050596313697,0.6300813008130082,25129.145987408614,50258.29197481723,101474.2240980639,272858.5483549674,108647.16765505665
EXPOSED_EVALUATION,MULTI_QUANTILE,RUNNING,0.9,2767,0.8384531984098301,0.8858661663539712,8597.990709366919,64760.52484374127,127741.99165174042,352907.24648226576,169741.42404667707
EXPOSED_EVALUATION,MULTI_QUANTILE,RUNNING,0.95,2767,0.9078424286230574,0.9313633520950594,4639.942751778931,76215.23973715251,144944.265557079,390973.9223265967,205558.0820250492
EXPOSED_EVALUATION,MULTI_QUANTILE,RUNNING,0.99,2767,0.9887965305384894,0.9931207004377736,1330.6779759001256,99339.59526844363,168595.23525902382,437442.93773864146,251122.13927485413
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.5,6452,0.458307501549907,0.505150322418558,9192.790410315407,18385.580820630814,37921.0888590724,151813.6252149048,12564.002770810674
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.9,6452,0.9367637941723497,0.8906289255506239,7068.989243795838,52571.05548446374,63012.518509922396,355730.3321271571,155868.13084485158
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.95,6452,0.9545877247365158,0.9344276023783603,4521.465377093033,66369.32171239742,79764.40773767896,402691.3183511163,195673.36784112532
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.99,6452,0.98171109733416,0.9814085922452056,864.346493628643,72200.58444465714,85162.42197042398,439976.6161840758,227580.56359212156
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.5,2767,0.6302855077701481,0.5945903689806129,26390.96739012448,52781.93478024896,102745.23425233069,197416.69309293895,73135.01918663955
