role,model,reference,effect,state,missed_slots_reduction,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh,reference_missed_GPU_slots,reference_pinball
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,ALL,0.9616234124792932,2713,0,0.9915223000368596,0.9842237361061312,3818.556288206942,36175.43065989839,0.01871440195280716,1390.0,56574.75905622429,52182.56805555556,77712.75054792351,36220.0,5720.889985767327
EXPOSED_EVALUATION,MOE_POOLED,PR31_FROZEN_MOE,vs_frozen_production,PENDING,0.9616234124792932,2713,0,0.9915223000368596,0.9842237361061312,3818.556288206942,36175.43065989839,0.01871440195280716,1390.0,56574.75905622429,52182.56805555556,77712.75054792351,36220.0,5720.889985767327
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,ALL,0.8576753175041414,2713,0,0.9126428308145964,0.904446038006454,3021.764292840413,23486.549724528388,0.1643612693246542,5155.0,34248.446898625945,52182.56805555556,54501.918312146314,36220.0,5720.889985767327
EXPOSED_EVALUATION,MULTI_QUANTILE,PR31_FROZEN_MOE,vs_frozen_production,PENDING,0.8576753175041414,2713,0,0.9126428308145964,0.904446038006454,3021.764292840413,23486.549724528388,0.1643612693246542,5155.0,34248.446898625945,52182.56805555556,54501.918312146314,36220.0,5720.889985767327
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,0.9360574268360022,2713,0,0.9553999262808699,0.95016134815346,5827.804809506181,54813.056917149064,0.0984540276647681,2316.0,80318.79946343256,52182.56805555556,101253.59388349294,36220.0,5720.889985767327
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,0.9360574268360022,2713,0,0.9553999262808699,0.95016134815346,5827.804809506181,54813.056917149064,0.0984540276647681,2316.0,80318.79946343256,52182.56805555556,101253.59388349294,36220.0,5720.889985767327
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,-0.053058011944997485,9219,0,0.8797049571537043,0.8293614004471833,11277.556487378175,37861.091070219445,0.18094305759503998,68235.0,144959.46591198497,231793.43194444446,463766.01890667755,64797.0,10721.599285638682
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,0.06244782100517621,6452,0,0.9370737755734656,0.8906289255506239,8714.182415984065,37122.706527738046,0.1113549094898519,11230.0,102671.75173212793,171438.30527777778,271295.2815024519,11978.0,8627.897545218808
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,-0.07925178439576674,2767,0,0.7459342247921937,0.7149781113195748,17254.7482143875,39582.831969420746,0.28312525171163916,57005.0,42287.714179857045,60355.12666666666,192470.73740422566,52819.0,15603.624449783616
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,0.7108815124203122,9219,0,0.8717865278229743,0.866390358291978,6320.714472134265,39832.751249119945,0.17800620003263176,19728.0,251443.91157049814,231793.43194444446,631408.6357913159,68235.0,11277.556487378175
