day,case,status,certificate,B3_method
2025-05-09,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-09_B2.json,
2025-05-09,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-10,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-10_B0.json,
2025-05-10,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-10_B1.json,
2025-05-10,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-10_B2.json,
2025-05-10,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-11,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-11_B0.json,
2025-05-11,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-11_B1.json,
2025-05-11,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-11_B2.json,
2025-05-11,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-12,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-12_B0.json,
2025-05-12,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-12_B1.json,
2025-05-12,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-12_B2.json,
2025-05-12,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-13,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-13_B0.json,
2025-05-13,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-13_B1.json,
2025-05-13,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-13_B2.json,
2025-05-13,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-14,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-14_B0.json,
2025-05-14,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-14_B1.json,
2025-05-14,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-14_B2.json,
2025-05-14,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
2025-05-15,B0,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-15_B0.json,
2025-05-15,B1,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-15_B1.json,
2025-05-15,B2,REUSE_CERTIFIED,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40b_v40a_may_launch\reuse_certificates\2025-05-15_B2.json,
2025-05-15,B3,RUN_REQUIRED,,BOUNDED_ITERATIVE_AIDC_MESS_CO_OPTIMIZATION
