fold_id,model,threshold,prevalence,AUPRC,normalized_AP_skill,AUROC,Brier,Brier_skill,log_loss,calibration_slope,calibration_intercept,ECE,recall_at_precision_0_30,precision_at_recall_0_60,training_only_decision_threshold,confusion_matrix
1,H0,P60,0.6333333333333333,0.6333333333333333,0.0,0.5,0.2841733625517409,-0.223713044481181,0.7624372190481091,-0.18255140048670063,0.4766453415844453,0.227927927927928,1.0,0.6333333333333333,0.40540540540540543,"[0, 11, 0, 19]"
1,H1,P60,0.6333333333333333,0.7626947210885504,0.35280378478695573,0.5837320574162679,0.2773790857523141,-0.1944553931917834,0.7614911006595964,0.6174320654122879,0.8251007465224062,0.227791413482698,1.0,0.8,0.16296937589411115,"[0, 11, 0, 19]"
1,H2,P60,0.6333333333333333,0.6980742633789725,0.17656617285174322,0.5406698564593302,0.24901020650039743,-0.07229275526486934,0.6904777199539315,0.4375328176483428,0.5322620081236265,0.12479640658513687,1.0,0.6818181818181818,0.3736002380270666,"[0, 11, 0, 19]"
1,H4,P60,0.6333333333333333,0.7302965437136466,0.26444511921903624,0.5933014354066986,0.23796711718929814,-0.024738782154872352,0.6704751013965902,148.43624843456175,-132.20223690910976,0.17549425958115683,1.0,0.7142857142857143,0.7089303266074364,"[0, 11, 0, 19]"
1,H3,P60,0.6333333333333333,0.7065782455448304,0.19975885148590114,0.4832535885167464,0.28091207477179486,-0.20966922150533684,0.7621418197705567,-0.08051202312977337,0.5359121567053378,0.17539855794038553,1.0,0.6333333333333333,0.20145301122436834,"[0, 11, 0, 19]"
1,H5,P60,0.6333333333333333,0.7133975598388177,0.21835698137859377,0.631578947368421,0.23800276070365242,-0.024892270972665997,0.6705618121912075,0.2717953089405577,0.3037910310232099,0.19243555863698328,1.0,0.7894736842105263,0.7093126177787781,"[0, 11, 0, 19]"
1,H0,P70,0.43333333333333335,0.43333333333333335,0.0,0.5,0.26406135865595315,-0.07536299905139288,0.725575256219424,0.1325901222112719,-0.15413849966321927,0.1360360360360361,1.0,0.43333333333333335,0.2972972972972973,"[0, 17, 0, 13]"
1,H1,P70,0.43333333333333335,0.5097169858134577,0.13479468084727828,0.5158371040723982,0.26942871831217813,-0.09722102480072548,0.742722760455576,0.23367785524575066,-0.048662016349013626,0.17363541293355084,1.0,0.47368421052631576,0.185994846187736,"[0, 17, 0, 13]"
1,H2,P70,0.43333333333333335,0.5432372649838917,0.1939481146774559,0.5565610859728507,0.24999999974968898,-0.018099546491946006,0.6931471800593234,5.195590247528755e-09,-0.26822913966577305,0.13333333244993448,1.0,0.5,0.4999999979739498,"[0, 17, 0, 13]"
1,H4,P70,0.43333333333333335,0.5486658826123709,0.2035280281394781,0.5429864253393666,0.2504290920614607,-0.01984698124576756,0.6940053691569579,98.73697935062494,-1.7657534097909655,0.0704529374240194,1.0,0.5,0.5027546559664114,"[0, 17, 0, 13]"
