model,status,reason,aggregation,target_days,Mean_WAPE,Mean_MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Q50_WAPE,Q50_coverage,Q90_coverage,CRPS,Burst_WAPE,mean_fold_Mean_WAPE,median_fold_Mean_WAPE,Q50_MAE_GPU_h,Body_Mean_WAPE,Body_Q50_WAPE,Body_CRPS,Q95_coverage,Q50_pinball,Q90_pinball,Q95_pinball,P90_AUPRC,P90_Brier_skill,15min_GPU_h_WAPE,IT_power_WAPE
C-B0_B2_LIGHTGBM_TWEEDIE,REPRODUCED,,POOLED_OOF_PRIMARY,151.0,0.976108062962391,3236.227967657156,7051.552507484855,-1158.7189235485148,0.6505082783764421,0.8902500584818535,0.5165562913907285,0.8940397350993378,2719.0800035411003,0.8682298695981397,1.0338291425243962,0.8959221065466423,,,,,,,,,,,,
C-B1_B3_LIGHTGBM_QUANTILE,REPRODUCED,,POOLED_OOF_PRIMARY,151.0,0.8902500584818535,2951.5708831701336,7099.139767685258,-2109.60481218328,0.3637029630124899,0.8902500584818535,0.5165562913907285,0.8940397350993378,2469.147787297833,0.9206230064013148,0.9002748786560002,0.92058015882335,,,,,,,,,,,,
C-B4_WEEKDAY_FACTORIZED,REPRODUCED,,POOLED_OOF_PRIMARY,151.0,0.9467355624694638,3138.845197058223,7022.405477504994,-1593.4436134627997,0.5193870226321021,0.9467355624694638,0.5298013245033113,0.8940397350993378,2563.744239296263,0.8896570386657561,0.991807747263732,0.9062442084053334,,,,,,,,,,,,
B2_COHERENT_F0_BR_A,REPRODUCED,,,,0.9761071940811631,3236.2250869333534,7051.547053489321,-1158.7161625107997,0.650509111158064,0.9552095778467109,0.32450331125827814,0.8344370860927153,2586.479222762503,0.868228613026477,,,3166.940288782981,1.7954884749082187,1.1954448976158072,859.2600938207703,0.8940397350993378,1583.4701443914905,1681.2894740266465,1353.9005355205177,,,,
B4_DIRECT_LIGHTGBM_EXPLICIT,REPRODUCED,,,,0.9833558738352312,,,,,,,,,,,,,,,,,,,,,,,
B5_LIGHTGBM_BINARY_P90_CORRECTION,REPRODUCED,,,,0.9905937476818881,,,,,,,,,0.8732836508769442,,,,,,,,,,,,,,
B6_SINGLE_P90_RESIDUAL,REPRODUCED,,,,1.0349736677963826,,,,,,,,,0.8520089062981563,,,,,,,,,,,,,,
B7_MULTI_THRESHOLD_NO_ENCODER_BEC_A,REPRODUCED,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208
B8_EQRN_STYLE_P95,NOT_REPRODUCED_WITH_REASON,FALSE_HAZARD_GATE_AND_P95_SUPPORT_4_TO_10_PER_FOLD,,,,,,,,,,,,,,,,,,,,,,,,,,
B9_TAIL_ONLY_FASER_ADAPTATION,NOT_REPRODUCED_WITH_REASON,FALSE_HAZARD_GATE_PROHIBITS_ANALOG_CONFIG,,,,,,,,,,,,,,,,,,,,,,,,,,
B10_FASER_V24M,SERIALIZED_REFERENCE,,,,1.1877478294617465,,,,1.1200518371982742,0.9414334518461079,,,2454.95935288857,0.763990358554532,,,,,,,,,,,,,,
B11_BEACON_EXPLICIT_ONLY,REPRODUCED,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208
B12_FULL_BEACON,NOT_RUN_HAZARD_GATE_FALSE,PREREGISTERED_RULE_BEC_A_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
