aggregation,Mean_WAPE,Mean_MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Q50_WAPE,Q50_MAE_GPU_h,CRPS,Burst_WAPE,Body_Mean_WAPE,Body_Q50_WAPE,Body_CRPS,Q50_coverage,Q90_coverage,Q95_coverage,Q50_pinball,Q90_pinball,Q95_pinball,P90_AUPRC,P90_Brier_skill,15min_GPU_h_WAPE,IT_power_WAPE
POOLED_OOF_PRIMARY,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,3111.0757305388947,2583.019386918855,0.7990346295420989,3.0904111468652,1.1171024258969324,960.3774052416572,0.3708609271523179,0.8609271523178808,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208
FOLD_1,1.0332225140263498,5052.111256097893,11663.167110437658,-1453.330903355624,0.7027749125942472,0.9238045687652192,4517.094233754181,3839.6649604263544,0.8165219460729525,2.2386025704812464,0.8785757822024058,995.7066752720272,0.26666666666666666,0.9,0.9333333333333333,2258.5471168770905,2764.477111036976,2375.387708094808,,,,
FOLD_2,1.2386227530605594,3367.421958452484,5603.517384679651,-161.55054322658802,0.9405776344400558,0.9631601179387378,2618.526522816115,2174.3009804592734,0.8259701031878727,5.1819902394446435,1.6966400677805888,636.4325961215039,0.4838709677419355,0.9032258064516129,0.9032258064516129,1309.2632614080576,1556.3023632699392,1176.2367661430796,,,,
FOLD_3,0.8600418703360376,3610.701538653544,5865.351850460242,-1003.4295771759346,0.7609906437665,0.9221307704605165,3871.368484002574,2933.663085692034,0.807645196185413,1.6491074577272378,0.8896627695284843,906.3367036646271,0.1935483870967742,0.8387096774193549,0.9032258064516129,1935.684242001287,1695.3477819819361,992.1956819220686,,,,
FOLD_4,2.7804026390581607,5236.309726950152,5493.414374102583,4105.363814097889,3.17988716829781,1.133100029017204,2133.9580894514365,2087.49418820544,0.5916409970793224,7.014620160942872,1.7649058913849085,1699.101221313218,0.6071428571428571,1.0,1.0,1066.9790447257183,1425.5822642114551,1001.6810763085558,,,,
FOLD_5,0.8321296831076477,2329.516491699991,3431.184947286657,-1012.6851554763625,0.6382573892407151,0.8448858764466478,2365.226986539616,1872.5566223068938,0.8269924776313263,1.153144226355187,0.7894908015560467,499.11762686110126,0.3225806451612903,0.6774193548387096,0.8064516129032258,1182.613493269808,1207.6617271077714,782.7542951292696,,,,
