fold_id,u60_GPU_h,u70_GPU_h,u80_GPU_h,u90_GPU_h,u95_GPU_h,interval_0_count,interval_1_count,interval_2_count,interval_3_count,interval_4_count,interval_5_count,P60_positive_count,P70_positive_count,P80_positive_count,P90_positive_count,P95_positive_count
1,818.6858888888884,1595.1579444444446,2952.4059444444456,4206.22475,6099.794069444442,44,8,7,7,4,4,30,22,15,8,4
2,1233.5752777777775,1925.6696944444436,3162.5224444444457,5502.999555555557,8736.33981944444,62,11,10,10,5,6,42,31,21,11,6
3,1147.5040555555554,1688.6395555555553,3319.942055555556,5834.143722222225,10820.829777777777,81,13,14,13,7,7,54,41,27,14,7
4,1410.8011111111114,2181.150833333333,3716.962777777778,6565.606944444444,13094.286597222223,99,17,16,17,8,9,66,50,33,17,9
5,1363.0777777777776,2163.19875,3568.4976666666666,6214.02619444445,12573.801597222215,116,20,19,19,10,10,78,58,39,20,10
