fold_id,date,actual_GPU_h,selected_method,raw_mean_GPU_h,reconciled_mean_GPU_h,Q05_GPU_h,Q10_GPU_h,Q25_GPU_h,Q50_GPU_h,Q60_GPU_h,Q70_GPU_h,Q80_GPU_h,Q90_GPU_h,Q95_GPU_h,raw_crossing_count,mean_reconciliation_error_GPU_h
1,2024-11-01,2.5622222222222217,BR-B,1023.3313699721097,1196.8163460533472,7.754413895827511e-20,19.045582557064503,134.24365442304494,1064.6115300060035,1440.005052853284,1440.005052853284,2267.365380286349,2267.365380286349,3959.547827216176,2,0.0
1,2024-11-02,24839.36611111111,BR-B,1688.0218183549846,1246.0391119331512,0.0,23.975244882232428,158.25599296970088,808.5022169669925,1886.845299751074,1886.845299751074,2273.563185862214,2273.563185862214,3936.798445408825,2,0.0
1,2024-11-03,314.84055555555557,BR-B,300.27762704641657,856.6971516729593,0.06326011612070695,6.640994539294538,27.286152697354623,123.64443581379224,252.6619427676803,817.8665670830068,1595.6684045398292,2516.119135586245,4981.395657272215,0,0.0
1,2024-11-04,272.14833333333337,BR-B,285.9769328405111,738.4092539650078,0.0,0.09904009215853345,12.839961516326825,110.40409290215604,538.9655491858855,785.2865754460613,1213.8413611261117,2229.581602205452,3939.7689687124616,0,0.0
1,2024-11-05,61545.058333333334,BR-B,229.78184581236485,660.2354737820872,0.006629501813413941,0.6632382716847889,4.733983002285127,157.25886005085795,268.3707446777074,545.7639092367691,1117.217160819375,1921.173207251653,3926.378448208886,0,0.0
1,2024-11-06,5607.016388888889,BR-B,1645.3338734419387,2058.178676279285,0.0,0.0,535.2087849240388,1956.636308820069,2335.2273289591335,2681.1134313967127,3645.247765013905,4018.4125083306103,5882.47699452259,0,0.0
1,2024-11-07,1258.8275,BR-B,342.18416725244026,694.2275671971615,0.0,8.812433250137201e-23,19.623220556215763,222.63508825763128,257.5204927797062,706.0520646344014,1203.9717408839074,1869.0705465892988,3925.4274908911198,0,0.0
1,2024-11-08,380.0494444444445,BR-B,493.4075571994024,808.6245318421904,0.0,0.0,0.0,395.91034134262514,537.4478064288473,922.1987223952962,1258.1220770852735,2294.4091848380635,3939.7689687124616,0,0.0
1,2024-11-09,1261.7905555555556,BR-B,653.8194808017604,750.9232555405683,0.0,0.0,9.30982959996379,280.97727313931256,415.24452950401985,717.3028254809143,1344.6743369231756,2083.833192076469,3945.074776328662,0,0.0
1,2024-11-10,96.80722222222224,BR-B,444.3236502119696,694.6990367765532,0.0,1.1346338879064846,72.44826812481638,140.45183215881582,296.0786625784301,360.59918371588674,360.59918371588674,2411.1331039463876,4972.7221778400935,1,0.0
1,2024-11-11,668.8527777777778,BR-B,323.04905418588163,650.2990628362214,1.3627786149488428e-19,1.3627786149488428e-19,18.002849012624377,213.88841761850952,396.78600251857847,563.7479563071438,563.7479563071438,2153.4219416375877,3937.7757708580225,1,0.0
1,2024-11-12,7713.995555555557,BR-B,272.03696005530105,593.7436642444789,3.041588931149766e-20,3.041588931149766e-20,3.870595585316697,259.50859297484175,279.4713051766294,353.2606714681582,353.2606714681582,2047.903841643074,3938.1798456305737,1,0.0
1,2024-11-13,2175.9825,BR-B,2489.3077879984576,2555.458550352681,107.51715197951997,160.20608768644786,747.8284549278468,1071.1339287590147,1550.0726577688595,2751.0835983236716,5188.103914939616,7835.881421112092,8769.90537307405,0,0.0
1,2024-11-14,2760.584722222222,BR-B,653.6686861663434,1923.0356482949662,0.0,0.0,22.93365088930042,166.31747801072206,394.23679059009976,1378.85385663403,5058.839445195965,7389.688018134617,8692.31665150832,0,0.0
