ablation,description,status,model,aggregation,target_days,Mean_WAPE,Mean_MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,aggregate_mass_ratio,Q50_WAPE,Q50_coverage,Q90_coverage,CRPS,Burst_WAPE,mean_fold_Mean_WAPE,median_fold_Mean_WAPE,Q50_MAE_GPU_h,Body_Mean_WAPE,Body_Q50_WAPE,Body_CRPS,Q95_coverage,Q50_pinball,Q90_pinball,Q95_pinball,P90_AUPRC,P90_Brier_skill,15min_GPU_h_WAPE,IT_power_WAPE,reason
A0,raw B2/B3,REPRODUCED,C-B5_B2_B3_PRODUCTION_HYBRID,POOLED_OOF_PRIMARY,151.0,0.976108062962391,3236.227967657156,7051.552507484855,-1158.7189235485148,0.6505082783764421,0.8902500584818535,0.5165562913907285,0.8940397350993378,2717.3575412387904,0.8682298695981397,1.0338291425243962,0.8959221065466423,,,,,,,,,,,,,
A1,coherent F0 only,REPRODUCED,,,,0.9761071940811631,3236.2250869333534,7051.547053489321,-1158.7161625107997,0.650509111158064,0.9552095778467109,0.32450331125827814,0.8344370860927153,2586.479222762503,0.868228613026477,,,3166.940288782981,1.7954884749082187,1.1954448976158072,859.2600938207703,0.8940397350993378,1583.4701443914905,1681.2894740266465,1353.9005355205177,,,,,
A4,hazard ladder + explicit,REPRODUCED,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208,
A8,without hazard calibration,NOT_RUN_FALSE_GATE_MINIMAL_CONFIG_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,without tail analog,SAME_AS_BEC_A,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208,
A12,without SSL,SAME_AS_BEC_A,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208,
A13,without regime shape,SAME_AS_BEC_A,,,,1.1719535715027314,3885.542050930647,6967.604949751896,25.447921469051312,1.0076755783522744,0.9383597618631474,0.3708609271523179,0.8609271523178808,2583.019386918855,0.7990346295420989,,,3111.0757305388947,3.0904111468652,1.1171024258969324,960.3774052416572,0.9072847682119205,1555.5378652694474,1729.0681110740336,1263.5462941623227,0.13741417105902787,-0.06427094492401308,1.9663872223007655,1.8894567359982208,
A14,simple LightGBM binary correction,REPRODUCED,B5_LIGHTGBM_BINARY_P90_CORRECTION,,,0.9905937476818881,,,,,,,,,0.8732836508769442,,,,,,,,,,,,,,,
A15,Full BEACON,NOT_RUN_HAZARD_GATE_FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,,NOT_RUN_HAZARD_GATE_FALSE_MINIMAL_BEC_A_RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
