fold_id,date,actual_GPU_h,mean_GPU_h,Q50_GPU_h,Q90_GPU_h,Q95_GPU_h,expected_excess_u90_GPU_h,conditional_tail_mean_u90_GPU_h,CRPS,p60,p70,p80,p90,p95,u80_GPU_h,u90_GPU_h,u95_GPU_h,burst,body
1,2024-11-01,2.5622222222222217,3524.6585795618166,1240.3008726354133,11189.22349111027,15544.992179348701,1613.5033772160086,10579.329699929385,1187.6707021821185,0.7093507436720368,0.5037577159681093,0.3580690982935779,0.2532396365740207,0.18029609076657432,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-02,24839.36611111111,3935.7631037683004,2234.2915089341577,11186.089208841036,15554.32891407291,1612.9221826568335,10577.034065489286,18699.895265551037,0.7096288596273164,0.5036362210545626,0.3581583028765415,0.2531090087207775,0.18022931716406032,2952.4059444444456,4206.22475,6099.794069444442,True,False
1,2024-11-03,314.84055555555557,3148.3468780346907,1.2836591597619305e-13,11216.282410561014,15564.69687801108,1618.3385380513641,10579.988838325373,821.966047346381,0.7102995882536579,0.5041585933944788,0.35827159229630773,0.25395552760892987,0.18083770246481454,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-04,272.14833333333337,3240.489998988202,4.340518889625391e-14,11200.946559703472,15568.385472315149,1616.3723424416685,10578.372117315761,875.0456431078837,0.708975115404631,0.5032531643723775,0.3565671281766809,0.25366843588895804,0.18061016180665765,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-05,61545.058333333334,3204.3038344309366,1.5266055194020748e-13,11206.460286118621,15554.8859887433,1616.7786355298144,10573.8452222405,55968.652430504604,0.7093767764761058,0.5029788487048762,0.3564252811792033,0.25369350873121116,0.18067254152159698,2952.4059444444456,4206.22475,6099.794069444442,True,False
1,2024-11-06,5607.016388888889,3657.654362778724,1920.0875204710303,11221.76337493409,15574.7552527947,1620.7822963788692,10534.846566937893,2212.615086457699,0.7120123975983443,0.5061718964044888,0.35930010917689187,0.2559619117358329,0.18088926895227872,2952.4059444444456,4206.22475,6099.794069444442,True,False
1,2024-11-07,1258.8275,3169.144658858334,72.96355316248999,11182.309635622092,15548.417229283139,1611.32917846105,10576.885285691567,986.0171333394264,0.7094086674272387,0.5036733352945953,0.35770576062612436,0.25284687435044917,0.18004579456714528,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-08,380.0494444444445,3242.368299032758,395.90489146575027,11183.835895370332,15557.940054932687,1612.6767039862532,10582.212954177308,840.0815510380257,0.7098100661033693,0.5040064280040044,0.3580434946735162,0.25304753937129215,0.18019983650952195,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-09,1261.7905555555556,3320.8803243002058,717.2453412416347,11186.146498246992,15554.457385795195,1612.3664666450086,10574.839067625802,876.6714374079902,0.710207708934044,0.5043069774435606,0.35797790085644954,0.25303230627323686,0.18016940371852874,2952.4059444444456,4206.22475,6099.794069444442,False,True
1,2024-11-10,96.80722222222224,3154.121233864155,2.152973905129118e-14,11164.797199787914,15537.861371167199,1609.6070166163927,10539.510379261043,806.5392724298672,0.7104880848547044,0.5042795531661912,0.3581346618971425,0.2541139829919836,0.1796676957856802,2952.4059444444456,4206.22475,6099.794069444442,False,True
