day,case,slot,cohort,execution_class,destination_AIDC,destination_rack,executed_nodeh,destination_sensitivity_pu_per_kw,slot_sensitivity_abs_pu_per_kw,delta_PCC_kw,absolute_sensitivity_weighted_contribution_pu,destination_above_median_leverage,executed_in_top10_critical_slot
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC01,AIDC01_LP01,0.04259345272789983,0.00020523098688252084,0.00020523098688252084,0.39006595835973595,8.005362158344489e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC01,AIDC01_LP02,0.04487738657681484,0.00020523098688252084,0.00020523098688252084,0.41098196278178933,8.434623381262208e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC01,AIDC01_LP03,0.0505654610556433,0.00020523098688252084,0.00020523098688252084,0.463072696937099,9.503686659075131e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC01,AIDC01_LP04,0.06678579701791976,0.00020523098688252084,0.00020523098688252084,0.6116166746338849,0.00012552269372891785,False,False
2025-04-04,B1,0,N01_R02,original-rack,AIDC02,AIDC02_LP01,0.07572169373848847,0.00020953793488009964,0.00020953793488009964,0.6934505926395296,0.00014530420512306826,False,False
2025-04-04,B1,0,N01_R02,same-site reassigned,AIDC02,AIDC02_LP02,0.07978202058100414,0.00020953793488009964,0.00020953793488009964,0.7306346005009586,0.0001530956653409175,False,False
2025-04-04,B1,0,N01_R02,same-site reassigned,AIDC02,AIDC02_LP03,0.08989415298781023,0.00020953793488009964,0.00020953793488009964,0.8232403501103974,0.0001725000828721029,False,False
2025-04-04,B1,0,N01_R02,original-rack,AIDC02,AIDC02_LP04,0.11873030580963517,0.00020953793488009964,0.00020953793488009964,1.0873185326824624,0.0002278344798951433,False,False
2025-04-04,B1,0,N01_R02,same-site reassigned,AIDC03,AIDC03_LP01,0.0780879966678163,0.00020879967956072276,0.00020879967956072276,0.7151209236595154,0.0001493170197072749,False,False
2025-04-04,B1,0,N01_R02,same-site reassigned,AIDC03,AIDC03_LP02,0.08227520872416061,0.00020879967956072276,0.00020879967956072276,0.7534669317666144,0.00015732365391247005,False,False
2025-04-04,B1,0,N01_R02,original-rack,AIDC03,AIDC03_LP03,0.0927033452686793,0.00020879967956072276,0.00020879967956072276,0.8489666110513473,0.00017726395634527406,False,False
2025-04-04,B1,0,N01_R02,original-rack,AIDC03,AIDC03_LP04,0.12244062786618648,0.00020879967956072276,0.00020879967956072276,1.1212972368287912,0.00023412650374217547,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC04,AIDC04_LP01,0.03431139247525261,0.00020925114637682096,0.00020925114637682096,0.31421979978978704,6.57508533203081e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC04,AIDC04_LP02,0.03615122807576754,0.00020925114637682096,0.00020925114637682096,0.33106880335199723,6.927652663100773e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC04,AIDC04_LP03,0.040733288072601515,0.00020925114637682096,0.00020925114637682096,0.3730307836437739,7.805711911130356e-05,False,False
2025-04-04,B1,0,N01_R02,cross-site reassigned,AIDC04,AIDC04_LP04,0.05379966981999107,0.00020925114637682096,0.00020925114637682096,0.492691210121742,0.00010309620052775769,False,False
2025-04-04,B1,0,N01_R02,original-rack,AIDC05,AIDC05_LP01,0.05324181590987476,0.00031599259084358344,0.00031599259084358344,0.4875824479496697,0.0001540724409774728,True,False
2025-04-04,B1,0,N01_R02,same-site reassigned,AIDC05,AIDC05_LP02,0.0560967332210186,0.00031599259084358344,0.00031599259084358344,0.5137274534772371,0.00016233406901174863,True,False
