day,case,slot,cohort,original_rack,proposed_rack,proposed_AIDC,nodeh_blocked,planned_candidate_minus_anchor_rho_difference_pu,M_CURRENT_pu,safety_LHS_before_margin_pu,safety_LHS_after_M_CURRENT_pu,voltage_constraint_state,current_constraint_state,transformer_constraint_state,rack_constraint_state,service_constraint_state,sensitivity_weighted_electrical_leverage_pu_per_nodeh,primary_blocking_reason,attribution_method
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC01_LP01,AIDC01,0.00032338165609043206,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0018788904397725782,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC01_LP02,AIDC01,0.0003407219340712158,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0018788904397725782,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC01_LP03,AIDC01,0.0003839074198002095,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,ACTIVE,INACTIVE,0.0018788904397725782,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC01_LP04,AIDC01,0.0005070568423026099,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,ACTIVE,INACTIVE,0.0018788904397725782,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC02_LP01,AIDC02,0.0005749007219385456,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019172685159061461,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC02_LP02,AIDC02,0.0006057278827932718,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019172685159061461,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC02_LP03,AIDC02,0.0006825020796448159,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019172685159061461,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC02_LP04,AIDC02,0.0009014343863157508,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019172685159061461,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC03_LP01,AIDC03,0.0005928663694991261,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019107198531802204,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
2025-04-04,B1,2,N01_R02,AIDC02_LP04,AIDC03_LP02,AIDC03,0.0006246568791305626,-4.250298337350316e-05,0.0009917274479849247,-4.250298337350316e-05,3.9979955110402976e-19,NOT_MODELED_IN_V30_STAGE2,ACTIVE,NOT_MODELED_IN_V30_STAGE2,INACTIVE,INACTIVE,0.0019107198531802204,CURRENT_MARGIN_ONLY,exact_slot_reason_mass_proportional_to_physical_service_proposal
