day,rho_AIDC,candidate_max_abs_current_error_pu,anchor_max_abs_current_error_bound_pu,one_sided_candidate_minus_anchor_error_bound_pu,formula,April_rows_used,candidate_object,anchor_object,candidate_anchor_errors_treated_independently,candidate_anchor_correlation_or_cancellation_used
2025-01-29,1.0,0.00034001245301107375,0.00034001245301107375,0.0006800249060221475,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-01-30,1.0,0.00028934586907278237,0.00028934586907278237,0.0005786917381455647,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-01-31,1.0,0.00029810700898552644,0.00029810700898552644,0.0005962140179710529,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-01,1.0,0.0002800434957302006,0.0002800434957302006,0.0005600869914604012,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-02,1.0,0.0001566084086029873,0.0001566084086029873,0.0003132168172059746,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-03,1.0,0.00013264819014738305,0.00013264819014738305,0.0002652963802947661,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-04,1.0,0.0001388343461470043,0.0001388343461470043,0.0002776686922940086,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-05,1.0,0.0002485327741388599,0.0002485327741388599,0.0004970655482777198,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-06,1.0,0.00019430389803520853,0.00019430389803520853,0.00038860779607041707,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-07,1.0,0.0001939354836464624,0.0001939354836464624,0.0003878709672929248,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-08,1.0,0.0002936017938433705,0.0002936017938433705,0.000587203587686741,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-09,1.0,0.00022364997975922452,0.00022364997975922452,0.00044729995951844903,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-10,1.0,0.00020349513239881212,0.00020349513239881212,0.00040699026479762423,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-11,1.0,0.00019142329832610994,0.00019142329832610994,0.00038284659665221987,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-12,1.0,0.0001718521452434285,0.0001718521452434285,0.000343704290486857,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-13,1.0,0.00014642294478248163,0.00014642294478248163,0.00029284588956496327,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-14,1.0,0.00021409150430984347,0.00021409150430984347,0.00042818300861968694,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-15,1.0,0.0003325123194824614,0.0003325123194824614,0.0006650246389649228,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-16,1.0,0.000301853158620663,0.000301853158620663,0.000603706317241326,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-17,1.0,0.0002937161893632467,0.0002937161893632467,0.0005874323787264935,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-18,1.0,0.00022929977770050347,0.00022929977770050347,0.00045859955540100694,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-19,1.0,0.0002252071207118067,0.0002252071207118067,0.0004504142414236134,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-20,1.0,0.0002674521488454096,0.0002674521488454096,0.0005349042976908192,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-21,1.0,0.00025847954170633847,0.00025847954170633847,0.0005169590834126769,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-22,1.0,0.0001944001981625254,0.0001944001981625254,0.0003888003963250508,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-23,1.0,0.0002159866250269482,0.0002159866250269482,0.0004319732500538964,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-24,1.0,0.00021766222827226955,0.00021766222827226955,0.0004353244565445391,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-25,1.0,0.00025145440466298186,0.00025145440466298186,0.0005029088093259637,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-26,1.0,0.00018932490469003582,0.00018932490469003582,0.00037864980938007164,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
