day,case,slot,AIDC,rack,h_REC_nodeh,physical_rack_capacity_nodeh,actual_residual_occupancy_nodeh,actual_residual_capacity_nodeh,DA_flexible_occupancy_nodeh,scenario_recourse_demand_nodeh,scenario_recourse_demand_status,preApril_electrical_sensitivity_pu_per_kw,Apr04_realized_electrical_sensitivity_pu_per_kw,headroom_utilization_in_Actual,actual_recourse_received_nodeh,top5_grid_critical_slot,top10_grid_critical_slot,top_quartile_leverage_site_slot,bottom_quartile_leverage_site_slot,GRID_EFFECTIVE_HEADROOM_contribution_nodeh_pu_per_kw
2025-04-04,B1,0,AIDC05,AIDC05_LP02,0.6091367889369902,0.6093066886086389,0.5532099553876203,0.0560967332210186,0.00016989967164874624,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031599259084358344,,0.09209217738911073,0.0560967332210186,False,False,False,False,0.0001924827121143406
2025-04-04,B1,0,AIDC05,AIDC05_LP03,0.0,0.6865344883897602,0.6233276620702061,0.0632068263195541,0.6865344883897602,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031599259084358344,,,0.0,False,False,False,False,0.0
2025-04-04,B1,0,AIDC05,AIDC05_LP04,0.0,0.9067603069404405,0.8232780606680407,0.08348224627239986,0.9067603069404405,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031599259084358344,,,0.0,False,False,False,False,0.0
2025-04-04,B1,0,AIDC06,AIDC06_LP01,1.1102230246251565e-16,0.7453610836223997,0.6767382986718945,0.06862278495050522,0.7453610836223996,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002091266307844286,,,0.0,False,False,False,True,2.321772005591567e-20
2025-04-04,B1,0,AIDC06,AIDC06_LP02,0.0,0.7853286208733568,0.7130261647218217,0.07230245615153508,0.7853286208733568,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002091266307844286,,,0.0,False,False,False,True,0.0
2025-04-04,B1,0,AIDC06,AIDC06_LP03,0.8848666739245796,0.8848666739245796,0.8034000977793766,0.08146657614520303,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002091266307844286,,0.0920664983164986,0.08146657614520303,False,False,False,True,0.00018504918621127094
2025-04-04,B1,0,AIDC06,AIDC06_LP04,0.0,1.1687132845010124,1.0611139448610303,0.10759933963998214,1.1687132845010124,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002091266307844286,,,0.0,False,False,False,True,0.0
2025-04-04,B1,0,AIDC07,AIDC07_LP01,0.23131895698626198,0.23131895698626198,0.21002223062231207,0.021296726363949914,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002084551972001969,,0.09206649831649866,0.021296726363949914,False,False,False,True,4.82196387947151e-05
2025-04-04,B1,0,AIDC07,AIDC07_LP02,0.24372267544345555,0.24372267544345555,0.22128398215504813,0.02243869328840742,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002084551972001969,,0.09206649831649853,0.02243869328840742,False,False,False,True,5.080525837172511e-05
2025-04-04,B1,0,AIDC07,AIDC07_LP03,0.0,0.274613795355904,0.24933106482808237,0.02528273052782165,0.274613795355904,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002084551972001969,,,0.0,False,False,False,True,0.0
2025-04-04,B1,0,AIDC07,AIDC07_LP04,0.36270412277617614,0.36270412277617614,0.32931122426721626,0.03339289850895988,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002084551972001969,,0.09206649831649848,0.03339289850895988,False,False,False,True,7.560755943863223e-05
2025-04-04,B1,0,AIDC08,AIDC08_LP01,0.6811058177928825,0.6811058177928825,0.6183987901656967,0.06270702762718583,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020859942053552682,,0.09206649831649862,0.06270702762718583,False,False,False,True,0.0001420782789149714
2025-04-04,B1,0,AIDC08,AIDC08_LP02,0.7176278776946192,0.7176278776946192,0.6515583919009751,0.06606948579364413,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020859942053552682,,0.09206649831649862,0.06606948579364413,False,False,False,True,0.0001496967594472375
2025-04-04,B1,0,AIDC08,AIDC08_LP03,0.8085850641034952,0.8085850641034952,0.7341414686604648,0.07444359544303036,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020859942053552682,,0.09206649831649862,0.07444359544303036,False,False,False,True,0.0001686703758256709
2025-04-04,B1,0,AIDC08,AIDC08_LP04,1.0679621392854077,1.0679621392854077,0.9696386047868034,0.09832353449860431,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020859942053552682,,0.09206649831649867,0.09832353449860431,False,False,False,True,0.00022277628340881765
2025-04-04,B1,0,AIDC09,AIDC09_LP01,1.5292753267425097,1.5292753267425097,1.3884803024475076,0.140795024295002,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003132198076757631,,0.09206649831649853,0.140795024295002,False,False,False,False,0.0004789993237255786
2025-04-04,B1,0,AIDC09,AIDC09_LP02,1.6112776876539563,1.6112776876539563,1.4629329931361514,0.14834469451780485,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003132198076757631,,0.09206649831649868,0.14834469451780485,False,False,False,False,0.0005046840874392204
2025-04-04,B1,0,AIDC09,AIDC09_LP03,1.81550231374181,1.81550231374181,1.6483553730301004,0.16714694071170966,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003132198076757631,,0.09206649831649859,0.16714694071170966,False,False,False,False,0.0005686512855451126
