phase,day,case,status,objective,Planning_rho,Planning_Vmin,Planning_Vmax,Fresh_rho_AC,Fresh_Vmin,Fresh_Vmax,Fresh_voltage_violations,Fresh_line_current_violations,Fresh_transformer_current_violations,Fresh_transformer_kVA_violations,Fresh_losses_kWh,Fresh_convergence,AIDC_executed_nodeh,AIDC_backlog_nodeh,AIDC_resource_recourse_nodeh,MESS_MOVE_count,MESS_PQ_nonzero_slot_count,MESS_sum_abs_P,MESS_sum_abs_Q,MESS_throughput_kWh,MESS_travel_energy_kWh,MESS_terminal_SoC_min,schedule_SHA,storage
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-01,B0,PASS,0.5670071217020519,0.5670071217020519,0.9828858316903925,1.048229911390419,0.5670020672576839,0.9828918328370533,1.0482301868956658,0,0,0,0,809.3346436631621,96,0.38538875313713583,0.6921112468628643,0.38160868308749246,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,3c1d0fa371c7dfe7ca4681333d0dc866e1dc3fb7ca35641c9f02f1d588fcb9a3,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-01,B1,PASS,0.5670036511595943,0.5670036511595943,0.9828835622676033,1.0482321501315048,0.5670001813302211,0.9828894942121035,1.0482324347951946,0,0,0,0,809.3604379027586,96,0.4216320182733594,0.6558679817266408,0.06910581136223104,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,e2933424b8a1a347fad827686900eccaa14c3007e396400c598dd29216f447f7,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-01,B2,PASS,0.5433242969659046,0.5433242969660724,0.9499999999999518,1.050000000000052,0.5947217272600733,0.9471218570195168,1.049636328715664,82,0,0,0,1024.4366233945912,96,0.38538875313713583,0.6921112468628643,0.38160868308749246,0,96,8322.422316840999,57581.14166078401,2080.6055792102497,0.0,0.6333333333333333,02fa66cb9cc9a31077f9fdafe678573c44979411f2ecb08cf2a3c7254c5b3fff,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-01,B3,PASS,0.5438275585814096,0.5438275585815804,0.9499999999999451,1.0500000000000547,0.5945973549353846,0.9471216543980804,1.0496463545174481,83,0,0,0,1023.0895600502497,96,0.4216320182733594,0.6558679817266408,0.06910581136223104,0,96,8247.733255197,57898.089449382,2061.93331379925,0.0,0.6333333333333333,bb9654c15b958b4e210e5c7cce0827bfb7c3f76c741e5585f21c5f47fdfd0073,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-02,B0,PASS,0.5886085324690455,0.5886085324690455,0.9800240629576031,1.0493770035846144,0.5886030272080948,0.9800241002469132,1.0493773462242824,0,0,0,0,837.637930987655,96,158.27247180324434,348.1700281967557,123.25885535761765,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,9b5470df45ba47af76d95067b0a037500f38f2ad8c93ed8b9aaead3f863b24a7,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-02,B1,PASS,0.5885884794593548,0.5885884794593548,0.980015469143136,1.0493368265893568,0.5885862692436019,0.9800154254209786,1.0493369238482912,0,0,0,0,837.5026817977869,96,159.0582518639227,347.38424813607725,85.8874047297617,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,06390c5176453c089f22fddcfd318a8332599df3b1157612c748e2bd40f1167c,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-02,B2,PASS,0.554342348666039,0.5543423486661732,0.9499999999999507,1.0500000000000547,0.618391938451761,0.9472301539016417,1.049691237445377,86,0,0,0,1063.5176159239345,96,158.27247180324434,348.1700281967557,123.25885535761765,0,96,12181.234685042,61819.590323667,3045.3086712605,0.0,0.6333333333333333,f616444d18b617cab07285a6f8cf51fe8930b9b7eb7d779d70423c11223c3314,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-02,B3,PASS,0.5448846351482995,0.5448846351484439,0.949999999999953,1.0500000000000433,0.5730046535689722,0.9471695464283105,1.049185280993206,72,0,0,0,1034.534772742294,96,159.0582518639227,347.38424813607725,85.8874047297617,0,96,10527.798241264,54055.130053749,2631.949560316,0.0,0.6333333333333333,46df8626d313b461bde13e4ac7723f9076a51c7c1188843729d8425de5064773,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-03,B0,PASS,0.5780131222992347,0.5780131222992347,0.9798286472594144,1.048531910114724,0.578012691275339,0.9798286849337372,1.0485322833393471,0,0,0,0,866.7308803455907,96,66.26938823873923,113.49588953903857,60.00653305328003,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,1453dc84fc5592a6143e232533b2a6428259d24ae018ebeb1e97694c7b24b583,PASS
APR01_20_AC_FIDELITY_CALIBRATION,2025-04-03,B1,PASS,0.5777976818881205,0.5777976818881205,0.9798190888884413,1.0485321941865877,0.5777953219677238,0.9798190256943069,1.0485324213165685,0,0,0,0,866.7315239795619,96,66.70248482853567,113.06279294924204,40.97919645552662,0,0,0.0,0.0,0.0,0.0,0.6333333333333333,879136aba78bcf76e95631d10fb219e81da3905626708b9f93d9a5101d17be71,PASS
