role,arm,state,quantile,proper_pinball,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,MAE_bound_seconds,MAE_Q50_seconds
EXPOSED_EVALUATION,R1,RUNNING,0.5,25129.145987408614,2767,6396.0,0.5580050596313697,0.6300813008130082,2483,0.4599275070479259,33255.0,108647.16765505665,272858.5483549674,247131.02388888889,60355.12666666666,1.104104794538648,1.8001315489751268,14281.464128081656,12925.503895665786,0,2767,50258.29197481723,50258.29197481723
EXPOSED_EVALUATION,R1,RUNNING,0.9,8597.990709366919,2767,6396.0,0.8384531984098301,0.8858661663539712,2483,0.15827627869512687,8597.0,169741.42404667707,352907.24648226576,247131.02388888889,60355.12666666666,1.4280167699257957,2.812377894327625,8597.99070936692,5625.206745303955,0,2767,64760.52484374127,50258.29197481723
EXPOSED_EVALUATION,R1,RUNNING,0.95,4639.942751778931,2767,6396.0,0.9078424286230574,0.9313633520950594,2483,0.08538058799838905,2162.0,205558.0820250492,390973.9223265967,247131.02388888889,60355.12666666666,1.5820511572127833,3.4058098023771723,8358.573542534188,4639.942751778928,0,2767,76215.23973715251,50258.29197481723
EXPOSED_EVALUATION,R2,RUNNING,0.5,26330.16696409215,2767,6396.0,0.5645102999638598,0.6146028767979987,2483,0.4567055980668546,46091.0,113593.84797763862,274702.1738601616,247131.02388888889,60355.12666666666,1.1115649081099135,1.8820911205273803,13962.54083552619,12416.587569455442,0,2767,52660.3339281843,52660.3339281843
EXPOSED_EVALUATION,R2,RUNNING,0.9,8301.009878738107,2767,6396.0,0.855439103722443,0.8586616635397123,2483,0.13934756343133306,8250.0,163007.3583010235,342338.8868327232,247131.02388888889,60355.12666666666,1.3852525734957508,2.7008038472239724,8301.009878738107,5130.894917678526,0,2767,67323.85913442947,52660.3339281843
EXPOSED_EVALUATION,R2,RUNNING,0.95,4745.912578822192,2767,6396.0,0.9230213227322009,0.9111944965603502,2483,0.08578332662102296,2209.0,187398.48498535083,370332.4758271424,247131.02388888889,60355.12666666666,1.4985268542959034,3.1049306883295555,8509.251702248639,4745.912578822189,0,2767,77231.92937932047,52660.3339281843
EXPOSED_EVALUATION,R3,RUNNING,0.5,53318.11803871529,2767,6396.0,0.6512468377303939,0.6547842401500938,2483,0.35481272654047524,44287.0,238830.11594644244,399136.25722584664,247131.02388888889,60355.12666666666,1.615079527228034,3.9570808502394406,17897.840443425634,13470.305744014424,0,2767,106636.23607743059,106636.23607743059
EXPOSED_EVALUATION,R3,RUNNING,0.9,53111.514580592324,2767,6396.0,0.9725334297072642,0.9577861163227017,2483,0.023761578735400725,1283.0,1257446.1613522398,1437778.396346807,247131.02388888889,60355.12666666666,5.817879008963431,20.834123475491115,53111.51458059234,27538.80590322625,0,2767,515386.36799904204,106636.23607743059
EXPOSED_EVALUATION,R3,RUNNING,0.95,39895.50528385673,2767,6396.0,0.9880737260571015,0.9743589743589743,2483,0.012082158679017317,552.0,1885123.6081403182,2067626.2360034795,247131.02388888889,60355.12666666666,8.366518308656758,31.233860522762303,78290.95785687397,39895.50528385669,0,2767,770909.1568820243,106636.23607743059
MAY_HISTORICAL,R0,PENDING,0.9,2827.757643463753,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R0,RUNNING,0.9,32197.51370538495,7073,14897.0,0.5406475328714831,0.5635362824729812,6531,0.48767416934619506,136902.0,137364.85059615085,349553.08816150425,512235.53777777776,200667.56555555554,0.6824069444263163,0.684539378428453,32197.51370538495,32940.43179685887,0,7073,52508.33794718702,
MAY_HISTORICAL,R1,PENDING,0.9,2827.757643463753,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R1,RUNNING,0.5,28198.640078051463,7073,14897.0,0.5243885197228899,0.5448076793985366,6531,0.48415250344510796,134059.0,171799.17671020728,403851.1200134924,512235.53777777776,200667.56555555554,0.7884090232503439,0.8561382415467838,23072.23864000032,22431.43846024393,0,7073,56397.28015610293,56397.28015610293
MAY_HISTORICAL,R1,RUNNING,0.9,15114.684675853256,7073,14897.0,0.8194542626890994,0.8153319460294018,6531,0.19277292910733426,42242.0,280850.4447606413,554706.1214997787,512235.53777777776,200667.56555555554,1.0829122163336233,1.3995806645837185,15114.684675853257,12700.421761375721,0,7073,68857.57598334705,56397.28015610293
MAY_HISTORICAL,R1,RUNNING,0.95,7194.292248303804,7073,14897.0,0.9122013289975965,0.8949452909981875,6531,0.09355382024192313,16467.0,333653.8457598946,627822.9558042532,512235.53777777776,200667.56555555554,1.2256528676786587,1.6627193579398925,10499.770333078306,7194.2922483038,0,7073,73887.19002254869,56397.28015610293
MAY_HISTORICAL,R2,PENDING,0.9,2827.757643463753,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,23996.644503359348,
MAY_HISTORICAL,R2,RUNNING,0.5,25760.01121888571,7073,14897.0,0.5338611621659833,0.5873665838759482,6531,0.48231511254019294,136969.0,173274.1782823128,410358.3646680322,512235.53777777776,200667.56555555554,0.8011126413608133,0.8634887147935285,20370.585594401717,19696.907391341214,0,7073,51520.02243777142,51520.02243777142
MAY_HISTORICAL,R2,RUNNING,0.9,13058.722126972574,7073,14897.0,0.8652622649512229,0.8465462844868095,6531,0.14362272240085744,41286.0,271872.1263836391,551081.7247443734,512235.53777777776,200667.56555555554,1.0758365714630447,1.354838414623465,13058.722126972578,10397.650558885585,0,7073,68694.58934333698,51520.02243777142
MAY_HISTORICAL,R2,RUNNING,0.95,6395.932728879768,7073,14897.0,0.9328432065601584,0.9114586829563,6531,0.07119889756545705,16643.0,336549.29980401404,632305.7292175761,512235.53777777776,200667.56555555554,1.2344042585578827,1.6771484662818572,10081.43093597754,6395.932728879766,0,7073,79130.83318551946,51520.02243777142
