issue_time,role,query_N,submit_start_not_after_issue,elapsed_computed_from_known_start_and_issue,R1_preprocessing_latest_mature_end,R1_preprocessing_source_sha256,portable_preprocessing_sha256,request_version_available_time,authority
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,248,True,True,2025-04-12 07:58:37+00:00,a251600e9b60fecbf3e40e9c92b5d6f2337e71dd1b105e07b4c0636eb5830b31,3ff8ff3572d65dd5ac17d3c1035050e94018618ea50f417b839df29273b60fef,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,226,True,True,2025-04-13 07:45:48+00:00,591694eace4acccffed08933697af170f6ff06f8b334de1f118472834ef82bf2,c90991a75ad5b2a73f434283156a737f1b18d61828152bdf34db551db193fd39,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,200,True,True,2025-04-14 07:57:34+00:00,a8651e6e7033777593ed82cf8408185b3f67f06afd9424bcf3ecd7289683258f,de42ea50ff519db916268effb59f49be2da8e9fe9ce812edb38fd35c24c884df,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,220,True,True,2025-04-16 07:48:30+00:00,4cc02fb0074fd102d2928e847ff1b8515888816c54f1b137bffe2ce9ade8e032,ca1c9570ae6204cf77714117d003344a5c95224db66a2eb55d73c64b00d3697d,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,145,True,True,2025-04-17 07:52:27+00:00,af6a07317053f5bebc29c806c3e71cddd460bb1606dfe146bd0c3cc87c423a75,872edcc006da67e1fb45dbec18af894b451aa43326e4ecc5cc5d113b6ec16967,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,167,True,True,2025-04-18 07:59:48+00:00,6cc5d0b200101f6ba4392dd78cbaaa90f7796ebfb0d47ab9f6a574e1d8aebf59,da5aa80933668419bf7a2b58e66b49a0fe19a3dc4535de57eefea4c24ac97721,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,143,True,True,2025-04-19 07:53:48+00:00,042efecd30b4bdcba3df0c5b9d7b3ce5ad836b812aa6ca676466962663db029f,71bce60301fee885057ebde88d0f9fbf9b50aeafe13a0b0c7d88fb88e0beee3a,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,160,True,True,2025-04-20 07:59:56+00:00,37bb1deafda0f7bc847d24b1666e94424e88186740c06806b4605de7b197893a,30d84740b6d00d19c09eadf0f47b540a34f7fb2ca9bb71b0a5f8cf776fdbc062,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,221,True,True,2025-04-21 07:59:42+00:00,2c4dc281f3ae5f6e819080dc81265582737190063d0251bf9b959c3c7dbedeb7,1f388f06778e607da479520f54db4a23b618ebb3b01d99bbf33e0f825044b70f,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,390,True,True,2025-04-22 07:58:44+00:00,e22eba8e94f53d1c443ca696b0d48d22d31db7d0a449591536cdf89020484576,d68196743ec4a5a68a49ccfbeef13781284ff940699d38f3367e1db0645dce5e,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-23 08:00:00+00:00,EXPOSED_EVALUATION,377,True,True,2025-04-23 07:55:25+00:00,e3ba876662b0b8856a2f5042d430757da9d7ad452c3558c84f71b1b45ec3bf39,009038c0cae6d87523d2c9fcb42789c1c00b4a03c3fd964ccaf7448c830a859a,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-04-30 08:00:00+00:00,MAY_HISTORICAL,264,True,True,2025-04-30 07:28:41+00:00,2fb9c83e1b76906bd11d66ad60d522c57b773d4626e13321cff58af8c8270abc,2a4b361f92db44eeccb01b6e5fcd6de1a554a2d1d807cee1374480a805ef54af,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-01 08:00:00+00:00,MAY_HISTORICAL,189,True,True,2025-05-01 07:58:29+00:00,3b52d95b5d39ccf880404206ef33e9f7893945340dba54f42183599f0bcb57f9,7f3d0668667221d82632006319f6e2f659073acc92649c4af955582c92fa1f46,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-02 08:00:00+00:00,MAY_HISTORICAL,317,True,True,2025-05-02 07:56:31+00:00,887cbf7f8fccf8b62f794bb2e5fa2388b84074fe48c4cc77a94b28c24676e9bb,becd5989992e33ebed314f55350ca2b68e1dfa12675bc30a546547c9994077b7,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-03 08:00:00+00:00,MAY_HISTORICAL,282,True,True,2025-05-03 07:45:49+00:00,cb306183536f6f668324c68ed1116caf1209cde093c0120d1f8dccd9dfccb322,ee403b9d0a758bd5d93d203796ae5b1422a7bd275bf4faa4b258f6e6d7920cc0,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
