role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q90,44513.52387122542,40193.13229860757,49717.65716729677,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,pinball_Q95,21913.599157922305,19225.345610298355,25558.973877445474,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,MAE_bound_seconds,450625.8431553008,409412.5233388855,491085.03690757824,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,overreserve_vs_requested,18.021745581163486,11.940654203546693,26.52563936794986,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R1,missed_slots_reduction,0.8507618936838433,0.730235194105979,0.9239573229873909,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,coverage,0.11709432598482117,0.06800355924178357,0.1728881525278372,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,GPU_coverage,0.09912445278298943,0.06281847399570101,0.14001435457549927,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,long_under,-0.11558598469593234,-0.1783989003760477,-0.06308971641692956,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_GPU_slots,-6967.0,-11441.35,-2807.6500000000074,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserved_GPUh,1094438.803051216,841931.921026704,1404816.4245661304,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserved_GPUh,1095439.5095140839,843632.0252623942,1407721.9127931187,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserve_vs_requested,4.432626435467681,3.3210993744271273,5.84594492692069,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q90,44810.50470185423,36350.65248238137,57176.05586194895,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q95,22407.91098554773,17686.02802927311,28659.19849626102,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,MAE_bound_seconds,448062.5088646126,361662.06827830395,571998.1824734536,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserve_vs_requested,18.133319628267138,12.288157706219554,26.82353813782675,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_slots_reduction,0.8444848484848485,0.6208038227165744,0.9718130989958551,0,13,2767,1,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,coverage,0.11709432598482117,0.07491289198606277,0.14825306893295565,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,GPU_coverage,0.09912445278298943,0.06506063585709598,0.13019431988041852,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,long_under,-0.11558598469593234,-0.1489764973464746,-0.07628294036061026,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_GPU_slots,-6967.0,-11283.0,-2173.0,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserved_GPUh,1094438.803051216,853596.3018166128,1335281.3042858192,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserved_GPUh,1095439.5095140839,857261.7679480725,1333617.2510800948,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,reserve_vs_requested,4.432626435467681,3.256524422859915,5.785031677627762,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q90,44810.50470185423,41082.81344973212,48799.536531489066,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q95,22407.91098554773,20413.484128322732,24791.2303606285,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,MAE_bound_seconds,448062.5088646126,406736.80326221196,488894.9343558453,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserve_vs_requested,18.133319628267138,12.078025096214573,26.54085945240493,0,13,2767,7,2000
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_slots_reduction,0.8444848484848485,0.6045506257110353,0.9331995987963891,0,13,2767,7,2000
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q95,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q95,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
