issue_time,role,arm,N_train,N_censored,weight_normalizer,membership_sha256
2025-03-22 08:00:00+00:00,DEVELOPMENT,R2,52751,0,2.9317029658916023,225d767b8ba8f85ce7ef4189dc3b8db330125ef1579b30abd2514750b32cbc3b
2025-03-22 08:00:00+00:00,DEVELOPMENT,R3,53117,366,2.8992822904122906,1f6d88dae78de6d0e9281e0fd669d4bd5da700235c31b8eee0e2c172adbc8e9c
2025-03-23 08:00:00+00:00,DEVELOPMENT,R2,52785,0,2.893642267133919,804e7137a1c34e2293fb6e3ee02ca0fb135223cf6b3bc21d36b94a35a514c630
2025-03-23 08:00:00+00:00,DEVELOPMENT,R3,52958,173,2.9186881899613373,efc7905da5c0a9d8755268f52991d0345d5da85405c3d7ec8b9cc8e9d5396ae2
2025-03-24 08:00:00+00:00,DEVELOPMENT,R2,52835,0,2.958221612406759,0db812a3eee7b6d9b0730ea41bd96524aa1f3d6457df4d8fb669413c70fbfecd
2025-03-24 08:00:00+00:00,DEVELOPMENT,R3,53131,296,2.9600088295185554,b3f7e9bd0956c5c87a24ddd339134b924bc6ea8f51115b8d5534c7ef3d44fc5f
2025-03-25 08:00:00+00:00,DEVELOPMENT,R2,53099,0,2.9331531246537295,6c21a4b89fb0975b2f8712ca96c69f52d576b1142f4b066af3f8be472a38b1bf
2025-03-25 08:00:00+00:00,DEVELOPMENT,R3,53281,182,2.9447283910487263,404a53b94b30cdd8695cf9ef820b6dfd4960eb332ee375a2164b5b9f6c977ab0
2025-03-26 08:00:00+00:00,DEVELOPMENT,R2,53204,0,2.9003545459151714,0ea8476ab65db0d5dabdbe068f6d49a514098a3f93a69a413a2576b90cd518e5
2025-03-26 08:00:00+00:00,DEVELOPMENT,R3,53444,240,2.9320227263268177,b1a9e4171b96d34f870cbd2c0727b497d0aba3a139ee1a7f20b7b0db6246334f
2025-03-27 08:00:00+00:00,DEVELOPMENT,R2,53078,0,2.9199527752995347,be682d6d9090cb04071e8eb88946079e9949fea45fedd34f3d4d19a6bf624857
2025-03-27 08:00:00+00:00,DEVELOPMENT,R3,53127,49,2.9306668555975297,fc92d53dc84840601692e3927ebba82375226b4c4c91a2a4a3bbcf108360fd3a
2025-03-28 08:00:00+00:00,DEVELOPMENT,R2,52960,0,2.927342317794414,06363a0954f5a2e15559cfe637721199c749c8f331d47f5bdb836744c56bdec7
2025-03-28 08:00:00+00:00,DEVELOPMENT,R3,52966,6,2.931013545529055,28fced97f75b6e25716a85151f3de7665af88baffba7493f7a38689e98323b12
2025-03-29 08:00:00+00:00,DEVELOPMENT,R2,52501,0,2.9311326843271406,c448e1274b8ff6ea73395e678ca3580642555d47a27c5cefd71ded210f5821a4
2025-03-29 08:00:00+00:00,DEVELOPMENT,R3,52819,318,2.9219648614465488,83f6c8ff185f4ffc0d3b7c726d2b8a459265161fe68e8ccb7f1fc8217f9e3f6a
2025-03-30 08:00:00+00:00,DEVELOPMENT,R2,52356,0,2.8848676566749787,2c2b550c57986dd38751fea25f71248af84f6c287449c0db7d8433452ff1e124
2025-03-30 08:00:00+00:00,DEVELOPMENT,R3,52521,165,2.9339734448494723,542a425a8c1ba4ba5ef4bfbc00bdcd89bf4b6a9c4262c5b13efdef87c04f6d9f
2025-04-02 08:00:00+00:00,CALIBRATION,R2,53644,0,2.9649853404632447,9a094cb19fbed65377fd471e2fedba25564573493c121c5558908bdf03b5931c
2025-04-02 08:00:00+00:00,CALIBRATION,R3,53786,142,3.0181594845046065,5286d162e37e07f52bb836f8c0a13e27f7c9934043abc8565aa22533dcdf537f
2025-04-03 08:00:00+00:00,CALIBRATION,R2,54060,0,2.9941215858328856,dde4043ab775e68aead04a0d52fb4b4c2380f15db7d978118653ef01d38d18f2
2025-04-03 08:00:00+00:00,CALIBRATION,R3,54243,183,3.0309737675713144,fafea9e0d51861bbc8a6e9c383cd8d5b65081d090c915b1b24be565c084257e5
2025-04-04 08:00:00+00:00,CALIBRATION,R2,54480,0,2.956249262874112,5a4960b5d26658b3b444098beda5057126f22399438cc0c761f86fb39a9fca45
2025-04-04 08:00:00+00:00,CALIBRATION,R3,54654,174,2.9950612581216887,df93e8747dbb08ad8f8f850f7c708b6727e5e0c9c14acaa7ecdfb360c68daef9
2025-04-05 08:00:00+00:00,CALIBRATION,R2,54869,0,2.9512490034040906,5ef5b291fa1881b71fc7a083190f7ed82112470a355cedc317cca8421a538da9
2025-04-05 08:00:00+00:00,CALIBRATION,R3,54971,102,3.0046730913028523,4af48e6bad5164f93955f40b04971211c199287ba1ac73a8066bac318aca0c17
2025-04-06 08:00:00+00:00,CALIBRATION,R2,55072,0,2.9626156179101937,e15d785023c1c7cb8cab527a00d0a244a075317b0827598171cf5dbf9130f85c
2025-04-06 08:00:00+00:00,CALIBRATION,R3,55307,235,2.9831731064383886,d2aabc2d4fa546418c34b309d9340ee24ee51a51c70522ebbcb23bfa1cc80add
2025-04-07 08:00:00+00:00,CALIBRATION,R2,55511,0,2.8859635379527107,753980af9517b66bf23f7fcb2939b43b149c2b9f7fa4be55cc16b8da8b2e1626
2025-04-07 08:00:00+00:00,CALIBRATION,R3,55731,220,2.9177154866810624,d6e4e1c2db46f003f660595bfc81690ac6bc4fb148dc54b5b05c3afc9db2e981
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,R2,56127,0,2.9021309679759213,3052cf9881e3ce991a2f2a930ead6a5dd892fdc2ca4669992a7e5995578fef79
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,R3,56210,83,2.9531681844466884,ec06a6094467007378131cbb62ad5e00e772975d06e7ac0e35d5e72c6db26815
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,R2,56006,0,2.926885434825644,bbf96a753e8e217a24b6790fcfc78676438454fbee7935554989d4c3503bbff0
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,R3,56088,82,2.974660531622252,f405dd61a6520a91abb5dd28d4b0b2dd4a9fe5b1ccc591f02c344a26ca7cc2eb
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,R2,56142,0,2.9535335629477917,415e03ea8eb56501d2296955dd9fc5f77f2c28b295940c7ccf7c87ce6fbd053c
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,R3,56316,174,2.991999159041378,b112af696d3af95a93442ab38b50f96f814b7021f444b5baedc511a80761be42
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,R2,56345,0,2.9571428012838785,403003b4d11007e6e3db8b5683290039ffb542db2f04111c44c800be622e855a
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,R3,56526,181,2.99367075129429,1aff53c4710977e2754be798cc4c81bcaae292d0bdaa485a7344d3650184bcec
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,R2,56580,0,2.9646776242792674,d1b348a49205995a3f203a93ea4a6c2adcd2e538f8a4186ca439c6b85f145f5c
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,R3,56716,136,3.0026903771250795,29558840c8125489d93e6dcf815fffd37b9741319e38038b5fb3a59b0106d228
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,R2,56560,0,2.9699730954180406,d18c153ab03a25f0abd74994b7daf3f890ede6df6db1977927f77eb42799bdb3
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,R3,56737,177,3.0055131559087886,e88a0eb4fe749c9cb338cfe50f7dc907a4c3ebf715ca087616173c6a8b4654d7
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,R2,56659,0,2.9916343573067072,8256010165ee95035007ec8bb8a5bce25e2aa5da9709c0e4facc6baa2c042712
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,R3,56773,114,3.0453524646026895,565e5496dac785a97c45123e9ce042d87f4b03d9a239166b5fe547551aaaf4dc
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,R2,56694,0,3.032600751577085,8b7c1af6d1a0510cf73c705975a8a655573697b4d69aafd9c7522473511dac3e
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,R3,56833,139,3.0833649360497706,b2f3d0675929a43cc20f5b7e77f7827591e22d0ce2bff7123560c0f407e1af53
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,R2,56827,0,3.055623285781334,5bab5b2fa1b7112220a2557e8d5ee4250789ed1363d07e175085009287a5ebe0
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,R3,56926,99,3.0968404512623144,5e15b4933ba58bc6b858db074c9f790bf6541cbbc3cdbd34cf550bedb784b1c2
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,R2,56755,0,3.07439316978898,8a730e9bff2a84e5a4e4e5b0a466ee9605e8c9e7d956159bcc44883797d5abf8
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,R3,56854,99,3.114816796332743,64009e13039d2cb0fb5f372ec891924df9ac762c2c5ac789af9713fa402dfec6
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,R2,56916,0,3.0628177441243185,be9c6d352203c7103870e8a75230864ea31f21bf303ad7199d7b3d2bc6f99e72
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,R3,57083,167,3.0908921614298275,6e6b8bfa509b7ece8cbe44457527c3c61b05424d2ad0bcb27eedf573c994245a
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,R2,57046,0,3.002189956815573,fd2ab51bc789d2f328fe0461e4d1967c3a4769bd7d5c58fcfe2c0a34ab23ada4
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,R3,57258,212,3.0029743220534164,62f23c5aee1bed5e525035e94e4ddd88af7563afa15ec9e13ec389e205c831c1
2025-04-23 08:00:00+00:00,EXPOSED_EVALUATION,R2,57426,0,2.932622610465138,76371282a507e6a886bc173b0dfd99edb2a367db411b02e78206b9dde48fe4a8
2025-04-23 08:00:00+00:00,EXPOSED_EVALUATION,R3,57632,206,2.9447571905283825,ecd4ef2b3fc7942f1ea303f2fd6963796e9957f26928aa2394a2c04c3f1a1955
2025-04-30 08:00:00+00:00,MAY_HISTORICAL,R2,58984,0,2.6381801083333705,d12cc9a7c6c66c79e039d9f755f63d132c448076ad022c5c0358d51bb7495b47
