role,family,gate,tail_quantile,hard_feasible,normalized_deficit,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C1,0.01,,False,2.5727549162896888,1392,0.8146551724137931,0.7258235919234857,0.0,161.17355230322883,1.135218761589735,329015.0525,373504.0604434316,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,C1,0.01,,False,1.4090951224486012,624,0.8637820512820513,0.8303393213572854,0.10526315789473684,278.3897532528045,1.2072971833945807,248575.1924999999,300104.1297670156,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
DEVELOPMENT,C2,0.01,0.5,False,2.5476736573287337,1392,0.8175287356321839,0.7300743889479278,0.012048192771084338,160.26621693325373,1.3735668257598381,329015.0525,451924.1612896315,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,C2,0.01,0.5,False,1.178055653399084,624,0.8717948717948718,0.8403193612774451,0.23684210526315788,283.7945632342402,1.4367058325151925,248575.1924999999,357129.42888333654,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
DEVELOPMENT,C2,0.01,0.75,False,2.4836819902164513,1392,0.819683908045977,0.7332624867162593,0.04819277108433735,162.78703316361134,1.6313137415324777,329015.0525,536726.7763142795,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,C2,0.01,0.75,False,1.2090393559430819,624,0.8717948717948718,0.8403193612774451,0.23684210526315788,295.27963690244604,1.749036652442368,248575.1924999999,434767.122570417,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
DEVELOPMENT,C2,0.01,0.9,False,2.481976333517247,1392,0.8204022988505747,0.7343251859723698,0.060240963855421686,167.55082864956955,1.9451604869368404,329015.0525,639987.0797304501,83,0.0963855421686747,0.1095890410958904,0.04965622612681436,0.08762873111104875,0.05244252873563218,73
CALIBRATION,C2,0.01,0.9,False,1.4681991140657793,624,0.8717948717948718,0.8403193612774451,0.23684210526315788,312.3062142819705,2.3994212137918907,248575.1924999999,596436.5901069026,38,0.2631578947368421,0.14285714285714285,0.10238907849829351,0.11631280004669005,0.11217948717948718,70
