role,model,reference,metric,delta,CI95_low,CI95_high,N_days,draws,block_observed_days
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.29071969696969696,-0.33713304924242427,-0.24195075757575754,88,2000,1
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,11.206339300982478,4.998395624149251,17.822202228168123,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.011363636363636354,0.006155303030302983,0.017045454545454586,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.014678899082568808,0.008165445172571287,0.0217791570742394,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.08333333333333334,0.04,0.13380420317178662,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,0.6178796128935455,0.42394476153021277,0.8984882958240059,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.34848484848484845,-0.4744525547445255,-0.2314780265339967,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.0050806363735425575,-0.03456948594436702,0.04611351501337951,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2868686868686869,-0.3588588563013981,-0.2171256212218229,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,7.1454400227426715,1.0692103434176292,13.956122764866652,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,0.009142027922057594,-0.00868999526070183,0.026253804293827638,88,2000,7
EXPOSED_EVALUATION,C2,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.29071969696969696,-0.36079545454545453,-0.2206321022727273,88,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,3.808650953959159,-7.057396690072379,13.919909723129736,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.024193548387096753,0.013440860215053752,0.03629032258064513,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.028169014084507005,0.015479876160990669,0.04285884624119913,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.2028985507246377,0.109375,0.3,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,0.7429170379492676,0.5234880160261697,1.1209403888003857,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.28985507246376807,-0.42666666666666664,-0.16901408450704225,31,2000,1
