model,seed,Daily_WAPE,MAE_GPU_h,RMSE_GPU_h,mean_bias_GPU_h,mass_ratio,burst_WAPE,Q50_pinball,Q90_pinball,Q50_coverage,Q90_coverage,Power_WAPE
V19-A,20260901,1.0313903507919209,3419.51309025622,6827.756681120116,-694.390265303072,0.7905586554535554,0.8375241591851668,1536.067229127863,1635.13659247666,0.46357615894039733,0.8543046357615894,1.6957227614477535
V19-A,20260902,0.9884941930475987,3277.293441976809,6935.595154711831,-973.6219531393717,0.706337054053538,0.8597744491431988,1549.2603264046982,1638.7543769696526,0.3973509933774834,0.847682119205298,1.6204458971833167
V19-A,20260903,1.002932160073858,3325.161659092738,6887.426569595429,-756.1545402539205,0.7719293724163054,0.8441422921639886,1567.257443316799,1617.4958064121138,0.3443708609271523,0.8609271523178808,1.6794822808572865
V19-B,20260901,1.0565172964065928,3502.8199772961793,6799.07622812951,-509.70556321930763,0.8462630831426456,0.8243100495224281,1539.1091566423497,1652.6534668047796,0.46357615894039733,0.847682119205298,1.746186134895225
V19-B,20260902,1.0060043254764202,3335.347239946221,6945.163142889552,-866.6379734531652,0.7386054622816242,0.8534924829493686,1553.6274188546806,1663.9773700870069,0.39072847682119205,0.8410596026490066,1.6504581339349969
V19-B,20260903,1.0121342769062804,3355.670727693559,6858.707221222797,-647.8660921475464,0.8045912331933254,0.8365082615445318,1568.1678947889993,1604.8180681567328,0.3443708609271523,0.8609271523178808,1.7083851880876955
V19-C,20260901,1.0563648485609256,3502.3145455714794,6799.10290669458,-510.7133571258163,0.8459591132839772,0.8243839894373144,1539.1275108435086,1652.559654233639,0.46357615894039733,0.847682119205298,1.7458980335541734
V19-C,20260902,1.0059390370832948,3335.1307801793027,6945.366526616595,-867.4984082821696,0.7383459387305521,0.8535576296736195,1553.5466396337963,1663.7233698994553,0.39072847682119205,0.8410596026490066,1.6502239494265618
V19-C,20260903,1.012146976687306,3355.712833058832,6858.683871779605,-647.9051837504024,0.8045794424205112,0.8365035130718538,1568.1658228273375,1604.8069059180118,0.3443708609271523,0.8609271523178808,1.708386126144002
