date,slot,predicted_flexible_IT_kW,predicted_flexible_PCC_kW,observed_diagnostic_flexible_IT_kW,scale_label
2025-04-02,49,2035.047474950582,2645.5617174357567,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,50,1754.9490647386433,2281.4337841602364,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,51,410.3521492857261,533.4577940714439,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,52,33.96465652334316,44.15405348034611,215.34513104090288,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,53,1.0393246015965905,1.3511219820755676,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,54,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,55,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,56,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,57,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,58,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,59,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,60,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,61,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,62,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,63,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,64,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,65,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,66,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,67,0.0,0.0,8.398267243225161,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,68,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,69,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,70,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,71,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,72,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,73,0.0,0.0,13.015047925121491,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,74,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,75,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,76,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,77,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,78,0.0,0.0,0.4197158688391626,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,79,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,80,0.0,0.0,13.00674110795998,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,81,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,82,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,83,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,84,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,85,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,86,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,87,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,88,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,89,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,90,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,91,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,92,0.0,0.0,20.015067286804058,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,93,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,94,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-02,95,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,0,0.0,0.0,1749.8257091122937,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,1,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,2,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,3,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,4,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,5,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,6,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,7,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,8,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,9,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,10,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,11,0.0,0.0,22.696292619835514,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,12,0.0,0.0,103.31260866034562,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,13,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,14,0.0,0.0,409.87970400707303,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,15,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,16,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,17,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,18,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,19,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,20,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,21,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,22,0.0,0.0,170.36266637312008,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,23,0.0,0.0,45.093334835750376,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,24,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,25,0.0,0.0,136.51298280376167,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,26,0.0,0.0,273.2539529237624,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,27,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,28,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,29,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,30,0.0,0.0,100.6248825527573,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,31,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,32,0.0,0.0,0.49605212518134106,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,33,0.0,0.0,2997.2651723580457,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,34,0.0,0.0,2740.125165379055,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,35,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,36,0.0,0.0,176.79366986876994,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,37,0.0,0.0,33.9351066944688,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,38,0.0,0.0,116.65365284328595,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,39,0.0,0.0,125.20031254581733,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,40,0.0,0.0,36.21943670939453,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,41,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,42,0.0,0.0,366.7648592871019,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,43,0.0,0.0,57.80958372545154,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,44,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,45,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,46,1.5301865169507467,1.9892424720359707,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,47,50.711519990552475,65.92497598771821,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,48,680.8229025734685,885.069773345509,30.666196764415723,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,49,2172.4863157700825,2824.232210501107,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,50,1800.4736161323508,2340.615700972056,26.865674328410986,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,51,397.85181657378365,517.2073615459187,3334.760689573904,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,52,34.79003291651346,45.227042791467504,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,53,0.5385136750917778,0.7000677776193112,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,54,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,55,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,56,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,57,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,58,0.0,0.0,58.36320889838581,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,59,0.0,0.0,21.393837809102966,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,60,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,61,0.0,0.0,461.20376358241145,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,62,0.0,0.0,5.173643428941329,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,63,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,64,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,65,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,66,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,67,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,68,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,69,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,70,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,71,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,72,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,73,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,74,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,75,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,76,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,77,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,78,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
2025-04-03,79,0.0,0.0,0.0,PROVISIONAL_LEGACY_SCALE_DIAGNOSTIC
