job_uid,eligible,baseline_start,baseline_end,repaired_start,repaired_end,baseline_terminal_site,repaired_terminal_site,post_H_timing_changed,post_H_reservation_profile_changed,post_H_site_state_changed,new_post_midnight_start,new_post_midnight_completion,post_H_GPU_slots_before,post_H_GPU_slots_after,incremental_post_midnight_GPU_h,safe_runtime_preserved,GPU_request_preserved,RW_completion_pass,baseline_in_day_remains_in_day,scope
9017248,False,0,160,0,160,AIDC05,AIDC05,False,False,False,False,False,2400,2400,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047169,False,0,136,0,136,AIDC01,AIDC01,False,False,False,False,False,16,16,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047175,False,0,136,0,136,AIDC10,AIDC10,False,False,False,False,False,16,16,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047181,False,0,136,0,136,AIDC10,AIDC10,False,False,False,False,False,16,16,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047186,False,0,153,0,153,AIDC10,AIDC10,False,False,False,False,False,33,33,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047189,False,0,155,0,155,AIDC10,AIDC10,False,False,False,False,False,35,35,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047190,False,0,155,0,155,AIDC10,AIDC10,False,False,False,False,False,35,35,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047191,False,0,155,0,155,AIDC10,AIDC10,False,False,False,False,False,35,35,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047192,False,0,156,0,156,AIDC10,AIDC10,False,False,False,False,False,36,36,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047193,False,0,156,0,156,AIDC10,AIDC10,False,False,False,False,False,36,36,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047194,False,0,162,0,162,AIDC10,AIDC10,False,False,False,False,False,42,42,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047195,False,0,163,0,163,AIDC10,AIDC10,False,False,False,False,False,43,43,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047196,False,0,163,0,163,AIDC10,AIDC10,False,False,False,False,False,43,43,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047197,False,0,163,0,163,AIDC10,AIDC10,False,False,False,False,False,43,43,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047198,False,0,167,0,167,AIDC10,AIDC10,False,False,False,False,False,47,47,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047199,False,0,167,0,167,AIDC10,AIDC10,False,False,False,False,False,47,47,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047200,False,0,171,0,171,AIDC10,AIDC10,False,False,False,False,False,51,51,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047201,False,0,172,0,172,AIDC10,AIDC10,False,False,False,False,False,52,52,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047202,False,0,172,0,172,AIDC10,AIDC10,False,False,False,False,False,52,52,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047203,False,0,173,0,173,AIDC10,AIDC10,False,False,False,False,False,53,53,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047204,False,0,173,0,173,AIDC10,AIDC10,False,False,False,False,False,53,53,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047205,False,0,175,0,175,AIDC10,AIDC10,False,False,False,False,False,55,55,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047206,False,0,175,0,175,AIDC10,AIDC10,False,False,False,False,False,55,55,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047207,False,0,175,0,175,AIDC10,AIDC10,False,False,False,False,False,55,55,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
9047208,False,0,175,0,175,AIDC10,AIDC10,False,False,False,False,False,55,55,0.0,True,True,True,True,ORIGINAL_RSP_PLUS_ORIGINAL_MIGRATION_WITNESS_NO_REPAIR
